"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Strider, Spencer","675911","Braves","ATL","R",97.2,"1823","3100",19.135802469135804,0.5880645161290322,"FF","4-Seam Fastball",10.6,-13.1,2.5,"19",6,-7.7,-1.6,"-21",0.9534313725490197,0.26715686274509803
"2023","Cole, Gerrit","543037","Yankees","NYY","R",96.7,"1738","3281",20.253086419753085,0.5297165498323682,"FF","4-Seam Fastball",12,-13.6,1.6,"12",8.4,-7.9,0.5,"6",0.8602941176470589,0.5269607843137255
"2023","Burnes, Corbin","669203","Brewers","MIL","R",94.4,"1705","3079",19.006172839506174,0.5537512179278987,"FC","Cutter",19.2,-19.7,0.5,"2",3.1,2.1,1,"48",0.6111111111111112,0.7098765432098766
"2023","Javier, Cristian","664299","Astros","HOU","R",92.8,"1672","2882",17.790123456790123,0.5801526717557252,"FF","4-Seam Fastball",13.3,-15.9,2.6,"16",5.6,-7.5,-1.9,"-26",0.9632352941176471,0.22794117647058823
"2023","Steele, Justin","657006","Cubs","CHC","L",91.8,"1613","2678",16.530864197530864,0.6023151605675877,"FF","4-Seam Fastball",21.5,-16.2,-5.3,"-33",1.3,-6.3,-7.6,"-121",0.012254901960784314,0.012254901960784314
"2023","Gallen, Zac","668678","D-backs","AZ","R",93.6,"1601","3248",20.049382716049383,0.4929187192118227,"FF","4-Seam Fastball",14.4,-15.2,0.8,"5",2.9,-6.8,-3.9,"-57",0.6936274509803921,0.08333333333333333
"2023","Gausman, Kevin","592332","Blue Jays","TOR","R",94.7,"1560","3069",18.944444444444443,0.5083088954056696,"FF","4-Seam Fastball",13.8,-14.8,1,"7",10.6,-7.4,3.2,"43",0.7328431372549019,0.8529411764705882
"2023","Snell, Blake","605483","Padres","SD","L",95.5,"1541","3168",19.555555555555557,0.4864267676767677,"FF","4-Seam Fastball",11.4,-13,1.6,"12",4.6,-5.7,-1.1,"-19",0.8602941176470589,0.31862745098039214
"2023","Ryan, Joe","657746","Twins","MIN","R",92.3,"1526","2683",16.561728395061728,0.5687663063734626,"FF","4-Seam Fastball",17.6,-17.7,0.1,"1",10.3,-9.3,1,"11",0.5441176470588235,0.6127450980392157
"2023","Heaney, Andrew","571760","Rangers","TEX","L",92.5,"1505","2603",16.067901234567902,0.5781790242028428,"FF","4-Seam Fastball",18.3,-17.4,-0.9,"-5",15.9,-9.3,6.5,"70",0.3284313725490196,0.9901960784313726
"2023","Kopech, Michael","656629","White Sox","CWS","R",95.2,"1492","2430",15,0.6139917695473252,"FF","4-Seam Fastball",13.1,-14.5,1.5,"10",9,-7.6,1.4,"19",0.8553921568627451,0.6666666666666666
"2023","Gore, MacKenzie","669022","Nationals","WSH","L",95,"1462","2462",15.197530864197532,0.5938261575954509,"FF","4-Seam Fastball",12.9,-14.2,1.2,"9",4.2,-7,-2.7,"-39",0.7892156862745098,0.1568627450980392
"2023","Peralta, Freddy","642547","Brewers","MIL","R",94.4,"1453","2839",17.52469135802469,0.5117999295526594,"FF","4-Seam Fastball",15.3,-16.1,0.9,"5",6.9,-8.8,-1.9,"-22",0.7009803921568627,0.22794117647058823
