"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"1","Corbin","Burnes",669203,"R","MIL","FC","Cutter",1815,55.4,95,2626,4.4,18.6,1.2,21,464,0.213,0.335,0.292,27.8,24.6,24.1,0.246,0.376,0.312,38.4
"2","Carlos","Rodón",607074,"L","SF","FF","4-Seamer",1826,61.2,95.5,2349,6,12,1.2,22,443,0.213,0.358,0.29,27.9,30.5,24.1,0.206,0.347,0.278,44.8
"3","Logan","Gilbert",669302,"R","SEA","FF","4-Seamer",1626,53.9,96.1,2135,6.4,11.9,0.7,12,418,0.259,0.439,0.337,23.7,22.5,20.5,0.261,0.444,0.339,50.5
"4","Triston","McKenzie",663474,"R","CLE","FF","4-Seamer",1575,56.1,92.5,2312,3,11.6,1.1,17,407,0.202,0.357,0.289,19.6,18.4,17.4,0.241,0.45,0.336,46.9
"5","Gerrit","Cole",543037,"R","NYY","FF","4-Seamer",1698,51.9,97.8,2428,10.4,10.5,0.5,8,399,0.221,0.42,0.313,28.9,33.8,24.8,0.216,0.398,0.3,47.6
"6","Framber","Valdez",664285,"L","HOU","SI","Sinker",1478,49,93.9,2203,14.4,24.2,0.3,4,394,0.293,0.409,0.359,12.1,7.1,12.3,0.295,0.438,0.357,47.1
"7","Nick","Pivetta",601713,"R","BOS","FF","4-Seamer",1572,51,93.4,2310,5.1,10.9,0.6,9,384,0.236,0.442,0.341,21.1,21.6,19.8,0.249,0.466,0.357,48.8
"8","Cristian","Javier",664299,"R","HOU","FF","4-Seamer",1535,60.1,93.8,2354,7.3,12.3,1.2,18,370,0.183,0.326,0.282,27.3,28.9,20.2,0.181,0.317,0.274,39.2
"9","Patrick","Corbin",571578,"L","WSH","SI","Sinker",1190,45.4,92.8,2068,14.2,19.9,-0.9,-11,367,0.315,0.478,0.384,11.6,15.5,16.3,0.318,0.549,0.399,51.1
"10","Cal","Quantrill",615698,"R","CLE","SI","Sinker",1317,45.1,93.6,2105,12.1,16.3,0.1,2,358,0.292,0.426,0.347,13.8,12.8,12.9,0.274,0.432,0.343,33.8
"11","Spencer","Strider",675911,"R","ATL","FF","4-Seamer",1525,67,98.2,2343,5.1,10.7,1.3,20,357,0.201,0.295,0.262,27.7,33.6,24.4,0.207,0.336,0.281,41.8
"12","Joe","Ryan",657746,"R","MIN","FF","4-Seamer",1441,60.3,92,2194,10.8,17.5,1.4,21,355,0.174,0.299,0.267,25.8,27,20.6,0.2,0.377,0.301,40.7
"13","Dylan","Cease",656302,"R","CWS","SL","Slider",1338,42.9,87.4,2833,4,35,2.7,36,349,0.128,0.209,0.193,43.3,37.5,27.8,0.144,0.223,0.202,22
"14","José","Urquidy",664353,"R","HOU","FF","4-Seamer",1392,52.7,93.5,2201,7.7,11.7,0.6,8,347,0.243,0.482,0.334,18.8,17,14.8,0.275,0.523,0.371,51.2
"15","Kevin","Gausman",592332,"R","TOR","FF","4-Seamer",1358,48.8,95,2265,10.5,13.1,0.2,2,342,0.333,0.483,0.371,16.3,18.4,17.7,0.296,0.511,0.359,50.4
"16","Julio","Urías",628711,"L","LAD","FF","4-Seamer",1291,49.2,93.1,2521,3,14.9,1.2,16,336,0.195,0.363,0.294,22.9,22.6,22.2,0.206,0.36,0.285,38
"17","Sean","Manaea",640455,"L","SD","FF","4-Seamer",1278,51.5,91.3,2000,12.5,20.2,-0.2,-3,335,0.228,0.406,0.307,24,24.8,20.8,0.227,0.406,0.31,43.4
"18","Brady","Singer",663903,"R","KC","SI","Sinker",1278,53.8,93.8,2297,14.9,20.6,0.3,4,330,0.255,0.387,0.318,13.9,20.9,22.1,0.244,0.391,0.309,39.7
"19","Robbie","Ray",592662,"L","SEA","FF","4-Seamer",1197,39.3,93.4,2282,6.7,13.4,0.8,9,327,0.224,0.397,0.312,25.8,26.6,24.2,0.209,0.364,0.29,37
"20","Lucas","Giolito",608337,"R","CWS","FF","4-Seamer",1313,47.7,92.6,2172,5.4,13.9,0,0,320,0.283,0.449,0.359,21.3,21.6,18.9,0.254,0.422,0.337,43.1
"21","Justin","Verlander",434378,"R","HOU","FF","4-Seamer",1315,50.4,95,2423,9.5,11.4,1.8,24,317,0.194,0.285,0.249,18.1,15.8,15,0.234,0.394,0.3,40.3
"22","Martín","Pérez",527048,"L","TEX","SI","Sinker",1049,35.2,92.6,1997,16.4,21.8,0.8,9,314,0.249,0.342,0.315,12.6,18.5,22.7,0.244,0.36,0.317,40.7
"23","Zac","Gallen",668678,"R","AZ","FF","4-Seamer",1410,48,94.1,2420,3.4,13.4,1.2,17,310,0.165,0.301,0.262,19.7,28.4,20.5,0.2,0.356,0.296,41.9
"24","Dane","Dunning",641540,"R","TEX","SI","Sinker",1015,39.8,89.5,2004,15.6,28.8,-0.1,-1,306,0.295,0.448,0.381,13.2,14.4,20.5,0.273,0.431,0.358,43.8
"25","Kevin","Gausman",592332,"R","TOR","FS","Splitter",989,35.5,85.2,1569,15,33,1.4,14,303,0.195,0.293,0.241,44.1,42.2,25,0.172,0.228,0.2,22.4
"26","Madison","Bumgarner",518516,"L","AZ","FC","Cutter",986,36.3,87.4,2295,2.9,27.7,-0.6,-6,292,0.306,0.513,0.38,16.5,17.5,15.9,0.3,0.515,0.374,43.4
"27","Marco","Gonzales",594835,"L","SEA","CH","Changeup",865,30.5,79.4,2114,17.3,36.7,-0.3,-2,292,0.263,0.442,0.324,24.5,16.8,14.6,0.235,0.359,0.276,30.7
"28","Michael","Kopech",656629,"R","CWS","FF","4-Seamer",1241,61.7,94.9,2529,9.9,11.9,0.5,6,292,0.189,0.337,0.303,25.6,23.6,21,0.205,0.359,0.316,45.2
"29","Alex","Cobb",502171,"R","SF","SI","Sinker",1014,41.9,94.8,2091,15.8,21.4,0.4,4,289,0.274,0.377,0.338,13.5,28,24.6,0.232,0.331,0.3,49.7
"30","Pablo","López",641154,"R","MIA","FF","4-Seamer",1129,38.8,93.5,2197,4.5,17.9,0.2,3,289,0.254,0.423,0.324,23.1,26.3,22.2,0.247,0.395,0.315,33.2
