"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"1","Torkelson, Spencer",679529,404,73,8,24.5,9.2,0.203,0.319,0.285,0.604,0,0.272,0.305,90.5,35.4,8.4,8,22.1,27.8,32.7,0.8,41.8
"2","Grichuk, Randal",545341,538,131,19,23.6,4.5,0.259,0.425,0.299,0.724,4,0.315,0.281,90,27.3,6.8,6.6,18.9,24.4,38.6,3.9,43.6
"3","Crawford, Brandon",543063,458,94,9,21.4,8.5,0.231,0.344,0.308,0.652,1,0.289,0.287,88.1,31,6.7,5.4,23.6,25.2,34.2,4.2,35.1
"4","Gonzalez, Luis",670768,350,78,4,21.4,8.6,0.251,0.357,0.32,0.677,10,0.299,0.268,86.9,27,2.9,7.5,21.6,27.4,31.1,9.5,32
"5","Votto, Joey",458015,376,66,11,25.8,11.7,0.205,0.37,0.319,0.689,0,0.31,0.322,89.7,32.9,11.1,3.1,24.9,26.2,30.7,3.1,41.3
"6","Vazquez, Christian",543877,426,109,9,16.2,5.2,0.274,0.399,0.315,0.714,1,0.312,0.301,87.9,36.1,5.1,3.6,28.9,24.1,36.7,1.2,36.4
"7","Trout, Mike",545361,499,124,40,27.9,10.8,0.283,0.63,0.369,0.999,1,0.418,0.395,91.6,37.7,19.7,7,20.7,34.3,15,3.3,51
"8","Herrera, Jose",645444,124,21,0,27.4,7.3,0.189,0.207,0.25,0.457,0,0.213,0.186,84.7,23.5,0,0,19.8,19.8,50.6,9.9,11.1
"9","Smith, Josh H.",669701,253,42,2,19.8,11.1,0.197,0.249,0.307,0.556,4,0.262,0.296,87,34.5,2.4,5.4,27.4,35.1,24.4,5.4,28.6
"10","Melendez Jr., MJ",669004,534,100,18,24.5,12.4,0.217,0.393,0.313,0.706,2,0.31,0.332,90.7,31,10.4,6.8,23.2,27.1,29.2,2.7,43.5
"11","Sheets, Gavin",657757,410,91,15,21,6.6,0.241,0.411,0.295,0.706,0,0.308,0.283,88.6,32.3,6.5,6.1,21.4,29.6,34.7,1,36.1
"12","Hiura, Keston",669374,266,53,14,41.7,8.6,0.226,0.449,0.316,0.765,5,0.334,0.317,91.7,41.1,15.3,11.3,22.6,22.6,24.2,3.2,45.2
"13","Lowrie, Jed",476704,184,30,3,21.2,8.2,0.18,0.263,0.245,0.508,1,0.23,0.247,86.2,26.9,3.1,3.8,22.3,36.2,30.8,3.8,30.8
"14","Trammell, Taylor",666211,117,20,4,28.2,11.1,0.196,0.402,0.284,0.686,2,0.3,0.292,88.3,29.6,9.9,5.6,18.3,33.8,28.2,4.2,28.2
"15","Higashioka, Kyle",543309,248,52,10,21,4.8,0.227,0.389,0.264,0.653,0,0.282,0.317,90.9,36.6,9.8,4.9,26.8,30.1,23,4.9,48.1
"16","Heineman, Tyler",623168,174,34,0,9.8,4.6,0.217,0.268,0.276,0.544,1,0.248,0.273,82.7,34,0,0.7,30.6,36.1,20.8,11.8,13.2
"17","Piscotty, Stephen",572039,139,24,5,34.5,6.5,0.19,0.341,0.252,0.593,2,0.258,0.275,90.4,42.5,6.3,7.5,27.5,21.3,35,2.5,46.3
"18","Arraez, Luis",650333,603,173,8,7.1,8.3,0.316,0.42,0.375,0.795,4,0.35,0.333,88.9,38.7,3.6,5.7,30.6,27.6,31,1.4,30.2
"19","Gorman, Nolan",669357,313,64,14,32.9,8.9,0.226,0.42,0.3,0.72,1,0.316,0.341,89.2,46.7,14.4,11.7,24.4,29.4,16.7,3.3,43.3
"20","Torrens, Luis",620443,166,34,3,30.1,7.2,0.225,0.298,0.283,0.581,0,0.261,0.284,90.3,34,4.9,4.9,35.9,19.4,31.1,2.9,46.6
"21","Hoerner, Nico",663538,517,135,10,11,5.4,0.281,0.41,0.327,0.737,20,0.32,0.301,87.2,32.4,2.6,4.7,26.3,24.2,35.9,4,33.5
"22","Kreidler, Ryan",668952,84,13,1,26.2,7.1,0.178,0.233,0.244,0.477,0,0.218,0.273,88.2,34.5,7.3,5.5,23.6,30.9,25.5,7.3,32.7
"23","Nido, Tomas",621512,313,68,3,24.3,4.5,0.239,0.324,0.276,0.6,0,0.265,0.287,86.3,40.1,6.3,8.1,24.8,15.3,35.1,9.9,33.3
"24","White, Eli",642201,117,21,3,35,9.4,0.2,0.305,0.274,0.579,12,0.26,0.255,86.4,30.8,4.6,9.2,23.1,29.2,16.9,16.9,29.2
"25","Urias, Ramon",602104,445,100,16,22,6.7,0.248,0.414,0.305,0.719,1,0.313,0.32,89.4,32.1,9.6,5.4,24.7,20.8,33.7,5.1,46.5
"26","Arozarena, Randy",668227,645,154,20,24.2,7.1,0.263,0.445,0.327,0.772,32,0.336,0.301,89.9,28.2,7.9,5.8,20.1,22.7,40.5,2.5,41
"27","Ward, Taylor",621493,564,139,23,21.3,10.6,0.281,0.473,0.36,0.833,5,0.362,0.361,90,41.8,12.4,7.4,26.3,25.3,25,3.4,42.9
"28","Heim, Jonah",641680,450,92,16,19.3,9.1,0.227,0.399,0.298,0.697,2,0.306,0.291,89.3,29.6,6.9,5.9,20.6,33,29.9,3.1,39.9
"29","Taveras, Leody",665750,341,82,5,25.8,6.2,0.261,0.366,0.309,0.675,11,0.297,0.267,89.3,28.7,4.3,3,27.4,28.3,32.2,4.3,36.1
"30","Andrus, Elvis",462101,577,133,17,15.9,6.8,0.249,0.404,0.303,0.707,18,0.31,0.293,87.9,29.1,4.5,3.6,26.9,26,33.6,5,34.8
