"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-09-30","86.9","-1.11","6.47","Keller, Brad",595978,641745,"strikeout","called_strike",,,,,4,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",2,,3,2,2022,"0.54","-0.45","-0.72","2.43",,,686823,2,8,"Bot",,,,,521692,,,-0.1790712064266129,-126.57825909188094,-2.5894025781590098,5.877735667712175,24.946718745093214,-36.72283879232187,"2.91","1.45",,,,"86.2",2581,"5.7",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.77",,,"0",1,0,0,,62,11,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",71,"-0.003","-0.256"
"SL","2022-09-30","87","-1.16","6.44","Keller, Brad",595978,641745,,"foul",,,,,8,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,2,2022,"0.67","-0.4","0.07","1.49",,,686823,2,8,"Bot",,,,,521692,,,1.5693715092241471,-126.6532878797711,-4.868900631775026,6.949557999262198,25.380358571341265,-35.749812338305446,"2.96","1.46",4,"89.7",-25,"86.4",2492,"5.8",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.66",,,,,,,,62,10,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",76,"0","0"
"FF","2022-09-30","95.1","-1.15","6.29","Keller, Brad",595978,641745,,"foul",,,,,2,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,2,2022,"0.41","1.12","-0.26","2.94",,,686823,2,8,"Bot",,,,,521692,,,1.3936979487893044,-138.63966699911205,-5.714710733702702,5.064736814956099,26.2276934111354,-16.678315855627964,"2.96","1.46",,,,"95.4",2430,"6",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.48",,,,,,,,62,9,"4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard",183,"0","0"
"SL","2022-09-30","88.3","-1.11","6.37","Keller, Brad",595978,641745,,"foul",,,,,14,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,2,2022,"0.52","-0.58","0.27","1.15",,,686823,2,8,"Bot",,,,,521692,,,2.2499844611971778,-128.64981728960444,-5.439423894986629,5.355480224142784,24.982095043950572,-37.7723804174626,"2.96","1.46",1,"73.9",-54,"88.1",2576,"6",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.55",,,,,,,,62,8,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",61,"0","0"
"SL","2022-09-30","86.2","-1.1","6.42","Keller, Brad",595978,641745,,"foul",,,,,5,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,2,2022,"0.89","-0.18","0.22","2.25",,,686823,2,8,"Bot",,,,,521692,,,1.3192900762757604,-125.78178614679247,-3.4573565058061413,9.435529730170227,20.17074565585237,-33.72890713705808,"2.96","1.46",116,"71.6",81,"86.5",2652,"5.9",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.63",,,,,,,,62,7,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",61,"0","0"
"SL","2022-09-30","87.3","-1.1","6.44","Keller, Brad",595978,641745,,"foul",,,,,4,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,2,2022,"0.77","-0.37","-0.33","2.4",,,686823,2,8,"Bot",,,,,521692,,,0.28591921394800685,-127.30909262085012,-2.9141337552028053,8.435166041213854,22.464213070627824,-35.86466822991414,"2.96","1.46",138,"60.8",65,"87.5",2625,"6",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.54",,,,,,,,62,6,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",69,"0","0"
"SL","2022-09-30","86","-1.08","6.39","Keller, Brad",595978,641745,,"called_strike",,,,,4,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,3,1,2022,"0.67","-0.51","-0.37","2.45",,,686823,2,8,"Bot",,,,,521692,,,0.31610584747912934,-125.37294111486312,-2.1372052913115245,7.089605070184488,23.324794703454597,-37.393714052110454,"3.01","1.47",,,,"86",2455,"6",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.5",,,,,,,,62,5,"Slider",6,3,6,3,3,6,6,3,"Standard","Standard",76,"0","-0.049"
"SI","2022-09-30","92.3","-1.19","6.29","Keller, Brad",595978,641745,,"ball",,,,,11,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","B",,,2,1,2022,"-0.55","0.65","-1.57","4.69",,,686823,2,8,"Bot",,,,,521692,,,0.20890164410837886,-134.52032450017782,0.25392690312391464,-6.7309372331599375,26.803517550723107,-24.4403784311893,"3.06","1.47",,,,"92.1",2217,"5.9",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.59",,,,,,,,62,4,"Sinker",6,3,6,3,3,6,6,3,"Standard","Standard",192,"0","0.068"
"SI","2022-09-30","93.4","-1.17","6.25","Keller, Brad",595978,641745,,"foul",,,,,3,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","S",,,2,0,2022,"-0.53","0.83","0.48","2.6",,,686823,2,8,"Bot",,,,,521692,,,5.382877442340031,-135.90881366397346,-5.5142769486913865,-7.712465663053005,27.089903170862833,-20.88061555841142,"2.96","1.46",173,"74.8",63,"93.4",2340,"6.1",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.41",,,,,,,,62,3,"Sinker",6,3,6,3,3,6,6,3,"Standard","Standard",192,"0","-0.057"
"FF","2022-09-30","93.2","-1.28","6.27","Keller, Brad",595978,641745,,"ball",,,,,11,"Austin Hedges called out on strikes.","R","R","R","CLE","KC","B",,,1,0,2022,"0.21","1.09","-1.19","3.11",,,686823,2,8,"Bot",,,,,521692,,,-0.23415072531714212,-135.8625163286033,-4.791615845821797,2.661175607479836,27.326683479322078,-17.766367161481895,"3.06","1.54",,,,"93.1",2363,"6",662940,641745,521692,686469,686681,681987,677951,669004,572191,671221,"54.52",,,,,,,,62,2,"4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard",194,"0","0.044"
