"","x","z","response","hand","pitch","pred"
"1",-2,-2.5,"barrel","left","changeup",-15.6466113616753
"2",-2,-2.5,"barrel","left","curveball",-15.1624820796829
"3",-2,-2.5,"barrel","left","fastball",-12.211642952409
"4",-2,-2.5,"barrel","left","slider",-16.4559587400039
"5",-2,-2.5,"barrel","right","changeup",-9.94921185746809
"6",-2,-2.5,"barrel","right","curveball",-33.6631695369078
"7",-2,-2.5,"barrel","right","fastball",-11.2353800878958
"8",-2,-2.5,"barrel","right","slider",-13.4299112497582
"9",-2,-2.5,"strike","left","changeup",-10.4880840057199
"10",-2,-2.5,"strike","left","curveball",-8.98984872007723
"11",-2,-2.5,"strike","left","fastball",-20.435087927905
"12",-2,-2.5,"strike","left","slider",-8.35270400255838
"13",-2,-2.5,"strike","right","changeup",-12.4757733662658
"14",-2,-2.5,"strike","right","curveball",-8.70767363791793
"15",-2,-2.5,"strike","right","fastball",-20.2128489490894
"16",-2,-2.5,"strike","right","slider",-7.13052552159055
"17",-2,-2.5,"whiff","left","changeup",-5.07439291852038
"18",-2,-2.5,"whiff","left","curveball",-8.88377617550463
"19",-2,-2.5,"whiff","left","fastball",-13.7979884586493
"20",-2,-2.5,"whiff","left","slider",-10.6111905479856
"21",-2,-2.5,"whiff","right","changeup",-7.3661581580089
"22",-2,-2.5,"whiff","right","curveball",-7.65112186060605
"23",-2,-2.5,"whiff","right","fastball",-11.8776998830055
"24",-2,-2.5,"whiff","right","slider",-6.31509769832881
"25",-2,-2.4,"barrel","left","changeup",-14.9397756631101
"26",-2,-2.4,"barrel","left","curveball",-14.4023671828388
"27",-2,-2.4,"barrel","left","fastball",-11.6669891000331
"28",-2,-2.4,"barrel","left","slider",-15.4859968615455
"29",-2,-2.4,"barrel","right","changeup",-9.35804266883897
"30",-2,-2.4,"barrel","right","curveball",-32.1791140408453
"31",-2,-2.4,"barrel","right","fastball",-10.6920691241161
"32",-2,-2.4,"barrel","right","slider",-12.6450062857264
"33",-2,-2.4,"strike","left","changeup",-9.99133320970912
"34",-2,-2.4,"strike","left","curveball",-8.60827359112741
"35",-2,-2.4,"strike","left","fastball",-19.4575679796379
"36",-2,-2.4,"strike","left","slider",-7.98752828006005
"37",-2,-2.4,"strike","right","changeup",-11.8770417653803
"38",-2,-2.4,"strike","right","curveball",-8.35364358951978
"39",-2,-2.4,"strike","right","fastball",-19.2714497953086
"40",-2,-2.4,"strike","right","slider",-6.82762123469062
"41",-2,-2.4,"whiff","left","changeup",-4.72903843587227
"42",-2,-2.4,"whiff","left","curveball",-8.42797615812105
"43",-2,-2.4,"whiff","left","fastball",-13.1481165513149
"44",-2,-2.4,"whiff","left","slider",-10.1987396679306
"45",-2,-2.4,"whiff","right","changeup",-6.85632610239529
"46",-2,-2.4,"whiff","right","curveball",-7.32559838748302
"47",-2,-2.4,"whiff","right","fastball",-11.326620691432
"48",-2,-2.4,"whiff","right","slider",-6.0843135949342
"49",-2,-2.3,"barrel","left","changeup",-14.2609237036596
"50",-2,-2.3,"barrel","left","curveball",-13.6776376492342
"51",-2,-2.3,"barrel","left","fastball",-11.144546251488
"52",-2,-2.3,"barrel","left","slider",-14.5610817822865
"53",-2,-2.3,"barrel","right","changeup",-8.79061605194991
"54",-2,-2.3,"barrel","right","curveball",-30.7536067999298
"55",-2,-2.3,"barrel","right","fastball",-10.1696536604674
"56",-2,-2.3,"barrel","right","slider",-11.8930399878268
"57",-2,-2.3,"strike","left","changeup",-9.5157588747813
"58",-2,-2.3,"strike","left","curveball",-8.24315064463714
"59",-2,-2.3,"strike","left","fastball",-18.5189876158842
"60",-2,-2.3,"strike","left","slider",-7.63774662493926
"61",-2,-2.3,"strike","right","changeup",-11.3034952619012
"62",-2,-2.3,"strike","right","curveball",-8.0143521170343
"63",-2,-2.3,"strike","right","fastball",-18.3675036541894
"64",-2,-2.3,"strike","right","slider",-6.53804068267653
"65",-2,-2.3,"whiff","left","changeup",-4.40293875440986
"66",-2,-2.3,"whiff","left","curveball",-7.99703625939036
"67",-2,-2.3,"whiff","left","fastball",-12.5200758008326
"68",-2,-2.3,"whiff","left","slider",-9.80455047209401
"69",-2,-2.3,"whiff","right","changeup",-6.37419721226315
"70",-2,-2.3,"whiff","right","curveball",-7.01517805275008
"71",-2,-2.3,"whiff","right","fastball",-10.7934434575671
"72",-2,-2.3,"whiff","right","slider",-5.86507661656531
"73",-2,-2.2,"barrel","left","changeup",-13.6100554833241
"74",-2,-2.2,"barrel","left","curveball",-12.9882934788692
"75",-2,-2.2,"barrel","left","fastball",-10.6443144067737
"76",-2,-2.2,"barrel","left","slider",-13.6812135022271
"77",-2,-2.2,"barrel","right","changeup",-8.24693200680089
"78",-2,-2.2,"barrel","right","curveball",-29.3866478141613
"79",-2,-2.2,"barrel","right","fastball",-9.66813369694961
"80",-2,-2.2,"barrel","right","slider",-11.1740123560593
"81",-2,-2.2,"strike","left","changeup",-9.06136100093642
"82",-2,-2.2,"strike","left","curveball",-7.89447988060641
"83",-2,-2.2,"strike","left","fastball",-17.6193468366439
"84",-2,-2.2,"strike","left","slider",-7.30335903719601
"85",-2,-2.2,"strike","right","changeup",-10.7551338558286
"86",-2,-2.2,"strike","right","curveball",-7.68979922046149
"87",-2,-2.2,"strike","right","fastball",-17.5010105257317
"88",-2,-2.2,"strike","right","slider",-6.26178386554827
"89",-2,-2.2,"whiff","left","changeup",-4.09609387413316
"90",-2,-2.2,"whiff","left","curveball",-7.59095647931255
"91",-2,-2.2,"whiff","left","fastball",-11.9138662072025
"92",-2,-2.2,"whiff","left","slider",-9.42862296047579
"93",-2,-2.2,"whiff","right","changeup",-5.91977148761248
"94",-2,-2.2,"whiff","right","curveball",-6.71986085640724
"95",-2,-2.2,"whiff","right","fastball",-10.2781681814107
"96",-2,-2.2,"whiff","right","slider",-5.65738676322214
"97",-2,-2.1,"barrel","left","changeup",-12.9871710021033
"98",-2,-2.1,"barrel","left","curveball",-12.3343346717439
"99",-2,-2.1,"barrel","left","fastball",-10.1662935658903
"100",-2,-2.1,"barrel","left","slider",-12.8463920213671
"101",-2,-2.1,"barrel","right","changeup",-7.72699053339193
"102",-2,-2.1,"barrel","right","curveball",-28.0782370835399
"103",-2,-2.1,"barrel","right","fastball",-9.18750923356281
"104",-2,-2.1,"barrel","right","slider",-10.487923390424
"105",-2,-2.1,"strike","left","changeup",-8.62813958817446
"106",-2,-2.1,"strike","left","curveball",-7.56226129903521
"107",-2,-2.1,"strike","left","fastball",-16.758645641917
"108",-2,-2.1,"strike","left","slider",-6.98436551683028
"109",-2,-2.1,"strike","right","changeup",-10.2319575471624
"110",-2,-2.1,"strike","right","curveball",-7.37998489980134
"111",-2,-2.1,"strike","right","fastball",-16.6719704099356
"112",-2,-2.1,"strike","right","slider",-5.99885078330584
"113",-2,-2.1,"whiff","left","changeup",-3.80850379504217
"114",-2,-2.1,"whiff","left","curveball",-7.20973681788764
"115",-2,-2.1,"whiff","left","fastball",-11.3294877704246
"116",-2,-2.1,"whiff","left","slider",-9.07095713307596
"117",-2,-2.1,"whiff","right","changeup",-5.49304892844328
"118",-2,-2.1,"whiff","right","curveball",-6.4396467984545
"119",-2,-2.1,"whiff","right","fastball",-9.78079486296271
"120",-2,-2.1,"whiff","right","slider",-5.4612440349047
"121",-2,-2,"barrel","left","changeup",-12.3922702599974
"122",-2,-2,"barrel","left","curveball",-11.7157612278581
"123",-2,-2,"barrel","left","fastball",-9.71048372883777
"124",-2,-2,"barrel","left","slider",-12.0566173397067
"125",-2,-2,"barrel","right","changeup",-7.23079163172301
"126",-2,-2,"barrel","right","curveball",-26.8283746080654
"127",-2,-2,"barrel","right","fastball",-8.72778027030697
"128",-2,-2,"barrel","right","slider",-9.8347730909208
"129",-2,-2,"strike","left","changeup",-8.21609463649544
"130",-2,-2,"strike","left","curveball",-7.24649489992356
"131",-2,-2,"strike","left","fastball",-15.9368840317034
"132",-2,-2,"strike","left","slider",-6.6807660638421
"133",-2,-2,"strike","right","changeup",-9.73396633590263
"134",-2,-2,"strike","right","curveball",-7.08490915505386
"135",-2,-2,"strike","right","fastball",-15.8803833068011
"136",-2,-2,"strike","right","slider",-5.74924143594924
"137",-2,-2,"whiff","left","changeup",-3.54016851713688
"138",-2,-2,"whiff","left","curveball",-6.85337727511561
"139",-2,-2,"whiff","left","fastball",-10.7669404904988
"140",-2,-2,"whiff","left","slider",-8.73155298989453
"141",-2,-2,"whiff","right","changeup",-5.09402953475555
"142",-2,-2,"whiff","right","curveball",-6.17453587889186
"143",-2,-2,"whiff","right","fastball",-9.30132350222327
"144",-2,-2,"whiff","right","slider",-5.27664843161297
"145",-2,-1.9,"barrel","left","changeup",-11.8253532570063
"146",-2,-1.9,"barrel","left","curveball",-11.1325731472119
"147",-2,-1.9,"barrel","left","fastball",-9.27688489561607
"148",-2,-1.9,"barrel","left","slider",-11.3118894572457
"149",-2,-1.9,"barrel","right","changeup",-6.75833530179414
"150",-2,-1.9,"barrel","right","curveball",-25.637060387738
"151",-2,-1.9,"barrel","right","fastball",-8.28894680718209
"152",-2,-1.9,"barrel","right","slider",-9.21456145754976
"153",-2,-1.9,"strike","left","changeup",-7.82522614589935
"154",-2,-1.9,"strike","left","curveball",-6.94718068327145
"155",-2,-1.9,"strike","left","fastball",-15.1540620060033
"156",-2,-1.9,"strike","left","slider",-6.39256067823144
"157",-2,-1.9,"strike","right","changeup",-9.26116022204932
"158",-2,-1.9,"strike","right","curveball",-6.80457198621905
"159",-2,-1.9,"strike","right","fastball",-15.1262492163281
"160",-2,-1.9,"strike","right","slider",-5.51295582347847
"161",-2,-1.9,"whiff","left","changeup",-3.2910880404173
"162",-2,-1.9,"whiff","left","curveball",-6.52187785099647
"163",-2,-1.9,"whiff","left","fastball",-10.2262243674251
"164",-2,-1.9,"whiff","left","slider",-8.41041053093148
"165",-2,-1.9,"whiff","right","changeup",-4.72271330654929
"166",-2,-1.9,"whiff","right","curveball",-5.92452809771932
