"p_throws","pitch_type","pitch_speed","min_x","max_x","min_z","max_z","min_spin","max_spin"
"L","CH",73,0.62,0.62,0.28,0.28,1241,1241
"L","CH",75,0.96,1.12,0.02,0.59,1717,1829
"L","CH",76,0.91,1.42,0.17,0.94,1672,2068
"L","CH",77,0.65,1.5,0.01,1.17,1172,2153
"L","CH",78,0.51,1.82,-0.32,1.31,1067,2331
"L","CH",79,0.52,2.13,-0.09,1.38,1056,2342
"L","CH",80,-0.45,2.16,-0.05,1.48,1056,2712
"L","CH",81,0.34,1.88,-0.32,1.49,984,2939
"L","CH",82,-0.65,1.7,-0.54,1.46,948,2979
"L","CH",83,-0.31,1.74,-0.59,1.38,804,2987
"L","CH",84,0.34,1.82,-0.53,1.69,576,2479
"L","CH",85,0.09,1.79,-0.51,1.48,937,2998
"L","CH",86,0.12,1.78,-0.8,1.38,1013,2733
"L","CH",87,0.26,1.88,-0.42,1.72,1012,2504
"L","CH",88,0.35,1.75,-0.43,1.5,838,2976
"L","CH",89,0.19,1.71,-0.23,1.34,977,2148
"L","CH",90,0.53,1.92,-0.45,1.39,975,2147
"L","CH",91,-0.04,1.61,-0.33,1.47,1260,2180
"L","CH",92,0.94,1.6,-0.29,1.15,1503,2247
"L","CH",93,1.23,1.41,0.04,0.48,1620,2130
"L","CU",60,-0.11,-0.11,0.24,0.24,999,999
"L","CU",62,-1.4,-1.4,-1.01,-1.01,2172,2172
"L","CU",63,-1.68,-0.56,-0.7,0.01,1708,2114
"L","CU",64,-1.68,-1.37,-0.9,-0.79,2182,2272
"L","CU",65,-1.37,-1.37,-0.92,-0.92,2380,2380
"L","CU",66,-1.95,-1.57,-1.04,-0.77,2354,2526
"L","CU",67,-1.9,-1.22,-1.11,-0.73,2364,2490
"L","CU",68,-1.49,-1.19,-1.16,0.24,2363,2553
"L","CU",69,-1.79,-0.52,-1.44,-0.86,2291,2590
"L","CU",70,-1.96,0.02,-1.57,0.02,1743,2776
"L","CU",71,-1.95,-0.1,-1.66,-0.68,1902,2850
"L","CU",72,-2.22,0.09,-1.8,0.85,1517,2880
