"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-10-03","78.1","2.26","5.7","Quintana, José",621028,500779,"field_out","hit_into_play",,,,,9,"Kevin Newman lines out to center fielder Dylan Carlson.","R","R","L","PIT","STL","X",8,"line_drive",1,1,2022,"-0.67","-0.82","0.54","1.7",,,,2,3,"Bot",131.89,84.15,,,668800,,,-2.4620301134005085,-113.72183482730752,-0.19492953500745958,-5.316390200095727,22.1919820487287,-39.41168125342685,"3.36","1.61",287,"92.6",15,"78.1",2350,"6.4",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.1",0.874,0.881,"0",1,0,0,4,20,3,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",298,"-0.012","-0.093"
"FF","2022-10-03","90.5","2.35","5.68","Quintana, José",621028,500779,,"ball",,,,,11,"Kevin Newman lines out to center fielder Dylan Carlson.","R","R","L","PIT","STL","B",,,0,1,2022,"0.24","1.38","-0.96","3.49",,,,2,3,"Bot",,,,,668800,,,-8.804819003773812,-131.59699447128187,-2.4763816227557958,4.652775173190061,27.999793532472015,-15.803515554458336,"3.36","1.56",,,,"90.9",2088,"6.6",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"53.92",,,,,,,,20,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",164,"0","0.011"
"CU","2022-10-03","77.7","2.2","5.76","Quintana, José",621028,500779,,"called_strike",,,,,8,"Kevin Newman lines out to center fielder Dylan Carlson.","R","R","L","PIT","STL","S",,,0,0,2022,"-0.59","-0.74","-0.21","2.09",,,,2,3,"Bot",,,,,668800,,,-4.099201900463662,-113.14372533544707,0.44484059458520075,-4.257706453547287,21.56117621320718,-38.82341954683223,"3.28","1.61",,,,"77.7",2289,"6.4",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.13",,,,,,,,20,1,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",308,"0","-0.017"
"SI","2022-10-03","91.3","2.22","5.68","Quintana, José",641511,500779,"grounded_into_double_play","hit_into_play",,,,,5,"Jason Delay grounds into a double play, second baseman Brendan Donovan to shortstop Paul DeJong to first baseman Paul Goldschmidt.   Jack Suwinski out at 2nd.    Jason Delay out at 1st.","R","R","L","PIT","STL","X",4,"ground_ball",0,1,2022,"1.16","1.04","0.19","2.18",,,669261,0,3,"Bot",139.77,155.4,,,668800,,,-7.626958527428036,-132.68115606880158,-5.164645903418115,15.398741893265287,29.42578867670311,-18.91864962793512,"3.32","1.53",5,"97.2",-20,"91.5",2145,"6.6",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"53.94",0.114,0.103,"0",1,0,0,2,19,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",160,"-0.082","-0.444"
"SI","2022-10-03","90.9","2.25","5.77","Quintana, José",641511,500779,,"foul",,,,,6,"Jason Delay grounds into a double play, second baseman Brendan Donovan to shortstop Paul DeJong to first baseman Paul Goldschmidt.   Jack Suwinski out at 2nd.    Jason Delay out at 1st.","R","R","L","PIT","STL","S",,,0,0,2022,"1.25","0.99","0.51","2.68",,,669261,0,3,"Bot",,,,,668800,,,-7.071270866470478,-132.13079795097224,-3.9744007791120044,16.133743099137952,27.882948495425634,-19.909407677677386,"3.32","1.53",264,"81.7",36,"91.6",2030,"6.7",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"53.77",,,,,,,,19,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",154,"0","-0.066"
"SI","2022-10-03","91.3","2.17","5.73","Quintana, José",669261,500779,"walk","ball",,,,,13,"Jack Suwinski walks.","R","L","L","PIT","STL","B",,,3,1,2022,"1.03","1.07","-1.05","2.05",,,,0,3,"Bot",,,,,668800,,,-10.32571821031664,-132.48814025420873,-5.671281349263833,14.33721807173954,28.23976265019029,-18.462255609680486,"3.33","1.49",,,,"91.4",2087,"6.5",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.01",,,"0.7",1,0,0,,18,5,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",155,"0.04","0.245"
"CU","2022-10-03","79.2","2.27","5.74","Quintana, José",669261,500779,,"ball",,,,,13,"Jack Suwinski walks.","R","L","L","PIT","STL","B",,,2,1,2022,"-0.65","-0.65","-0.64","1.2",,,,0,3,"Bot",,,,,668800,,,-5.160048321943735,-115.32941588678543,-1.924902514768585,-4.877497447958512,21.4809282967532,-37.85804319832295,"3.35","1.41",,,,"79.4",2238,"6.4",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.09",,,,,,,,18,4,"Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard",308,"0","0.114"
"SV","2022-10-03","79.6","2.33","5.65","Quintana, José",669261,500779,,"ball",,,,,13,"Jack Suwinski walks.","R","L","L","PIT","STL","B",,,1,1,2022,"-1.23","-0.19","-0.85","-0.31",,,,0,3,"Bot",,,,,668800,,,-4.671635036826064,-115.67805155974737,-5.880988159122161,-9.946357866324117,24.259450976989932,-32.8642243159431,"3.38","1.44",,,,"79.5",2202,"6.6",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"53.95",,,,,,,,18,3,"Slurve",0,0,0,0,0,0,0,0,"Infield shift","Standard",309,"0","0.049"
"CU","2022-10-03","78.2","2.49","5.76","Quintana, José",669261,500779,,"foul",,,,,5,"Jack Suwinski walks.","R","L","L","PIT","STL","S",,,1,0,2022,"-0.55","-0.67","-0.01","2.51",,,,0,3,"Bot",,,,,668800,,,-4.393268006357455,-113.86489765808705,1.1187036737066351,-3.949615252496709,21.13692070577907,-38.46575936104459,"3.48","1.59",292,"92.8",21,"78.3",2240,"6.4",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.12",,,,,,,,18,2,"Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard",305,"0","-0.043"
"SI","2022-10-03","88.6","2.33","5.79","Quintana, José",669261,500779,,"ball",,,,,12,"Jack Suwinski walks.","R","L","L","PIT","STL","B",,,0,0,2022,"0.96","0.86","1.08","3.42",,,,0,3,"Bot",,,,,668800,,,-5.0515071354987535,-128.91128019162682,-1.5258627868052481,11.724675974536677,26.659113455167653,-22.463250489114973,"3.35","1.36",,,,"88.9",1926,"6.4",662309,500779,668800,502671,680977,660766,657557,572816,666185,663457,"54.05",,,,,,,,18,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",152,"0","0.033"
