"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-09-21","77.9","2.74","5.6","Bumgarner, Madison",607208,518516,"field_out","hit_into_play",,,,,5,"Trea Turner grounds out, third baseman Emmanuel Rivera to first baseman Christian Walker.","R","R","L","LAD","AZ","X",5,"ground_ball",1,0,2022,"-0.73","-0.16","0.24","2.54",,,,2,6,"Bot",101.23,167.54,,,608348,,,-4.032604035453378,-113.39786145673419,0.5919578261180305,-5.586281931075225,20.477560352822863,-33.84479022058462,"3.31","1.65",9,"71.3",-15,"77.9",2243,"6.3",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"54.24",0.049,0.044,"0",1,0,0,2,49,2,"Curveball",1,5,1,5,5,1,1,5,"Standard","Standard",298,"-0.006","-0.114"
"FC","2022-09-21","85.5","2.81","5.58","Bumgarner, Madison",607208,518516,,"ball",,,,,13,"Trea Turner grounds out, third baseman Emmanuel Rivera to first baseman Christian Walker.","R","R","L","LAD","AZ","B",,,0,0,2022,"-0.86","0.52","-0.25","1.38",,,,2,6,"Bot",,,,,608348,,,-5.526571295452779,-124.44178381841853,-4.669561947074943,-7.789099190422342,25.628737295190614,-26.060260662131515,"3.36","1.63",,,,"86.2",2339,"6.8",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.74",,,,,,,,49,1,"Cutter",1,5,1,5,5,1,1,5,"Standard","Standard",185,"0","0.015"
"CH","2022-09-21","84.1","2.69","5.66","Bumgarner, Madison",605141,518516,"strikeout","called_strike",,,,,3,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","S",2,,2,2,2022,"1","0.82","0.76","3.29",,,,1,6,"Bot",,,,,608348,,,-6.518815249011725,-122.32478997440529,-0.7570634691789775,11.331480578133894,23.058417156548437,-23.942353352350032,"3.35","1.61",,,,"84.8",1387,"6.7",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.84",,,"0",1,0,0,,48,6,"Changeup",1,5,1,5,5,1,1,5,"Infield shift","Standard",128,"-0.011","-0.134"
"FF","2022-09-21","91","2.67","5.58","Bumgarner, Madison",605141,518516,,"foul",,,,,5,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","S",,,2,2,2022,"0.5","1.28","-0.18","2.54",,,,1,6,"Bot",,,,,608348,,,-8.294025072737986,-132.20314873599807,-4.433117221746722,7.698682675427164,29.178880738936055,-16.46325976363263,"3.23","1.52",250,"75.2",52,"91.5",2277,"6.8",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.72",,,,,,,,48,5,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Infield shift","Standard",136,"0","0"
"CU","2022-09-21","78.3","2.8","5.62","Bumgarner, Madison",605141,518516,,"foul",,,,,5,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","S",,,2,1,2022,"-0.85","-0.19","0.27","2.36",,,,1,6,"Bot",,,,,608348,,,-3.9014900287664,-113.96111899717407,0.22318974748281395,-6.635169947475553,22.15312732643598,-34.134390460941724,"3.23","1.52",,,,"78.4",2380,"6.5",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"54.02",,,,,,,,48,4,"Curveball",1,5,1,5,5,1,1,5,"Infield shift","Standard",292,"0","-0.046"
"FF","2022-09-21","91.2","2.67","5.61","Bumgarner, Madison",605141,518516,,"ball",,,,,13,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","B",,,1,1,2022,"0.73","1.43","-1.32","2.35",,,,1,6,"Bot",,,,,608348,,,-11.689300202295325,-132.24950205387356,-5.380359278271593,11.048468652290012,27.552642610472617,-14.400903711046258,"3.27","1.59",,,,"91.9",2313,"6.8",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.66",,,,,,,,48,3,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Infield shift","Standard",141,"0","0.033"
"FC","2022-09-21","86.8","2.78","5.6","Bumgarner, Madison",605141,518516,,"foul",,,,,8,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","S",,,1,0,2022,"-0.37","0.5","-0.22","1.64",,,,1,6,"Bot",,,,,608348,,,-6.431613242288169,-126.28922631142399,-4.321460154956717,-2.749888493181044,24.923440673855737,-26.14226441926828,"3.23","1.52",357,"98.5",31,"87.1",2398,"6.4",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"54.07",,,,,,,,48,2,"Cutter",1,5,1,5,5,1,1,5,"Infield shift","Standard",176,"0","-0.031"
"FF","2022-09-21","90.2","2.65","5.61","Bumgarner, Madison",605141,518516,,"ball",,,,,11,"Mookie Betts called out on strikes.","R","R","L","LAD","AZ","B",,,0,0,2022,"0.73","1.5","-1.22","3.07",,,,1,6,"Bot",,,,,608348,,,-11.277010380985327,-130.92994792088354,-3.5334352151866613,10.83912344065793,27.921314104789122,-14.339795683214495,"3.17","1.47",,,,"90.8",2379,"6.8",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.69",,,,,,,,48,1,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Infield shift","Standard",141,"0","0.023"
"FC","2022-09-21","87.2","2.67","5.65","Bumgarner, Madison",593643,518516,"field_out","hit_into_play",,,,,1,"Hanser Alberto flies out to center fielder Alek Thomas.","R","R","L","LAD","AZ","X",8,"fly_ball",0,1,2022,"-0.08","0.76","-0.46","3.01",,,,0,6,"Bot",111.19,89.92,,,608348,,,-7.417585270183522,-126.81298677379546,-1.775129430945455,0.5373776294533578,24.455570372730538,-23.82124482543144,"3.43","1.64",275,"85.5",45,"88",2350,"6.7",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"53.82",0.003,0.003,"0",1,0,0,3,47,2,"Cutter",1,5,1,5,5,1,1,5,"Standard","Standard",166,"-0.018","-0.187"
"FF","2022-09-21","89.6","2.68","5.71","Bumgarner, Madison",593643,518516,,"foul",,,,,5,"Hanser Alberto flies out to center fielder Alek Thomas.","R","R","L","LAD","AZ","S",,,0,0,2022,"0.55","1.34","-0.21","2.57",,,,0,6,"Bot",,,,,608348,,,-8.317518248149472,-130.20883316525726,-4.611029721144062,7.964974646848675,26.36591639519013,-16.11396399489801,"3.43","1.64",7,"72.2",-21,"89.9",2333,"6.5",662606,518516,608348,572233,642727,656896,672695,682998,677950,664983,"54.05",,,,,,,,47,1,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard",143,"0","-0.034"
