"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-05","87.8","1.92","6.63","Gomber, Austin",669257,596295,"strikeout","swinging_strike",,,,,13,"Will Smith strikes out swinging.","R","R","L","LAD","COL","S",2,,1,2,2022,"-0.63","0.3","-1.33","2.13",,,,2,3,"Bot",,,,,661531,,,-6.599872080937221,-127.88729647566728,-5.548829951839203,-5.879112914611623,22.142151823662314,-27.99573328361567,"3.32","1.56",,,,"88.9",2400,"6.6",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"53.91",,,"0",1,0,0,,24,6,"Slider",1,1,1,1,1,1,1,1,"Infield shade","Standard",175,"-0.012","-0.07"
"CH","2022-10-05","83.8","1.9","6.52","Gomber, Austin",669257,596295,,"foul",,,,,14,"Will Smith strikes out swinging.","R","R","L","LAD","COL","S",,,1,2,2022,"0.64","0.88","1.28","1.54",,,,2,3,"Bot",,,,,661531,,,-2.733364795187741,-122.03356620600239,-6.973988353190674,6.909694123474595,21.556134487455985,-22.295735626847126,"3.32","1.56",0,"29.5",-73,"84.9",1600,"6.7",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"53.76",,,,,,,,24,5,"Changeup",1,1,1,1,1,1,1,1,"Infield shade","Standard",123,"0","0"
"FF","2022-10-05","92","1.88","6.76","Gomber, Austin",669257,596295,,"ball",,,,,11,"Will Smith strikes out swinging.","R","R","L","LAD","COL","B",,,0,2,2022,"0.29","1.51","-0.41","4",,,,2,3,"Bot",,,,,661531,,,-6.462417675481322,-133.7772137325837,-4.44644069996642,4.923619718802744,29.09524677128864,-13.257995445583484,"3.51","1.63",,,,"92",2247,"6.4",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54.14",,,,,,,,24,4,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shade","Standard",148,"0","0.011"
"KC","2022-10-05","77.2","1.76","6.61","Gomber, Austin",669257,596295,,"foul",,,,,14,"Will Smith strikes out swinging.","R","R","L","LAD","COL","S",,,0,2,2022,"-0.68","-1.14","0.3","1.15",,,,2,3,"Bot",,,,,661531,,,-1.8850522083728767,-112.38706855899053,-2.605465316024735,-5.449375400731525,20.70144746349755,-41.53090519930603,"3.32","1.56",2,"43",-28,"77.6",2665,"6.6",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"53.95",,,,,,,,24,3,"Knuckle Curve",1,1,1,1,1,1,1,1,"Infield shade","Standard",341,"0","0"
"SL","2022-10-05","85.7","1.89","6.75","Gomber, Austin",669257,596295,,"foul",,,,,13,"Will Smith strikes out swinging.","R","R","L","LAD","COL","S",,,0,1,2022,"-0.44","0.37","-0.88","2.33",,,,2,3,"Bot",,,,,661531,,,-5.67134999317414,-124.75502275581592,-5.0218279028353425,-3.6749829383667327,20.512731869553768,-27.568059547589446,"3.32","1.56",91,"99.5",5,"86.3",2397,"6.3",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54.25",,,,,,,,24,2,"Slider",1,1,1,1,1,1,1,1,"Strategic","Standard",186,"0","-0.023"
"FF","2022-10-05","91.8","1.92","6.69","Gomber, Austin",669257,596295,,"called_strike",,,,,8,"Will Smith strikes out swinging.","R","R","L","LAD","COL","S",,,0,0,2022,"0.55","1.6","0.06","1.66",,,,2,3,"Bot",,,,,661531,,,-5.909765574235102,-133.38040472442606,-10.361465526628807,7.740462963476356,26.060731894987377,-11.001382167686987,"3.48","1.55",,,,"92.1",2278,"6.3",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54.15",,,,,,,,24,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",154,"0","-0.017"
"KC","2022-10-05","76.3","1.87","6.66","Gomber, Austin",518692,596295,"home_run","hit_into_play",,,,,5,"Freddie Freeman homers (21) on a fly ball to center field.","R","L","L","LAD","COL","X",,"fly_ball",0,0,2022,"-0.97","-1.06","-0.23","2.43",,,,2,3,"Bot",87.72,44.86,,,661531,,,-2.67024084515297,-111.16920566791522,0.029454025390037497,-7.608694232968724,19.341626895556175,-41.23858829942875,"3.62","1.8",393,"102.1",28,"76.6",2424,"6.3",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54.15",0.694,1.332,"2",1,0,3,6,23,1,"Knuckle Curve",0,1,0,1,1,1,1,1,"Standard","Standard",333,"0.128","1"
"FF","2022-10-05","91.2","1.97","6.66","Gomber, Austin",607208,596295,"strikeout","swinging_strike",,,,,11,"Trea Turner strikes out swinging.","R","R","L","LAD","COL","S",2,,1,2,2022,"0.38","1.55","-0.68","3.63",,,,1,3,"Bot",,,,,661531,,,-7.506135765697452,-132.7161994618032,-5.137546096210866,5.922690580315114,25.394288131140947,-12.900800379994124,"3.3","1.58",,,,"91.9",2124,"6.5",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54",,,"0",1,0,0,,22,5,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Strategic","Standard",154,"-0.019","-0.112"
"CH","2022-10-05","82.8","1.93","6.51","Gomber, Austin",607208,596295,,"foul",,,,,6,"Trea Turner strikes out swinging.","R","R","L","LAD","COL","S",,,1,2,2022,"0.77","0.82","0.76","2.7",,,,1,3,"Bot",,,,,661531,,,-4.210053098341204,-120.65428370603288,-3.907787808071041,8.33979517135584,20.617115892807302,-23.58813858573296,"3.3","1.58",175,"67.4",62,"83.7",1622,"6.5",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"53.97",,,,,,,,22,4,"Changeup",0,1,0,1,1,0,0,1,"Strategic","Standard",121,"0","0"
"SL","2022-10-05","86.8","1.87","6.66","Gomber, Austin",607208,596295,,"ball",,,,,13,"Trea Turner strikes out swinging.","R","R","L","LAD","COL","B",,,0,2,2022,"-0.57","0.42","-0.9","1.34",,,,1,3,"Bot",,,,,661531,,,-5.516202357215575,-126.30816524886964,-7.516622971404096,-5.143366813499189,22.433108306108878,-26.453764864739835,"3.5","1.79",,,,"87.7",2400,"6.6",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"53.92",,,,,,,,22,3,"Slider",0,1,0,1,1,0,0,1,"Standard","Standard",166,"0","0.011"
"KC","2022-10-05","76.5","1.99","6.67","Gomber, Austin",607208,596295,,"swinging_strike",,,,,8,"Trea Turner strikes out swinging.","R","R","L","LAD","COL","S",,,0,1,2022,"-0.78","-1.3","-0.23","1.5",,,,1,3,"Bot",,,,,661531,,,-3.2720157710284363,-111.30530922353753,-1.4663518754119036,-5.807717342121817,21.87266104295782,-42.81867664745435,"3.3","1.58",,,,"76",2524,"6.2",662623,596295,661531,669911,663898,641857,678662,656248,641658,545341,"54.34",,,,,,,,22,2,"Knuckle Curve",0,1,0,1,1,0,0,1,"Standard","Standard",335,"0","-0.031"
