"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-10-04","81.3","2.14","6.15","Springs, Jeffrey",593428,605488,"field_out","hit_into_play",,,,,6,"Xander Bogaerts lines out to shortstop Wander Franco.","R","R","L","BOS","TB","X",6,"line_drive",2,2,2022,"1.07","0.7","0.59","2.26",,,,2,3,"Bot",114.14,140.93,,,542194,,,-5.5343986380025685,-118.35065622340663,-3.461911121173658,11.079288695445562,22.18847554645878,-25.110923561419824,"3.52","1.59",152,"94.8",9,"81.5",1506,"6.4",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"54.13",0.597,0.537,"0",1,0,0,4,22,5,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",123,"-0.009","-0.083"
"CH","2022-10-04","79.5","2.22","6.12","Springs, Jeffrey",593428,605488,,"called_strike",,,,,7,"Xander Bogaerts lines out to shortstop Wander Franco.","R","R","L","BOS","TB","S",,,2,1,2022,"1.14","0.57","-0.42","1.56",,,,2,3,"Bot",,,,,542194,,,-7.890323089027828,-115.46312012105084,-4.248065907810363,11.692112327291985,21.54589814243358,-26.492714696241823,"3.65","1.6",,,,"79.1",1367,"6.2",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"54.35",,,,,,,,22,4,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",117,"0","-0.031"
"FF","2022-10-04","91.9","2.09","5.76","Springs, Jeffrey",593428,605488,,"ball",,,,,11,"Xander Bogaerts lines out to shortstop Wander Franco.","R","R","L","BOS","TB","B",,,1,1,2022,"0.7","1.48","-0.54","3.84",,,,2,3,"Bot",,,,,542194,,,-8.237756006047958,-133.56601790451998,-2.201128126172899,10.206439763896038,31.013545490274865,-14.222122406179668,"3.65","1.63",,,,"92.2",2056,"6.7",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"53.78",,,,,,,,22,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",137,"0","0.021"
"CH","2022-10-04","81","2.12","6.16","Springs, Jeffrey",593428,605488,,"ball",,,,,14,"Xander Bogaerts lines out to shortstop Wander Franco.","R","R","L","BOS","TB","B",,,0,1,2022,"1.54","0.36","0.68","0.71",,,,2,3,"Bot",,,,,542194,,,-6.129493948028724,-117.63248158981108,-6.080287690067206,15.483543612030228,25.892561114168938,-27.72186340890501,"3.68","1.63",,,,"80.1",1380,"6.1",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"54.37",,,,,,,,22,2,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",123,"0","0.011"
"SL","2022-10-04","86.9","2.3","5.9","Springs, Jeffrey",593428,605488,,"called_strike",,,,,5,"Xander Bogaerts lines out to shortstop Wander Franco.","R","R","L","BOS","TB","S",,,0,0,2022,"-0.32","0.73","-0.18","2.67",,,,2,3,"Bot",,,,,542194,,,-5.298363955517802,-126.43014325748294,-2.993524344181009,-2.2021088669618556,29.00808836907728,-23.94129602020979,"3.68","1.6",,,,"86.8",2197,"6.5",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"53.95",,,,,,,,22,1,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",161,"0","-0.017"
"FF","2022-10-04","90.3","2.12","5.81","Springs, Jeffrey",646240,605488,"field_out","hit_into_play",,,,,2,"Rafael Devers lines out to second baseman Taylor Walls.","R","L","L","BOS","TB","X",4,"line_drive",3,1,2022,"1.15","1.34","-0.16","2.81",,,,1,3,"Bot",154.64,136.02,,,542194,,,-8.181517823520737,-131.10076012241186,-4.3145876110758685,15.103553362268785,30.488978976471547,-16.029999761139116,"3.36","1.5",175,"94.9",12,"90.4",2183,"6.7",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"53.8",0.894,0.873,"0",1,0,0,4,21,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",139,"-0.015","-0.256"
"SL","2022-10-04","88.3","2.35","5.89","Springs, Jeffrey",646240,605488,,"ball",,,,,13,"Rafael Devers lines out to second baseman Taylor Walls.","R","L","L","BOS","TB","B",,,2,1,2022,"-0.12","0.77","-1.55","2.18",,,,1,3,"Bot",,,,,542194,,,-9.227178600746448,-128.3254379069089,-4.526552411971694,0.5676831089269319,26.126203379641744,-22.943783297021717,"3.5","1.6",,,,"88.3",2145,"6.3",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"54.18",,,,,,,,21,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",164,"0","0.075"
"FF","2022-10-04","92.1","2.08","5.83","Springs, Jeffrey",646240,605488,,"ball",,,,,13,"Rafael Devers lines out to second baseman Taylor Walls.","R","L","L","BOS","TB","B",,,1,1,2022,"1.21","1.48","-1.49","2.08",,,,1,3,"Bot",,,,,542194,,,-11.71573402363365,-133.34943927533405,-6.835459240156088,17.043872960405448,30.82802371819762,-13.18554690704842,"3.5","1.6",,,,"92",2175,"6.7",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"53.82",,,,,,,,21,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",140,"0","0.033"
"FF","2022-10-04","91.3","2.28","5.81","Springs, Jeffrey",646240,605488,,"ball",,,,,1,"Rafael Devers lines out to second baseman Taylor Walls.","R","L","L","BOS","TB","B",,,0,1,2022,"1.39","1.46","-0.66","3.2",,,,1,3,"Bot",,,,,542194,,,-10.4061856013813,-132.43632385491333,-3.7752968754948624,18.622438052496733,29.997115260268252,-14.361073082189385,"3.41","1.58",,,,"91.1",2231,"6.5",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"54",,,,,,,,21,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",139,"0","0.016"
"FF","2022-10-04","90.8","2.2","5.87","Springs, Jeffrey",646240,605488,,"called_strike",,,,,4,"Rafael Devers lines out to second baseman Taylor Walls.","R","L","L","BOS","TB","S",,,0,0,2022,"1.21","1.37","-0.59","2.74",,,,1,3,"Bot",,,,,542194,,,-9.64673243522869,-131.7280311091321,-4.773028040501552,16.316220863933925,31.933987311153764,-15.401513324077488,"3.53","1.6",,,,"90.7",2132,"6.7",663452,605488,542194,670623,670764,650490,677551,666018,642350,660644,"53.77",,,,,,,,21,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",140,"0","-0.024"
