"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2022-10-04","89.1","1.88","5.83","Lauer, Eric",572233,641778,"field_out","hit_into_play",,,,,3,"Christian Walker flies out to right fielder Hunter Renfroe.","R","R","L","MIL","AZ","X",9,"fly_ball",1,2,2022,"-0.05","1.06","0.51","2.96",,,,2,6,"Top",126.19,191.07,,,553882,,,-3.246188869073167,-129.7435684785337,-3.2584753340852237,0.08525625719453893,26.946432295074267,-19.728420203004475,"3.32","1.54",202,"92.1",58,"89",2248,"6.2",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.33",0.006,0.007,"0",1,0,0,3,45,4,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",162,"0.009","-0.07"
"FF","2022-10-04","93.3","1.43","6.08","Lauer, Eric",572233,641778,,"foul",,,,,11,"Christian Walker flies out to right fielder Hunter Renfroe.","R","R","L","MIL","AZ","S",,,1,1,2022,"0.63","1.53","-1.14","3.39",,,,2,6,"Top",,,,,553882,,,-7.967376800291184,-135.62376793318072,-4.494010849248242,9.541606132274827,30.821754599431657,-12.475959112540838,"3.32","1.54",35,"23.8",54,"92.8",2175,"6.1",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.36",,,,,,,,45,3,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",143,"0","-0.023"
"CH","2022-10-04","87.5","1.74","5.78","Lauer, Eric",572233,641778,,"ball",,,,,13,"Christian Walker flies out to right fielder Hunter Renfroe.","R","R","L","MIL","AZ","B",,,0,1,2022,"1.3","1","-0.6","-0.12",,,,2,6,"Top",,,,,553882,,,-8.289476212985702,-126.89488607232087,-10.112758830148751,15.709386542648009,25.584141166817545,-19.48087984427068,"3.21","1.32",,,,"87.2",1638,"6.3",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.22",,,,,,,,45,2,"Changeup",3,0,0,3,0,3,0,3,"Standard","Standard",124,"0","0.011"
"FC","2022-10-04","87.8","1.72","5.99","Lauer, Eric",572233,641778,,"foul",,,,,8,"Christian Walker flies out to right fielder Hunter Renfroe.","R","R","L","MIL","AZ","S",,,0,0,2022,"-0.18","0.98","-0.2","1.66",,,,2,6,"Top",,,,,553882,,,-4.263014467521446,-127.77505179510881,-6.449219288403708,-1.1883179755537339,23.260481252215953,-20.305024566568395,"3.32","1.54",5,"93.7",-20,"88",2209,"6.2",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.32",,,,,,,,45,1,"Cutter",3,0,0,3,0,3,0,3,"Infield shade","Standard",162,"0","-0.017"
"CU","2022-10-04","78.1","1.75","6.05","Lauer, Eric",664983,641778,"field_out","hit_into_play",,,,,4,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","X",4,"ground_ball",2,2,2022,"-0.4","-0.51","-0.53","2.4",,,,1,6,"Top",158.06,128.57,,,553882,,,-4.147947503548395,-113.70040759867757,-0.07171867586382907,-2.77029848994994,20.431159753254455,-36.76525848602639,"3.44","1.67",147,"83.6",11,"77.8",2370,"6",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.52",0.549,0.503,"0",1,0,0,4,44,8,"Curveball",3,0,0,3,0,3,0,3,"Infield shift","Standard",314,"0.014","-0.134"
"FF","2022-10-04","94.4","1.49","5.98","Lauer, Eric",664983,641778,,"foul",,,,,1,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","S",,,2,2,2022,"0.88","1.51","-0.46","2.93",,,,1,6,"Top",,,,,553882,,,-6.983123940801411,-137.13676167659165,-5.544092856748239,12.658845164081027,32.425940168088054,-12.147081935063104,"3.44","1.67",238,"74",34,"93.7",2379,"6.1",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.39",,,,,,,,44,7,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Infield shift","Standard",143,"0","0"
"FF","2022-10-04","93.5","1.64","6.04","Lauer, Eric",664983,641778,,"foul",,,,,4,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","S",,,2,2,2022,"0.83","1.51","-0.32","2.3",,,,1,6,"Top",,,,,553882,,,-6.844991197611444,-135.85395680555007,-7.185870752942902,11.767254608143663,28.291536870457904,-12.119007758588058,"3.44","1.67",208,"72.9",45,"93.4",2233,"6.2",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.29",,,,,,,,44,6,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Infield shift","Standard",137,"0","0"
"SL","2022-10-04","85","1.72","5.95","Lauer, Eric",664983,641778,,"foul",,,,,2,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","S",,,2,2,2022,"-0.33","0.15","0.17","3.27",,,,1,6,"Top",,,,,553882,,,-2.9663235834603086,-123.87822090280551,-0.33996732514780303,-2.8707114977253942,22.967654935420033,-30.777925407823666,"3.44","1.67",175,"70.8",64,"85",2223,"6",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.48",,,,,,,,44,5,"Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard",220,"0","0"
"SL","2022-10-04","86.3","1.68","5.87","Lauer, Eric",664983,641778,,"swinging_strike",,,,,13,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","S",,,2,1,2022,"-0.33","0.33","-0.98","1.72",,,,1,6,"Top",,,,,553882,,,-5.634125488325914,-125.6254267010343,-4.389571978757801,-2.5220164733187507,23.01877786741658,-28.03358373020235,"3.44","1.67",,,,"86.5",2236,"6.2",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.3",,,,,,,,44,4,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",187,"0","-0.046"
"FF","2022-10-04","93.5","1.56","5.95","Lauer, Eric",664983,641778,,"ball",,,,,9,"Jake McCarthy grounds out, second baseman Jace Peterson to first baseman Keston Hiura.","R","L","L","MIL","AZ","B",,,1,1,2022,"1","1.32","0.64","1.76",,,,1,6,"Top",,,,,553882,,,-4.540340400977354,-135.87651842975657,-7.885044632681925,13.328962824968464,31.02993195029738,-14.239570451267827,"3.37","1.65",,,,"92.8",2218,"6",661223,641778,553882,669374,607054,670712,649966,621438,669003,592669,"54.47",,,,,,,,44,3,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",141,"0","0.033"
