"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-08-26","91.4","2","6.13","Steele, Justin",592669,657006,"field_out","hit_into_play",,,,,1,"Hunter Renfroe flies out to left fielder Ian Happ.","R","R","L","MIL","CHC","X",7,"fly_ball",2,2,2022,"0.2","0.59","-0.37","2.96",,,,0,6,"Bot",70.77,62.16,,,575929,,,-6.365379881298763,-133.01652853418435,-3.4210889973515033,3.642856438518966,25.30103429081687,-24.664178015312338,"3.36","1.58",363,"97.7",34,"91.1",2017,"5.9",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.62",0.229,0.429,"0",1,0,0,5,41,5,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",148,"-0.021","-0.195"
"FF","2022-08-26","90.9","2.03","6.1","Steele, Justin",592669,657006,,"foul_tip",,,,,2,"Hunter Renfroe flies out to left fielder Ian Happ.","R","R","L","MIL","CHC","S",,,2,1,2022,"-0.15","1.18","-0.01","3.32",,,,0,6,"Bot",,,,,575929,,,-4.773191790472715,-132.37669754139324,-3.655202112475409,-0.9136767354181642,24.116829401421068,-17.661187488833033,"3.36","1.58",,,,"91",2545,"6",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.54",,,,,,,,41,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",176,"0","-0.066"
"CH","2022-08-26","87.3","1.72","6.22","Steele, Justin",592669,657006,,"ball",,,,,9,"Hunter Renfroe flies out to left fielder Ian Happ.","R","R","L","MIL","CHC","B",,,1,1,2022,"1","1","0.51","1.56",,,,0,6,"Bot",,,,,575929,,,-4.932739946148757,-127.0370811242375,-7.09977556121838,11.783226711052238,24.555586878025064,-20.14935452439789,"3.3","1.58",,,,"86.9",1812,"5.9",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.6",,,,,,,,41,3,"Changeup",1,0,1,0,0,1,1,0,"Standard","Standard",155,"0","0.049"
"SL","2022-08-26","81.8","1.93","6.12","Steele, Justin",592669,657006,,"ball",,,,,13,"Hunter Renfroe flies out to left fielder Ian Happ.","R","R","L","MIL","CHC","B",,,0,1,2022,"-1.17","-0.52","-0.12","0.36",,,,0,6,"Bot",,,,,575929,,,-2.3391988846717444,-119.0834602321919,-5.3447021920813595,-10.610729380748671,24.786424008805774,-36.219783526123685,"3.31","1.58",,,,"81.1",2768,"5.9",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.56",,,,,,,,41,2,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",313,"0","0.025"
"SI","2022-08-26","90","1.95","6.12","Steele, Justin",592669,657006,,"foul",,,,,5,"Hunter Renfroe flies out to left fielder Ian Happ.","R","R","L","MIL","CHC","S",,,0,0,2022,"0.38","0.96","0.12","2.66",,,,0,6,"Bot",,,,,575929,,,-5.30612963702826,-130.95191223145616,-4.625756446332025,5.528767012955361,27.937049484901397,-20.295754708344973,"3.36","1.58",2,"62.5",-54,"89.5",2455,"6",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.51",,,,,,,,41,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",162,"0","-0.034"
"FF","2022-08-26","93.6","1.97","5.89","Steele, Justin",457705,657006,"strikeout","swinging_strike",,,,,12,"Andrew McCutchen strikes out swinging.","R","R","L","MIL","CHC","S",2,,0,2,2022,"-0.16","0.84","0.93","3.89",,,,2,5,"Bot",,,,,575929,,,-2.3342522948805273,-136.50477018325842,-1.385857783507431,-1.5450947576977758,25.448739034603122,-21.53293897994754,"3.32","1.57",,,,"94",2598,"6.1",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.42",,,"0",1,0,0,,37,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",177,"-0.01","-0.059"
"FF","2022-08-26","93.1","2.06","6.01","Steele, Justin",457705,657006,,"foul",,,,,4,"Andrew McCutchen strikes out swinging.","R","R","L","MIL","CHC","S",,,0,1,2022,"-0.18","1.04","-0.7","2.71",,,,2,5,"Bot",,,,,575929,,,-6.650643649007612,-135.37389326863413,-4.954555593091889,-0.8508716802276779,28.76269714214766,-18.520434640560897,"3.32","1.57",7,"77.9",-22,"92.8",2694,"6.1",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.39",,,,,,,,37,2,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",160,"0","-0.023"
"FF","2022-08-26","93.2","1.87","5.97","Steele, Justin",457705,657006,,"swinging_strike",,,,,7,"Andrew McCutchen strikes out swinging.","R","R","L","MIL","CHC","S",,,0,0,2022,"-0.37","1.01","-0.48","1.84",,,592885,1,5,"Bot",,,,,575929,,,-5.218239366047498,-135.63439649922887,-7.078823492939445,-3.5063238926855678,28.31885461318342,-18.32673333905215,"3.32","1.57",,,,"93",2672,"6.1",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.41",,,,,,,,37,1,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard",167,"-0.038","-0.048"
"SL","2022-08-26","84.9","1.82","6.05","Steele, Justin",642715,657006,"strikeout","swinging_strike",,,,,13,"Willy Adames strikes out swinging.","R","R","L","MIL","CHC","S",2,,1,2,2022,"-1.56","-0.13","-0.91","1.43",,,592885,0,5,"Bot",,,,,575929,,,-3.2295462731777906,-123.54235711961122,-4.147754128843762,-15.167730373865307,27.425703743443783,-32.78439232183384,"3.43","1.68",,,,"84.1",2944,"6.1",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.45",,,"0",1,0,0,,36,4,"Slider",1,0,1,0,0,1,1,0,"Standard","Standard",305,"-0.031","-0.251"
"FF","2022-08-26","92.5","1.91","5.95","Steele, Justin",642715,657006,,"swinging_strike",,,,,13,"Willy Adames strikes out swinging.","R","R","L","MIL","CHC","S",,,1,1,2022,"-0.02","0.48","-0.51","1.04",,,592885,0,5,"Bot",,,,,575929,,,-6.127545007387268,-134.43508176250012,-7.717262135096891,1.1406241517922784,29.3703480569453,-24.890121145215584,"3.43","1.68",,,,"92.2",2664,"6.2",661189,657006,575929,664731,663611,656716,663538,664023,666624,673548,"54.28",,,,,,,,36,3,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard",190,"0","-0.088"
