"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-09-30","83.1","1.53","5.8","Detmers, Reid",673962,672282,"field_out","hit_into_play",,,,,8,"Josh Jung pops out to shortstop Livan Soto.","R","R","L","LAA","TEX","X",6,"popup",2,1,2022,"1.03","0.68","-0.01","1.98",,,666969,2,6,"Top",121.73,117.35,,,681351,,,-5.455001060799851,-121.03006810070828,-3.6622600367801827,11.121793132375945,20.6235566095951,-25.021385569767546,"3.56","1.66",212,"84.2",55,"82.5",1439,"5.5",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.97",0.026,0.03,"0",1,0,0,3,46,4,"Changeup",3,1,1,3,1,3,1,3,"Infield shift","Standard",127,"0.03","-0.238"
"FF","2022-09-30","92.6","1.56","5.79","Detmers, Reid",673962,672282,,"called_strike",,,,,1,"Josh Jung pops out to shortstop Livan Soto.","R","R","L","LAA","TEX","S",,,2,0,2022,"1","1.24","-0.76","3.27",,,666969,2,6,"Top",,,,,681351,,,-7.994708384646791,-134.6915125059419,-3.3011922675666403,13.923535564838678,28.895187596376246,-16.555712725498196,"3.64","1.72",,,,"91.7",2009,"5.7",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.77",,,,,,,,46,3,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard",132,"0","-0.057"
"SL","2022-09-30","85.9","1.37","6","Detmers, Reid",673962,672282,,"ball",,,,,14,"Josh Jung pops out to shortstop Livan Soto.","R","R","L","LAA","TEX","B",,,1,0,2022,"-0.01","0.14","0.92","2.26",,,666969,2,6,"Top",,,,,681351,,,-1.0284515355387729,-125.06680884093167,-2.8170014865346786,0.1268894859911488,27.398704714186955,-30.32702198638708,"3.63","1.77",,,,"84.6",1897,"5.6",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.91",,,,,,,,46,2,"Slider",3,1,1,3,1,3,1,3,"Infield shift","Standard",239,"0","0.044"
"FF","2022-09-30","91.9","1.55","5.82","Detmers, Reid",673962,672282,,"ball",,,,,12,"Josh Jung pops out to shortstop Livan Soto.","R","R","L","LAA","TEX","B",,,0,0,2022,"0.98","1.18","0.77","3.91",,,666969,2,6,"Top",,,,,681351,,,-4.051906644121559,-133.7702277491643,-1.5109444587407739,12.645155446971973,29.613107568976247,-17.913065592651805,"3.68","1.72",,,,"90.9",1930,"5.7",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.76",,,,,,,,46,1,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard",141,"0","0.032"
"FF","2022-09-30","93.4","1.56","5.92","Detmers, Reid",666969,672282,"single","hit_into_play",,,,,5,"Adolis Garcia singles on a sharp ground ball to left fielder Jo Adell.","R","R","L","LAA","TEX","X",7,"ground_ball",2,1,2022,"1.02","1.48","-0.01","2.63",,,,2,6,"Top",76.37,116.14,,,681351,,,-6.205163100165007,-135.7815118820538,-5.896067081964272,13.95593713544126,30.564898633456284,-12.715620543754365,"3.33","1.63",53,"109.2",0,"92.2",2190,"5.7",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.79",0.503,0.463,"0.9",1,1,0,4,45,4,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",139,"-0.018","0.102"
"CU","2022-09-30","72.3","1.49","6.24","Detmers, Reid",666969,672282,,"foul",,,,,6,"Adolis Garcia singles on a sharp ground ball to left fielder Jo Adell.","R","R","L","LAA","TEX","S",,,2,0,2022,"-1.17","-1.51","0.33","2.79",,,,2,6,"Top",,,,,681351,,,-0.32430413913040973,-105.13929210080148,3.169557073897047,-8.470326873681946,21.52641596270465,-44.08699049757053,"3.33","1.63",204,"95.8",61,"70.2",2519,"5.1",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"55.36",,,,,,,,45,3,"Curveball",3,1,1,3,1,3,1,3,"Standard","Standard",322,"0","-0.023"
"FF","2022-09-30","92.3","1.52","5.99","Detmers, Reid",666969,672282,,"ball",,,,,12,"Adolis Garcia singles on a sharp ground ball to left fielder Jo Adell.","R","R","L","LAA","TEX","B",,,1,0,2022,"1.01","1.28","1","3.95",,,,2,6,"Top",,,,,681351,,,-3.461593278194737,-134.33358349934778,-2.105982116816019,12.978227832038804,29.50264156886752,-16.485441976235034,"3.45","1.7",,,,"91.1",2158,"5.6",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.94",,,,,,,,45,2,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",137,"0","0.023"
"FF","2022-09-30","92.3","1.73","5.88","Detmers, Reid",666969,672282,,"ball",,,,,12,"Adolis Garcia singles on a sharp ground ball to left fielder Jo Adell.","R","R","L","LAA","TEX","B",,,0,0,2022,"1.09","1.39","0.84","4.27",,,,2,6,"Top",,,,,681351,,,-4.548736655073699,-134.38090195286696,-1.2797933736350364,14.13506700435543,29.922973146396764,-15.316312306890332,"3.68","1.81",,,,"91.2",2211,"5.6",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.87",,,,,,,,45,1,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",134,"0","0.015"
"SL","2022-09-30","84.7","1.48","6.11","Detmers, Reid",663993,672282,"field_out","hit_into_play",,,,,4,"Nathaniel Lowe flies out to center fielder Mike Trout.","R","L","L","LAA","TEX","X",8,"fly_ball",1,2,2022,"-0.11","-0.08","-0.32","2.32",,,,1,6,"Top",92.54,70.33,,,681351,,,-3.941395754187218,-123.41933930662688,-2.3903500768594688,-0.38114002920822887,22.6586648559285,-32.73109427392903,"3.33","1.57",329,"90.9",35,"83.8",2242,"5.4",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"55.07",0.037,0.054,"0",1,0,0,3,44,4,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",315,"0.021","-0.112"
"SL","2022-09-30","87.9","1.48","6.1","Detmers, Reid",663993,672282,,"swinging_strike",,,,,13,"Nathaniel Lowe flies out to center fielder Mike Trout.","R","L","L","LAA","TEX","S",,,1,1,2022,"-0.11","0.21","-1.18","2.31",,,,1,6,"Top",,,,,681351,,,-6.13641591732716,-127.81011031337783,-3.4097209265353308,0.17639846305760554,28.558810233979973,-29.394696576180284,"3.33","1.57",,,,"86.5",2084,"5.6",663406,672282,681351,642136,664058,650859,670869,666176,545361,621493,"54.86",,,,,,,,44,3,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",270,"0","-0.036"
