"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-02","93.8","-3.09","5.42","Lynn, Lance",543592,458681,"field_out","hit_into_play",,,,,4,"Austin Nola grounds out, third baseman Yoan Moncada to first baseman Andrew Vaughn.","R","R","R","SD","CWS","X",5,"ground_ball",0,0,2022,"-0.52","1.16","-0.5","2.23",,,,2,7,"Bot",107.75,163.24,,,656024,,,7.892552868458307,-136.2687171447234,-5.045932336492742,-8.332786870865533,31.878698785645366,-16.788027075844933,"3.43","1.56",4,"87.8",-26,"93.9",2497,"6.6",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"53.93",0.06,0.054,"0",1,0,0,2,53,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",209,"-0.023","-0.099"
"FF","2022-10-02","91.3","-3.15","5.34","Lynn, Lance",673490,458681,"home_run","hit_into_play",,,,,4,"Ha-Seong Kim homers (11) on a line drive to left field.","R","R","R","SD","CWS","X",,"line_drive",0,0,2022,"-0.69","0.69","-0.29","2.28",,,,2,7,"Bot",28.45,60.71,,,656024,,,8.705662041648855,-132.69348017870703,-3.2864276928073735,-10.021316847205,28.175905448904015,-23.561175054193917,"3.36","1.49",416,"104.5",22,"91.5",2302,"6.5",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"54.02",0.743,1.172,"2",1,0,3,6,52,1,"4-Seam Fastball",0,2,0,2,2,1,1,2,"Standard","Standard",215,"0.125","1"
"FC","2022-10-02","89.2","-3.53","5.26","Lynn, Lance",605137,458681,"strikeout","swinging_strike",,,,,11,"Josh Bell strikes out swinging, catcher Carlos Perez to first baseman Andrew Vaughn.","R","L","R","SD","CWS","S",2,,1,2,2022,"-0.59","0.77","-1.11","3.37",,,,1,7,"Bot",,,,,656024,,,7.215903420054953,-129.68974475256354,-0.21326919500198416,-8.189454116907537,27.788240931107296,-23.70224589488921,"3.74","1.78",,,,"89.5",2715,"6.6",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"53.91",,,"0",1,0,0,,51,5,"Cutter",0,2,0,2,2,0,0,2,"Infield shift","Standard",164,"-0.026","-0.112"
"FF","2022-10-02","93.5","-3.25","5.48","Lynn, Lance",605137,458681,,"ball",,,,,11,"Josh Bell strikes out swinging, catcher Carlos Perez to first baseman Andrew Vaughn.","R","L","R","SD","CWS","B",,,0,2,2022,"-0.67","1.23","-1.85","5.23",,,,1,7,"Bot",,,,,656024,,,5.079035498422597,-135.9994630558363,2.4300969974014484,-9.432056246825944,31.637960208251837,-17.836234378625253,"3.66","1.67",,,,"93.3",2596,"6.4",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"54.14",,,,,,,,51,4,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",206,"0","0.011"
"FF","2022-10-02","93.6","-3.25","5.3","Lynn, Lance",605137,458681,,"foul",,,,,6,"Josh Bell strikes out swinging, catcher Carlos Perez to first baseman Andrew Vaughn.","R","L","R","SD","CWS","S",,,0,2,2022,"-0.71","1.38","0.58","2.91",,,,1,7,"Bot",,,,,656024,,,11.473504991259464,-135.71994593040623,-3.376778078308506,-11.51041104464816,33.562488511739566,-14.659435161419017,"3.74","1.78",185,"62.7",53,"93.3",2632,"6.6",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"53.9",,,,,,,,51,3,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",215,"0","0"
"FF","2022-10-02","92.9","-3.31","5.34","Lynn, Lance",605137,458681,,"swinging_strike",,,,,5,"Josh Bell strikes out swinging, catcher Carlos Perez to first baseman Andrew Vaughn.","R","L","R","SD","CWS","S",,,0,1,2022,"-0.59","1.43","0.25","2.74",,,,1,7,"Bot",,,,,656024,,,10.439857991050713,-134.86932487904602,-3.9332561585573838,-9.6493524887261,32.21717954240443,-14.14394934359393,"3.74","1.78",,,,"92.7",2606,"6.5",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"54",,,,,,,,51,2,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",215,"0","-0.031"
"FC","2022-10-02","88.9","-3.37","5.4","Lynn, Lance",605137,458681,,"called_strike",,,,,3,"Josh Bell strikes out swinging, catcher Carlos Perez to first baseman Andrew Vaughn.","R","L","R","SD","CWS","S",,,0,0,2022,"-0.13","0.69","0.29","3.48",,,,1,7,"Bot",,,,,656024,,,9.270371931763448,-129.1169417793236,-0.021364405215341997,-3.6321057160972368,29.822272175640666,-24.710598615996496,"3.77","1.7",,,,"88.6",2745,"6.4",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"54.05",,,,,,,,51,1,"Cutter",0,2,0,2,2,0,0,2,"Infield shift","Standard",171,"0","-0.024"
"FC","2022-10-02","87.5","-3.29","5.46","Lynn, Lance",592273,458681,"field_out","hit_into_play",,,,,4,"Brandon Drury pops out to third baseman Yoan Moncada.","R","R","R","SD","CWS","X",5,"popup",0,0,2022,"-0.18","0.82","-0.75","2.94",,,,0,7,"Bot",91.78,163.75,,,656024,,,6.49953768591558,-127.19856886902262,-1.5921129396902973,-3.327070077759978,27.518156043357823,-23.14265836390908,"3.6","1.68",74,"66.3",74,"87.2",2507,"6.3",662190,458681,656024,683734,543281,660162,462101,572041,641553,592622,"54.2",0.006,0.006,"0",1,0,0,3,50,1,"Cutter",0,2,0,2,2,0,0,2,"Infield shift","Standard",179,"-0.038","-0.221"
"FF","2022-10-02","92.4","-3.32","5.35","Lynn, Lance",630105,458681,"field_out","hit_into_play",,,,,3,"Jake Cronenworth lines out to center fielder Adam Engel.","R","L","R","SD","CWS","X",8,"line_drive",1,0,2022,"-0.16","1.34","0.35","3.21",,,,2,6,"Bot",146.97,80.46,,,656024,,,9.712042655403962,-134.22806144889245,-2.4920990480717267,-4.186396556622417,31.944334665471455,-15.756261574536694,"3.2","1.5",300,"82.2",29,"92.3",2589,"6.6",662190,458681,656024,683734,543281,660162,462101,572041,641553,663853,"53.93",0.109,0.13,"0",1,0,0,3,44,2,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shift","Standard",202,"-0.019","-0.114"
"FC","2022-10-02","90.5","-3.45","5.3","Lynn, Lance",630105,458681,,"ball",,,,,9,"Jake Cronenworth lines out to center fielder Adam Engel.","R","L","R","SD","CWS","B",,,0,0,2022,"0.25","0.92","0.76","1.92",,,,2,6,"Bot",,,,,656024,,,9.976876950202067,-131.31544214452228,-4.340546065998404,0.3453897679874337,32.88041267967895,-20.793904045165373,"3.32","1.57",,,,"89.9",2634,"6.5",662190,458681,656024,683734,543281,660162,462101,572041,641553,663853,"54.02",,,,,,,,44,1,"Cutter",0,1,0,1,1,0,0,1,"Infield shift","Standard",199,"0","0.015"
