"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-05","92.9","-1.63","5.34","Kelly, Merrill",649966,518876,"strikeout_double_play","swinging_strike",,,,,2,"Luis Urias strikes out swinging and Willy Adames caught stealing 3rd, catcher Carson Kelly to third baseman Sergio Alcantara to catcher Carson Kelly.","R","R","R","MIL","AZ","S",2,,1,2,2022,"-0.7","1.32","0.19","3.01",,642715,,1,6,"Bot",,,,,608348,,,6.138582896497245,-135.12369109715232,-3.0220543621287166,-9.943710374148674,31.280264731985124,-15.57188771327224,"3.19","1.49",,,,"92.1",2374,"5.9",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.55",,,"0",1,0,0,,43,4,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",221,"-0.106","-0.256"
"FC","2022-10-05","89","-1.76","5.39","Kelly, Merrill",649966,518876,,"foul",,,,,9,"Luis Urias strikes out swinging and Willy Adames caught stealing 3rd, catcher Carson Kelly to third baseman Sergio Alcantara to catcher Carson Kelly.","R","R","R","MIL","AZ","S",,,1,1,2022,"0.03","0.52","0.4","1.96",,642715,,1,6,"Bot",,,,,608348,,,5.203529072103435,-129.53496967815335,-3.4634925804556,-0.6875074054369069,26.74272073531668,-25.80468137277218,"3.19","1.49",201,"72.5",51,"88.6",2208,"6",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.49",,,,,,,,43,3,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",198,"0","-0.082"
"SI","2022-10-05","92.5","-1.56","5.37","Kelly, Merrill",649966,518876,,"ball",,,,,9,"Luis Urias strikes out swinging and Willy Adames caught stealing 3rd, catcher Carson Kelly to third baseman Sergio Alcantara to catcher Carson Kelly.","R","R","R","MIL","AZ","B",,,0,1,2022,"-1.17","0.93","0.48","1.72",,642715,,1,6,"Bot",,,,,608348,,,7.699407695981525,-134.38398559465165,-5.460165720228555,-15.885083436197055,30.145335299030652,-19.836549476183276,"3.22","1.45",,,,"91.8",2090,"6",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.47",,,,,,,,43,2,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",227,"0","0.029"
"FC","2022-10-05","89.3","-1.71","5.42","Kelly, Merrill",649966,518876,,"called_strike",,,,,3,"Luis Urias strikes out swinging and Willy Adames caught stealing 3rd, catcher Carson Kelly to third baseman Sergio Alcantara to catcher Carson Kelly.","R","R","R","MIL","AZ","S",,,0,0,2022,"-0.05","1.06","0.5","3.17",,642715,,1,6,"Bot",,,,,608348,,,5.525665458640176,-130.03725826979357,-1.7676376864374732,-1.733071585502434,26.297812172051664,-19.962004055549407,"3.27","1.57",,,,"88.9",2210,"5.9",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.57",,,,,,,,43,1,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",216,"0","-0.043"
"CH","2022-10-05","86.8","-1.65","5.56","Kelly, Merrill",642133,518876,"field_out","hit_into_play",,,,,5,"Rowdy Tellez grounds out to first baseman Christian Walker.   Willy Adames to 2nd.","R","L","R","MIL","AZ","X",3,"ground_ball",0,0,2022,"-1.24","0.25","-0.05","2.29",,,642715,0,6,"Bot",150.69,175.55,,,608348,,,6.322219879794842,-126.32376914029975,-2.1624325797718087,-14.585863825684047,25.586451543105277,-29.23751230932712,"3.51","1.68",14,"87.1",-9,"86.4",2040,"6",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.5",0.134,0.125,"0",1,0,0,2,42,1,"Changeup",1,1,1,1,1,1,1,1,"Infield shift","Standard",243,"-0.019","-0.51"
"CU","2022-10-05","81.6","-1.59","5.67","Kelly, Merrill",642715,518876,"single","hit_into_play",,,,,6,"Willy Adames singles on a line drive to left fielder Corbin Carroll.","R","R","R","MIL","AZ","X",7,"line_drive",0,0,2022,"0.79","-0.78","0.3","2.23",,,,0,6,"Bot",64.48,117.08,,,608348,,,2.6955049762598655,-118.89051154356288,0.33067657695729746,6.947413749249839,23.586316805217482,-39.84955722577064,"3.37","1.67",184,"96.7",13,"81",2495,"5.9",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.62",0.926,0.909,"0.9",1,1,0,4,41,1,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",49,"0.051","0.395"
"FF","2022-10-05","94.5","-1.67","5.34","Kelly, Merrill",592885,518876,"strikeout","foul_tip",,,,,1,"Christian Yelich strikes out on a foul tip.","R","L","R","MIL","AZ","S",2,,0,2,2022,"-0.75","1.09","-0.61","3.33",605170,,,2,5,"Bot",,,,,608348,,,4.420765323777513,-137.4980658929687,-1.933997330159891,-10.538943603741748,33.17643439338501,-18.17556376995983,"3.25","1.66",,,,"93.7",2384,"6",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.46",,,"0",1,0,0,,36,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",224,"-0.053","-0.224"
"FC","2022-10-05","91.9","-1.65","5.42","Kelly, Merrill",592885,518876,,"called_strike",,,,,8,"Christian Yelich strikes out on a foul tip.","R","L","R","MIL","AZ","S",,,0,1,2022,"-0.16","0.84","-0.16","2.13",605170,,,2,5,"Bot",,,,,608348,,,4.108834104433261,-133.67807472905662,-4.2564305429024865,-2.810146058747878,30.446001208420977,-21.35218268852912,"3.32","1.82",,,,"91.2",2399,"6",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.5",,,,,,,,36,2,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",208,"0","-0.084"
"CU","2022-10-05","82.8","-1.66","5.6","Kelly, Merrill",592885,518876,,"called_strike",,,,,8,"Christian Yelich strikes out on a foul tip.","R","L","R","MIL","AZ","S",,,0,0,2022,"0.88","-0.94","-0.09","1.79",605170,,,2,5,"Bot",,,,,608348,,,1.85243026150624,-120.54990868146464,-0.28670935890908833,8.037222673799354,27.235527366446092,-41.36746100978008,"3.24","1.71",,,,"81.8",2652,"5.9",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.56",,,,,,,,36,1,"Curveball",1,1,1,1,1,1,1,1,"Infield shade","Standard",55,"0","-0.05"
"SI","2022-10-05","93.3","-1.59","5.33","Kelly, Merrill",621438,518876,"field_out","hit_into_play",,,,,11,"Tyrone Taylor grounds out, third baseman Sergio Alcantara to first baseman Christian Walker.   Keston Hiura scores.    Victor Caratini to 3rd.","R","R","R","MIL","AZ","X",5,"ground_ball",1,1,2022,"-1.29","0.65","-0.85","2.54",669374,605170,,1,5,"Bot",99.44,169.96,,,608348,,,4.737858548675982,-135.7841912551615,-2.7953781420879897,-17.0037626696464,32.27023041530523,-23.76916360177438,"3.36","1.58",63,"77.5",4,"92.7",2157,"6.1",661227,518876,608348,572233,668942,642727,672695,682998,662139,664983,"54.36",0.231,0.216,"0",1,0,0,2,35,3,"Sinker",0,1,0,1,1,1,1,1,"Standard","Standard",221,"0.011","-0.317"
