"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-09-19","89.6","-1.07","5.49","Gray, Sonny",642708,543243,"field_out","hit_into_play",,,,,8,"Amed Rosario grounds out, shortstop Carlos Correa to first baseman Jose Miranda.","R","R","R","CLE","MIN","X",6,"ground_ball",1,1,2022,"-1.03","0.92","0.08","1.91",680757,,,2,2,"Bot",105.39,146.86,,,506702,,,5.038720114526576,-130.43411972556862,-4.907609807937417,-12.773571496377095,23.48240265782297,-20.834264256053054,"3.31","1.57",10,"98.5",-11,"90.4",2380,"6.5",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.05",0.246,0.236,"0",1,0,0,2,18,3,"Sinker",4,0,4,0,0,4,4,0,"Standard","Standard",201,"-0.015","-0.346"
"FF","2022-09-19","90.2","-1.08","5.54","Gray, Sonny",642708,543243,,"called_strike",,,,,5,"Amed Rosario grounds out, shortstop Carlos Correa to first baseman Jose Miranda.","R","R","R","CLE","MIN","S",,,1,0,2022,"-0.42","1.35","0.2","2.08",680757,,,2,2,"Bot",,,,,506702,,,4.080548008916222,-131.31922992316015,-5.571873829802123,-5.679481045699327,24.661333831905072,-15.606213281541141,"3.12","1.46",,,,"90.8",2564,"6.4",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.14",,,,,,,,18,2,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",203,"0","-0.049"
"SL","2022-09-19","81.2","-1.16","5.53","Gray, Sonny",642708,543243,,"ball",,,,,14,"Amed Rosario grounds out, shortstop Carlos Correa to first baseman Jose Miranda.","R","R","R","CLE","MIN","B",,,0,0,2022,"0.82","-0.75","1.76","1.52",680757,,,2,2,"Bot",,,,,506702,,,4.9770007911562,-118.2044503311481,-0.9996468167498033,6.862825253031121,20.88471591657605,-39.22354722369377,"3.14","1.42",,,,"81.6",2879,"6.4",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.14",,,,,,,,18,1,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",48,"0","0.031"
"CU","2022-09-19","78.4","-1.17","5.57","Gray, Sonny",680757,543243,"triple","hit_into_play",,,,,9,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","X",9,"line_drive",3,2,2022,"1.13","-1.02","0.4","1.55",664702,,,2,2,"Bot",167.94,74.36,,,506702,,,1.3003598924859945,-114.26532550242672,0.06456320557041173,9.652020287399557,21.624914941994167,-41.35871608443531,"3.23","1.47",308,"101.9",18,"78.4",2800,"6.3",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.24",0.42,0.492,"1.6",1,1,2,5,17,6,"Curveball",3,0,3,0,0,4,4,0,"Standard","Standard",26,"0.058","0.99"
"SI","2022-09-19","91.7","-0.9","5.47","Gray, Sonny",680757,543243,,"ball",,,,,14,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","B",,,2,2,2022,"-1","0.95","1.67","2.07",664702,,,2,2,"Bot",,,,,506702,,,8.672039532138989,-133.3110117722445,-4.842604802621095,-13.731242493469965,25.990789735244366,-19.96731909177606,"3.15","1.47",,,,"92.3",2490,"6.5",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54",,,,,,,,17,5,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",207,"0","0.089"
"CU","2022-09-19","78.3","-1.02","5.51","Gray, Sonny",680757,543243,,"blocked_ball",,,,,14,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","B",,,1,2,2022,"0.77","-1.17","0.04","0.73",664702,,,2,2,"Bot",,,,,506702,,,0.869981835420341,-114.08924895051497,-1.3070932361843743,6.538539659453357,20.9687651324005,-42.35766273118724,"3.19","1.45",,,,"78.4",2739,"6.3",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.23",,,,,,,,17,4,"Curveball",3,0,3,0,0,3,3,0,"Standard","Standard",28,"0","0.038"
"CU","2022-09-19","76.9","-1.28","5.54","Gray, Sonny",680757,543243,,"foul",,,,,9,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","S",,,1,1,2022,"1.28","-1.13","0.71","1.74",664702,,,2,2,"Bot",,,,,506702,,,1.892506691806392,-111.95151296435526,0.9898908475120083,10.403613215382846,20.92810805762529,-42.0423045184773,"3.23","1.47",5,"85",-19,"76.6",2716,"6.1",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.36",,,,,,,,17,3,"Curveball",3,0,3,0,0,3,3,0,"Standard","Standard",30,"0","-0.099"
"CU","2022-09-19","76.2","-1.24","5.51","Gray, Sonny",680757,543243,,"called_strike",,,,,5,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","S",,,1,0,2022,"1.1","-1.11","0.17","1.96",,,664702,2,2,"Bot",,,,,506702,,,0.9867548453190578,-110.99820459506445,1.597305699916102,8.854048721547985,20.652092567978155,-41.85816025919586,"3.12","1.43",,,,"75.9",2745,"6.1",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.4",,,,,,,,17,2,"Curveball",3,0,3,0,0,3,3,0,"Standard","Standard",31,"0","-0.041"
"FF","2022-09-19","89.1","-1.47","5.51","Gray, Sonny",680757,543243,,"ball",,,,,11,"Steven Kwan triples (6) on a line drive to right fielder Matt Wallner.   Myles Straw scores.","R","L","R","CLE","MIN","B",,,0,0,2022,"-0.16","1.26","-1.22","2.33",,,664702,2,2,"Bot",,,,,506702,,,0.9640495078467304,-129.8757721820284,-4.5429454123304644,-2.01382637635637,23.52158398258886,-17.073824172236232,"3.17","1.45",,,,"90",2477,"6.4",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.08",,,,,,,,17,1,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",205,"0","0.032"
"FF","2022-09-19","90.1","-1.14","5.42","Gray, Sonny",664702,543243,"walk","ball",,,,,12,"Myles Straw walks.","R","R","R","CLE","MIN","B",,,3,1,2022,"0.02","1.23","0.24","3.5",,,,2,2,"Bot",,,,,506702,,,3.410332199314022,-131.29061375018537,-1.4946981850334062,-0.37506728030554826,24.28466950059869,-17.754440716037642,"3.35","1.57",,,,"91",2520,"6.5",663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,"54.04",,,"0.7",1,0,0,,16,5,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",203,"0.007","0.065"
