"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-01","92.2","-0.78","6.19","Syndergaard, Noah",608841,592789,"walk","ball",,,,,14,"Joey Meneses walks.","R","R","R","WSH","PHI","B",,,3,0,2022,"-1.34","0.92","0.94","2.14",,657041,,2,6,"Bot",,,,,596117,,,7.358012075760587,-133.9807964068372,-6.495765824072282,-17.753826698234967,28.76906095738935,-19.854988797055686,"3.59","1.64",,,,"92.9",2074,"6.8",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.7",,,"0.7",1,0,0,,53,4,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",211,"0.002","0.041"
"SI","2022-10-01","90.8","-0.86","6.28","Syndergaard, Noah",608841,592789,,"ball",,,,,11,"Joey Meneses walks.","R","R","R","WSH","PHI","B",,,2,0,2022,"-1.2","0.68","-1.64","3.44",,657041,,2,6,"Bot",,,,,596117,,,0.6205298034342395,-132.21756603876074,-2.589383564595993,-14.085936662181304,31.299796631252207,-23.936320866243065,"3.54","1.71",,,,"90.7",2043,"6.4",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"54.07",,,,,,,,53,3,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",215,"0","0.031"
"SL","2022-10-01","87","-1.01","6.29","Syndergaard, Noah",608841,592789,,"ball",,,,,12,"Joey Meneses walks.","R","R","R","WSH","PHI","B",,,1,0,2022,"0.62","0.21","1.18","3",,657041,,2,6,"Bot",,,,,596117,,,4.0094961486660665,-126.68853661278666,-2.175376954081722,5.817100449334313,25.72710561268718,-29.628257611586083,"3.61","1.67",,,,"87.6",1947,"6.6",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.87",,,,,,,,53,2,"Slider",0,8,0,8,8,0,0,8,"Standard","Standard",170,"0","0.028"
"CU","2022-10-01","79.6","-0.86","6.2","Syndergaard, Noah",608841,592789,,"ball",,,,,14,"Joey Meneses walks.","R","R","R","WSH","PHI","B",,,0,0,2022,"0.61","-0.13","1.15","1.29",,657041,,2,6,"Bot",,,,,596117,,,3.315705161840448,-115.9523658520877,-3.8551366085107728,4.878382989762293,21.62761931767293,-32.80523785990988,"3.54","1.67",,,,"80.6",2007,"6.9",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.61",,,,,,,,53,1,"Curveball",0,8,0,8,8,0,0,8,"Standard","Standard",72,"0","0.037"
"SI","2022-10-01","92.6","-0.83","6.21","Syndergaard, Noah",682928,592789,"field_out","hit_into_play",,,,,8,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","X",4,"ground_ball",3,2,2022,"-1.33","0.65","-0.09","1.99",,,657041,1,6,"Bot",151.69,155.16,,,596117,,,4.829387120605553,-134.66669532545865,-6.477695819971936,-17.195793589090176,28.07710687333408,-23.021511928995174,"3.53","1.6",13,"84.8",-8,"93.4",2046,"6.7",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.79",0.123,0.115,"0",1,0,0,2,52,6,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",215,"-0.003","-0.431"
"SI","2022-10-01","92.6","-0.9","6.16","Syndergaard, Noah",682928,592789,,"ball",,,,,13,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","B",,,2,2,2022,"-1.56","0.72","-0.54","0.99",,,657041,1,6,"Bot",,,,,596117,,,4.365614922963631,-134.68550907963953,-9.070447599670265,-19.97820569339227,27.09205449510333,-21.68787211551712,"3.53","1.64",,,,"93.5",2094,"6.7",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.81",,,,,,,,52,5,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",214,"0","0.089"
"CH","2022-10-01","88.6","-0.87","6.23","Syndergaard, Noah",682928,592789,,"blocked_ball",,,,,13,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","B",,,1,2,2022,"-1.35","0.65","-0.75","0.35",,,657041,1,6,"Bot",,,,,596117,,,3.1404528266875325,-128.75224305712587,-9.736333468797147,-15.749132009144807,25.046596426442832,-23.23030078602652,"3.53","1.67",,,,"89.6",1516,"6.8",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.68",,,,,,,,52,4,"Changeup",0,8,0,8,8,0,0,8,"Standard","Standard",233,"0","0.057"
"CH","2022-10-01","86.9","-0.85","6.21","Syndergaard, Noah",682928,592789,,"foul",,,,,13,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","S",,,1,1,2022,"-1.54","0.26","-1.02","2.31",,,657041,1,6,"Bot",,,,,596117,,,2.770661694790279,-126.58971332514407,-3.718035150387453,-17.163541519885843,25.767744651384284,-28.786815125073712,"3.53","1.6",234,"75",48,"87.4",1442,"6.5",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.95",,,,,,,,52,3,"Changeup",0,8,0,8,8,0,0,8,"Standard","Standard",234,"0","-0.07"
"SI","2022-10-01","91.5","-0.98","6.28","Syndergaard, Noah",682928,592789,,"ball",,,,,13,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","B",,,0,1,2022,"-1.03","1.12","-1.1","2.08",,,657041,1,6,"Bot",,,,,596117,,,1.9189170313796313,-133.01962764757653,-7.064801088750705,-12.522961163418302,32.37977397196404,-17.539727993555637,"3.53","1.62",,,,"91.2",2062,"6.5",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"54.01",,,,,,,,52,2,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",212,"0","0.031"
"SI","2022-10-01","92","-1.03","6.19","Syndergaard, Noah",682928,592789,,"foul",,,,,13,"CJ Abrams grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.   Lane Thomas to 2nd.","R","L","R","WSH","PHI","S",,,0,0,2022,"-1.06","0.79","-1.01","2.21",,,657041,1,6,"Bot",,,,,596117,,,2.3640516846145307,-133.95012444616233,-6.062217814659353,-13.308524845368867,25.969756792858465,-21.596392505573082,"3.53","1.6",17,"68.5",-6,"93",2101,"6.6",661098,592789,596117,656555,516416,664761,681082,656941,669016,663837,"53.85",,,,,,,,52,1,"Sinker",0,8,0,8,8,0,0,8,"Standard","Standard",211,"0","-0.048"
