"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-01","84","-2.05","5.82","Junis, Jakob",656669,596001,"single","hit_into_play",,,,,9,"Jordan Luplow singles on a ground ball to third baseman Jason Vosler.","R","R","R","SF","AZ","X",5,"ground_ball",2,2,2022,"0.96","0.07","0.46","1.74",,,,0,7,"Top",109.08,179.11,,,663698,,,3.892155836272594,-122.35436608309581,-3.2171230569774383,8.954724944158917,23.341703205657904,-31.016705004201953,"3.37","1.65",2,"68.7",-46,"83.3",2631,"5.7",662023,596001,663698,664774,665154,613564,642731,592626,596103,573262,"54.81",0.177,0.168,"0.9",1,1,0,2,54,5,"Slider",2,3,3,2,3,2,3,2,"Infield shift","Standard",38,"-0.037","0.421"
"SL","2022-10-01","81.6","-2.02","6","Junis, Jakob",656669,596001,,"called_strike",,,,,2,"Jordan Luplow singles on a ground ball to third baseman Jason Vosler.","R","R","R","SF","AZ","S",,,2,1,2022,"0.81","0.1","-0.1","3.21",,,,0,7,"Top",,,,,663698,,,2.7191905864134642,-118.93204139038706,-0.014778252340845732,7.29959804925362,19.975459611755632,-31.39198528742491,"3.33","1.58",,,,"80.9",2413,"5.4",662023,596001,663698,664774,665154,613564,642731,592626,596103,573262,"55.07",,,,,,,,54,4,"Slider",2,3,3,2,3,2,3,2,"Infield shift","Standard",58,"0","-0.066"
"SI","2022-10-01","92.1","-1.68","5.87","Junis, Jakob",656669,596001,,"ball",,,,,11,"Jordan Luplow singles on a ground ball to third baseman Jason Vosler.","R","R","R","SF","AZ","B",,,1,1,2022,"-0.94","0.87","-1.07","2.91",,,,0,7,"Top",,,,,663698,,,3.5459737956152177,-134.1319719070614,-3.5846661967295033,-12.172373599709756,27.377101199503315,-21.12129489686072,"3.4","1.61",,,,"91.7",2073,"5.9",662023,596001,663698,664774,665154,613564,642731,592626,596103,573262,"54.61",,,,,,,,54,3,"Sinker",2,3,3,2,3,2,3,2,"Infield shift","Standard",220,"0","0.049"
"CH","2022-10-01","85.3","-1.92","5.96","Junis, Jakob",656669,596001,,"ball",,,,,13,"Jordan Luplow singles on a ground ball to third baseman Jason Vosler.","R","R","R","SF","AZ","B",,,0,1,2022,"-0.78","0.15","-0.97","1.37",,,,0,7,"Top",,,,,663698,,,3.768662622744249,-124.1691247676626,-4.8386584652057465,-8.774114222330125,22.303858545998988,-29.882947760583964,"3.33","1.52",,,,"84.9",1369,"5.8",662023,596001,663698,664774,665154,613564,642731,592626,596103,573262,"54.72",,,,,,,,54,2,"Changeup",2,3,3,2,3,2,3,2,"Infield shift","Standard",238,"0","0.025"
"SI","2022-10-01","91.1","-1.81","5.76","Junis, Jakob",656669,596001,,"called_strike",,,,,13,"Jordan Luplow singles on a ground ball to third baseman Jason Vosler.","R","R","R","SF","AZ","S",,,0,0,2022,"-1.26","0.2","-0.83","2.11",,,,0,7,"Top",,,,,663698,,,5.128667955604659,-132.64972208736282,-3.716423322903297,-16.014815161598506,26.908975221399064,-29.287997865861755,"3.4","1.67",,,,"90.7",2166,"5.9",662023,596001,663698,664774,665154,613564,642731,592626,596103,573262,"54.62",,,,,,,,54,1,"Sinker",2,3,3,2,3,2,3,2,"Infield shift","Standard",226,"0","-0.034"
"SL","2022-10-01","85","-1.89","5.79","Junis, Jakob",656448,596001,"field_out","hit_into_play",,,,,9,"Stone Garrett pops out to first baseman LaMonte Wade Jr.","R","R","R","SF","AZ","X",3,"popup",0,2,2022,"0.84","0.18","0.31","1.99",,682998,,2,6,"Top",140.03,178.6,,,663698,,,3.4569444241088143,-123.8315737180976,-3.0059911052715114,8.065389771823634,22.385526756316533,-29.957395175943503,"3.51","1.75",59,"67.3",77,"85.1",2350,"6.1",662023,596001,663698,664774,665154,681584,642731,613564,573262,592626,"54.43",0.006,0.005,"0",1,0,0,3,48,3,"Slider",1,3,3,1,3,1,3,1,"Standard","Standard",46,"0.027","-0.204"
"SI","2022-10-01","92.3","-1.84","5.84","Junis, Jakob",656448,596001,,"foul",,,,,13,"Stone Garrett pops out to first baseman LaMonte Wade Jr.","R","R","R","SF","AZ","S",,,0,1,2022,"-0.93","0.33","-1.23","1.75",,682998,,2,6,"Top",,,,,663698,,,3.540375205917681,-134.4681184671314,-5.356913009191282,-12.042885506608954,25.909375805776303,-27.226775774567486,"3.51","1.75",46,"96",1,"92.4",2167,"6.1",662023,596001,663698,664774,665154,681584,642731,613564,573262,592626,"54.45",,,,,,,,48,2,"Sinker",1,3,3,1,3,1,3,1,"Standard","Standard",221,"0","-0.062"
"SL","2022-10-01","84.8","-2.03","5.91","Junis, Jakob",656448,596001,,"foul",,,,,9,"Stone Garrett pops out to first baseman LaMonte Wade Jr.","R","R","R","SF","AZ","S",,,0,0,2022,"1.01","0.14","0.3","2.01",,682998,,2,6,"Top",,,,,663698,,,3.3944556614387293,-123.58435973159432,-3.1640905293543202,9.989786023098628,20.092644028232566,-30.410683087974842,"3.51","1.75",,,,"84.8",2455,"5.8",662023,596001,663698,664774,665154,681584,642731,613564,573262,592626,"54.71",,,,,,,,48,1,"Slider",1,3,3,1,3,1,3,1,"Standard","Standard",51,"0","-0.046"
"SI","2022-10-01","92.8","-1.76","5.79","Junis, Jakob",642727,596001,"field_out","hit_into_play",,,,,5,"Sergio Alcantara flies out to left fielder Jason Vosler.","R","L","R","SF","AZ","X",7,"fly_ball",0,2,2022,"-0.82","0.81","0.09","2.66",,682998,,1,6,"Top",86.34,92.41,,,663698,,,6.48993401632828,-134.97063893638276,-3.9645288365133675,-11.42440764469521,29.171822907030148,-21.5917770763847,"3.39","1.68",283,"85.3",43,"92.4",2240,"6",662023,596001,663698,664774,665154,681584,642731,613564,573262,592626,"54.46",0.014,0.018,"0",1,0,0,3,47,4,"Sinker",1,3,3,1,3,1,3,1,"Standard","Standard",219,"0.025","-0.219"
"SL","2022-10-01","84.2","-2.15","5.89","Junis, Jakob",642727,596001,,"foul",,,,,9,"Sergio Alcantara flies out to left fielder Jason Vosler.","R","L","R","SF","AZ","S",,,0,2,2022,"1.05","0.28","0.47","1.56",,682998,,1,6,"Top",,,,,663698,,,3.983039802935022,-122.60741333017177,-4.259943446529131,9.888926723143049,22.213052475336188,-28.741772939273375,"3.39","1.68",5,"74",-18,"83.7",2619,"5.7",662023,596001,663698,664774,665154,681584,642731,613564,573262,592626,"54.78",,,,,,,,47,3,"Slider",1,3,3,1,3,1,3,1,"Standard","Standard",44,"0","0"
