"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-02","90.5","-1.42","5.66","Davies, Zach",592626,605200,"field_out","hit_into_play",,,,,13,"Joc Pederson grounds out, pitcher Zach Davies to first baseman Christian Walker.","R","L","R","SF","AZ","X",1,"ground_ball",1,2,2022,"-1.22","1.13","-1","2.61",,,,2,5,"Bot",127.86,182.67,,,608348,,,3.6225380880833273,-131.6232866719801,-4.0158637057356055,-14.919707981069005,29.794975930150294,-18.4455539606364,"3.48","1.76",,,,"89.9",2225,"6.1",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.41",,,"0",,0,0,,44,4,"Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard",219,"-0.014","-0.07"
"SI","2022-10-02","90.3","-1.55","5.64","Davies, Zach",592626,605200,,"ball",,,,,13,"Joc Pederson grounds out, pitcher Zach Davies to first baseman Christian Walker.","R","L","R","SF","AZ","B",,,0,2,2022,"-1.38","1.1","-1.23","1.76",,,,2,5,"Bot",,,,,608348,,,3.700092280214908,-131.30388710110543,-5.972824732391037,-16.702395327329118,29.56623765318026,-18.355750592158206,"3.6","1.79",,,,"89.4",2251,"5.9",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.57",,,,,,,,44,3,"Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard",234,"0","0.011"
"CU","2022-10-02","73.5","-1.38","5.83","Davies, Zach",592626,605200,,"swinging_strike",,,,,13,"Joc Pederson grounds out, pitcher Zach Davies to first baseman Christian Walker.","R","L","R","SF","AZ","S",,,0,1,2022,"1.04","-1.04","-1.21","1.69",,,,2,5,"Bot",,,,,608348,,,-1.4494807904457796,-106.95862035085658,0.7249445116555993,8.193166305861523,19.189934269062316,-40.487152751018726,"3.48","1.76",,,,"73",2585,"6",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.53",,,,,,,,44,2,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Strategic",29,"0","-0.023"
"FF","2022-10-02","87.8","-1.56","5.65","Davies, Zach",592626,605200,,"swinging_strike",,,,,2,"Joc Pederson grounds out, pitcher Zach Davies to first baseman Christian Walker.","R","L","R","SF","AZ","S",,,0,0,2022,"-0.69","1.06","0.16","3.41",,,,2,5,"Bot",,,,,608348,,,5.567354582699573,-127.89221239403226,-1.547841827779858,-8.6997356467078,24.89020143145028,-20.41737715084038,"3.48","1.76",,,,"87.6",2146,"6",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.5",,,,,,,,44,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Strategic",222,"0","-0.017"
"SI","2022-10-02","90.7","-1.19","5.74","Davies, Zach",605204,605200,"field_out","hit_into_play",,,,,9,"J.D. Davis grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.","R","R","R","SF","AZ","X",6,"ground_ball",1,2,2022,"-1.43","1.2","0.62","2.16",,,,1,5,"Bot",110.09,166.4,,,608348,,,7.516543917183288,-131.72273638014198,-5.515220725821051,-18.243997925821294,30.155566418104456,-17.233932602624336,"3.46","1.62",3,"81",-40,"89.9",2212,"6.1",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.45",0.083,0.075,"0",1,0,0,2,43,4,"Sinker",1,1,1,1,1,1,1,1,"Strategic","Standard",219,"-0.022","-0.112"
"SI","2022-10-02","89.1","-1.22","5.81","Davies, Zach",605204,605200,,"called_strike",,,,,6,"J.D. Davis grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.","R","R","R","SF","AZ","S",,,1,1,2022,"-1.37","1.03","0.56","2.55",,,,1,5,"Bot",,,,,608348,,,7.173885275752369,-129.55667301966696,-4.107850476977765,-16.88581293838347,27.089687802181587,-19.946193581922678,"3.38","1.65",,,,"88.5",2095,"6",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.53",,,,,,,,43,3,"Sinker",1,1,1,1,1,1,1,1,"Strategic","Standard",225,"0","-0.036"
"SI","2022-10-02","88.8","-1.27","5.8","Davies, Zach",605204,605200,,"ball",,,,,14,"J.D. Davis grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.","R","R","R","SF","AZ","B",,,0,1,2022,"-1.16","1.29","1.3","2.33",,,,1,5,"Bot",,,,,608348,,,8.626668068421123,-128.87842422845492,-5.061195639966964,-14.71376883120933,28.227262453952846,-16.869005505243695,"3.43","1.65",,,,"87.9",2185,"6",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.52",,,,,,,,43,2,"Sinker",1,1,1,1,1,1,1,1,"Strategic","Standard",223,"0","0.016"
"SI","2022-10-02","88.6","-1.21","5.83","Davies, Zach",605204,605200,,"called_strike",,,,,14,"J.D. Davis grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.","R","R","R","SF","AZ","S",,,0,0,2022,"-1.11","1.2","0.87","2.21",,,,1,5,"Bot",,,,,608348,,,7.355219141927154,-128.78161824302398,-5.228055593735622,-13.87005558256617,27.071646583605656,-17.90689630340879,"3.55","1.68",,,,"88",2204,"6",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.48",,,,,,,,43,1,"Sinker",1,1,1,1,1,1,1,1,"Strategic","Standard",222,"0","-0.024"
"CH","2022-10-02","78.1","-1.36","5.83","Davies, Zach",527038,605200,"field_out","hit_into_play",,,,,3,"Wilmer Flores flies out to left fielder Corbin Carroll.","R","R","R","SF","AZ","X",7,"fly_ball",2,2,2022,"-1.04","0.81","0.49","3.14",,,,0,5,"Bot",74.14,97.09,,,608348,,,5.891045729211796,-113.67384007112331,-0.385491989747876,-10.139904511367575,21.147025661759766,-25.28962179003169,"3.17","1.52",284,"85.6",42,"77.8",1656,"6.1",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.43",0.014,0.019,"0",1,0,0,3,42,5,"Changeup",1,1,1,1,1,1,1,1,"Standard","Standard",251,"-0.029","-0.195"
"SI","2022-10-02","90.3","-1.06","5.87","Davies, Zach",527038,605200,,"ball",,,,,12,"Wilmer Flores flies out to left fielder Corbin Carroll.","R","R","R","SF","AZ","B",,,1,2,2022,"-1.08","1.27","0.93","3.75",,,,0,5,"Bot",,,,,608348,,,7.183765699368245,-131.26998242402854,-2.018476468078735,-14.011011010959615,27.913037464400446,-17.217904640526083,"3.06","1.55",,,,"89.5",2210,"5.9",662022,605200,608348,572233,668942,642727,672695,682998,662139,664983,"54.62",,,,,,,,42,4,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",221,"0","0.037"
