"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-10-03","81.3","-1.19","6.39","Musgrove, Joe",592626,605397,"field_out","hit_into_play",,,,,5,"Joc Pederson lines out to center fielder Trent Grisham.","R","L","R","SD","SF","X",8,"line_drive",1,2,2022,"1.16","-1.26","-0.12","2.36",,,,2,6,"Top",153.38,71.59,,,669134,,,0.15734609635516708,-118.23417229141357,0.14418682207859268,10.673069782006364,27.930709244638603,-44.05406100781676,"3.49","1.76",324,"91.2",24,"80.2",2883,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.4",0.16,0.181,"0",1,0,0,3,41,4,"Curveball",0,0,0,0,0,0,0,0,"Infield shift","Standard",42,"0.016","-0.07"
"FF","2022-10-03","95","-1.26","6.4","Musgrove, Joe",592626,605397,,"ball",,,,,1,"Joc Pederson lines out to center fielder Trent Grisham.","R","L","R","SD","SF","B",,,0,2,2022,"-0.38","1.34","-0.75","3.21",,,,2,6,"Top",,,,,669134,,,2.1927315971942827,-138.1862289856081,-5.628806518424552,-5.423361714028085,32.241522254661575,-13.987001437684606,"3.66","1.76",,,,"94.5",2690,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.4",,,,,,,,41,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",213,"0","0.011"
"CH","2022-10-03","87.9","-1.66","6.04","Musgrove, Joe",592626,605397,,"foul",,,,,14,"Joc Pederson lines out to center fielder Trent Grisham.","R","L","R","SD","SF","S",,,0,1,2022,"-0.71","0.23","0.16","1.32",,,,2,6,"Top",,,,,669134,,,5.866806398297457,-127.85679681236392,-5.835139552019436,-8.985257717690844,24.956036222685636,-28.69668602346819,"3.49","1.76",2,"87.8",-31,"87.9",2070,"6.2",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.29",,,,,,,,41,2,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",231,"0","-0.023"
"FF","2022-10-03","93.8","-1.26","6.4","Musgrove, Joe",592626,605397,,"foul",,,,,3,"Joc Pederson lines out to center fielder Trent Grisham.","R","L","R","SD","SF","S",,,0,0,2022,"-0.09","1.13","0.73","3.08",,,,2,6,"Top",,,,,669134,,,5.313111675772326,-136.41594101144636,-5.298942672515487,-2.3664615209577247,31.235127434992297,-17.11884133342842,"3.49","1.76",66,"101.7",1,"93.2",2525,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.44",,,,,,,,41,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",215,"0","-0.017"
"SI","2022-10-03","94","-1.31","6.43","Musgrove, Joe",605204,605397,"field_out","hit_into_play",,,,,1,"J.D. Davis pops out to first baseman Josh Bell in foul territory.","R","R","R","SD","SF","X",3,"popup",0,1,2022,"-0.99","0.74","-0.57","3.28",,,,1,6,"Top",158.25,180.63,,,669134,,,4.095635239848243,-136.88407817027172,-4.099961213752456,-13.340964057338587,30.558652743030986,-22.17397339215476,"3.5","1.64",96,"63.9",68,"93.7",2460,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.4",0,0,"0",1,0,0,3,40,2,"Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard",209,"0.025","-0.132"
"CU","2022-10-03","80.6","-1.27","6.39","Musgrove, Joe",605204,605397,,"called_strike",,,,,4,"J.D. Davis pops out to first baseman Josh Bell in foul territory.","R","R","R","SD","SF","S",,,0,0,2022,"0.98","-1.19","-0.6","2.57",,,,1,6,"Top",,,,,669134,,,-0.3679313175031963,-117.3302475959081,0.4795640248564337,9.086078981742721,24.17506033394899,-43.39745696512183,"3.63","1.73",,,,"80.1",2753,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.39",,,,,,,,40,1,"Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard",45,"0","-0.024"
"SL","2022-10-03","83.2","-1.4","6.28","Musgrove, Joe",527038,605397,"field_out","hit_into_play",,,,,12,"Wilmer Flores grounds out, first baseman Josh Bell to pitcher Joe Musgrove.","R","R","R","SD","SF","X",3,"ground_ball",2,2,2022,"1.17","-0.35","1","2.64",,,,0,6,"Top",151.97,161.99,,,669134,,,3.19452432674828,-121.04288528215302,-1.1380546840736923,10.759933499101306,25.977101801996184,-35.58860732511509,"3.19","1.53",41,"59.2",2,"82.6",2882,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.4",0.14,0.126,"0",1,0,0,1,39,5,"Slider",0,0,0,0,0,0,0,0,"Strategic","Standard",52,"0.033","-0.195"
"FC","2022-10-03","90.6","-1.36","6.31","Musgrove, Joe",527038,605397,,"called_strike",,,,,9,"Wilmer Flores grounds out, first baseman Josh Bell to pitcher Joe Musgrove.","R","R","R","SD","SF","S",,,2,1,2022,"0.03","0.77","0.42","1.64",,,,0,6,"Top",,,,,669134,,,4.37300627928128,-131.89593261321698,-7.407660038699129,-0.5391902525283885,25.305808281733224,-21.90219200879096,"3.15","1.58",,,,"90.7",2576,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.4",,,,,,,,39,4,"Cutter",0,0,0,0,0,0,0,0,"Strategic","Standard",204,"0","-0.066"
"FF","2022-10-03","94.2","-1.35","6.33","Musgrove, Joe",527038,605397,,"ball",,,,,14,"Wilmer Flores grounds out, first baseman Josh Bell to pitcher Joe Musgrove.","R","R","R","SD","SF","B",,,1,1,2022,"-0.3","1.33","0.87","1.54",,,,0,6,"Top",,,,,669134,,,6.412939153451456,-136.73610317523415,-9.598341488016171,-5.23731424161025,30.822049181480068,-13.567202741139603,"3.1","1.56",,,,"93.6",2560,"6.1",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.37",,,,,,,,39,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",215,"0","0.049"
"FF","2022-10-03","93.9","-1.26","6.41","Musgrove, Joe",527038,605397,,"ball",,,,,14,"Wilmer Flores grounds out, first baseman Josh Bell to pitcher Joe Musgrove.","R","R","R","SD","SF","B",,,0,1,2022,"-0.18","1.25","1.01","2.16",,,,0,6,"Top",,,,,669134,,,6.25353945104379,-136.42520721011894,-8.018821428667808,-3.666999240799502,29.91652728238343,-14.947507586131556,"3.19","1.59",,,,"93.6",2549,"6.2",662239,605397,669134,605137,630105,592273,673490,571976,663757,665742,"54.31",,,,,,,,39,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",213,"0","0.025"
