"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-10-01","74.7","-0.94","6.49","Thompson, Zach",663457,605507,"strikeout","swinging_strike",,,,,7,"Lars Nootbaar strikes out swinging.","R","L","R","STL","PIT","S",2,,1,2,2022,"0.73","-0.56","-0.43","1.86",,,,2,6,"Bot",,,,,641511,,,-0.23717385977511288,-108.73645467115081,-1.3167508746027583,5.831544184647083,19.90064673464321,-36.55674967080166,"3.35","1.58",,,,"74.7",2260,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.12",,,"0",1,0,0,,52,4,"Curveball",10,2,10,2,2,10,10,2,"Strategic","Standard",35,"-0.001","-0.07"
"CU","2022-10-01","75","-1","6.55","Thompson, Zach",663457,605507,,"called_strike",,,,,1,"Lars Nootbaar strikes out swinging.","R","L","R","STL","PIT","S",,,1,1,2022,"0.49","-0.62","-0.58","3.33",,,,2,6,"Bot",,,,,641511,,,-0.007453646457413948,-109.1768024031853,1.5895847941158365,3.9343475857826347,19.40107726744172,-37.592298343244494,"3.28","1.58",,,,"74.9",2227,"6.2",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.29",,,,,,,,52,3,"Curveball",10,2,10,2,2,10,10,2,"Strategic","Standard",33,"0","-0.023"
"CH","2022-10-01","84.4","-1.15","6.32","Thompson, Zach",663457,605507,,"ball",,,,,13,"Lars Nootbaar strikes out swinging.","R","L","R","STL","PIT","B",,,0,1,2022,"-1.14","0.36","-0.87","1.25",,,,2,6,"Bot",,,,,641511,,,2.91424649971361,-122.69639314893284,-6.0749612008076825,-12.068006491559743,26.15472208491788,-27.49424497208588,"3.33","1.58",,,,"84.1",1951,"6.3",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.2",,,,,,,,52,2,"Changeup",10,2,10,2,2,10,10,2,"Strategic","Standard",226,"0","0.011"
"FF","2022-10-01","91.6","-0.64","6.67","Thompson, Zach",663457,605507,,"called_strike",,,,,9,"Lars Nootbaar strikes out swinging.","R","L","R","STL","PIT","S",,,0,0,2022,"-0.2","1.32","0.73","1.72",,,,2,6,"Bot",,,,,641511,,,3.9011613815067205,-133.14104015850162,-9.519520616761902,-3.156912631955055,28.0419969647109,-14.63967827994751,"3.34","1.58",,,,"92",2417,"6.6",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"53.94",,,,,,,,52,1,"4-Seam Fastball",10,2,10,2,2,10,10,2,"Strategic","Standard",203,"0","-0.017"
"CH","2022-10-01","83.3","-1.17","6.28","Thompson, Zach",680977,605507,"field_out","hit_into_play",,,,,4,"Brendan Donovan lines out to left fielder Miguel Andujar.","R","L","R","STL","PIT","X",7,"line_drive",1,1,2022,"-1.2","0.57","-0.43","2.2",,,,1,6,"Bot",72.54,76.31,,,641511,,,4.088674924720847,-121.28782106060515,-4.095135160129532,-12.65119578974961,22.936448763120456,-25.944186351957608,"3.35","1.62",332,"96.9",23,"83.8",1853,"6.5",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"53.99",0.269,0.35,"0",1,0,0,5,51,3,"Changeup",10,2,10,2,2,10,10,2,"Strategic","Standard",228,"0","-0.148"
"FC","2022-10-01","86.8","-0.88","6.55","Thompson, Zach",680977,605507,,"ball",,,,,14,"Brendan Donovan lines out to left fielder Miguel Andujar.","R","L","R","STL","PIT","B",,,0,1,2022,"0.39","0.67","1.17","1",,,,1,6,"Bot",,,,,641511,,,4.120125149376914,-126.22838848860259,-8.492186305464198,3.3083636832631003,25.40518428479048,-23.517116878813535,"3.41","1.62",,,,"87.2",2488,"6.5",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"53.97",,,,,,,,51,2,"Cutter",10,2,10,2,2,10,10,2,"Strategic","Standard",191,"0","0.016"
"FF","2022-10-01","92.5","-0.8","6.6","Thompson, Zach",680977,605507,,"called_strike",,,,,6,"Brendan Donovan lines out to left fielder Miguel Andujar.","R","L","R","STL","PIT","S",,,0,0,2022,"-0.19","1.19","0.65","2.77",,,,1,6,"Bot",,,,,641511,,,4.113795866587944,-134.57245495470954,-6.568564271931017,-3.240920785092171,29.029260838083076,-16.450105369458928,"3.37","1.62",,,,"92.8",2336,"6.5",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.05",,,,,,,,51,1,"4-Seam Fastball",10,2,10,2,2,10,10,2,"Strategic","Standard",201,"0","-0.024"
"CU","2022-10-01","74.9","-0.79","6.61","Thompson, Zach",657557,605507,"strikeout","swinging_strike",,,,,9,"Paul DeJong strikes out swinging.","R","R","R","STL","PIT","S",2,,2,2,2022,"0.31","-0.89","0.65","1.49",,,,0,6,"Bot",,,,,641511,,,2.426669463984139,-109.0781173870675,-1.799365968992986,2.0102952605741438,20.014755417314934,-39.127379216607764,"3.29","1.52",,,,"74.8",2132,"6.2",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.27",,,"0",1,0,0,,50,5,"Curveball",10,2,10,2,2,10,10,2,"Infield shift","Standard",25,"0","-0.195"
"FF","2022-10-01","90","-0.64","6.74","Thompson, Zach",657557,605507,,"ball",,,,,12,"Paul DeJong strikes out swinging.","R","R","R","STL","PIT","B",,,1,2,2022,"0.03","1.15","1.27","3.14",,,,0,6,"Bot",,,,,641511,,,4.694856739796163,-131.02920143592794,-5.4397526097212925,-0.6114991530899127,26.298759476191695,-17.91644570418832,"3.31","1.52",,,,"90.4",2343,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.1",,,,,,,,50,4,"4-Seam Fastball",10,2,10,2,2,10,10,2,"Infield shift","Standard",202,"0","0.037"
"FC","2022-10-01","86.3","-0.82","6.57","Thompson, Zach",657557,605507,,"foul",,,,,14,"Paul DeJong strikes out swinging.","R","R","R","STL","PIT","S",,,1,1,2022,"0.31","0.54","1.07","1.72",,,,0,6,"Bot",,,,,641511,,,3.8756308392879477,-125.61771058985174,-6.490335525088754,2.6215546923942146,22.959289521112243,-25.423249501537747,"3.29","1.52",197,"68.4",45,"87",2551,"6.5",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54",,,,,,,,50,3,"Cutter",10,2,10,2,2,10,10,2,"Infield shift","Standard",188,"0","-0.054"
"CU","2022-10-01","73.4","-0.92","6.6","Thompson, Zach",657557,605507,,"ball",,,,,14,"Paul DeJong strikes out swinging.","R","R","R","STL","PIT","B",,,0,1,2022,"0.33","-1.09","1.26","1.44",,,,0,6,"Bot",,,,,641511,,,3.839176968407207,-106.8573314903974,-1.1674546964644459,1.7764141113928962,20.51929752305074,-40.448165193399774,"3.3","1.52",,,,"73.2",2181,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.12",,,,,,,,50,2,"Curveball",10,2,10,2,2,10,10,2,"Infield shift","Standard",26,"0","0.025"
"FC","2022-10-01","86.3","-0.89","6.68","Thompson, Zach",657557,605507,,"swinging_strike",,,,,3,"Paul DeJong strikes out swinging.","R","R","R","STL","PIT","S",,,0,0,2022,"0.29","0.59","0.5","3.02",,,,0,6,"Bot",,,,,641511,,,2.7195120042641894,-125.63490667360827,-3.6756902242612703,2.4561830451258593,26.809456792062754,-25.346855387963245,"3.29","1.52",,,,"86.5",2496,"6.5",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.01",,,,,,,,50,1,"Cutter",10,2,10,2,2,10,10,2,"Infield shift","Standard",175,"0","-0.034"
"SI","2022-10-01","89.8","-0.61","6.65","Thompson, Zach",425877,605507,"field_out","hit_into_play",,,,,4,"Yadier Molina grounds out, third baseman Ke'Bryan Hayes to first baseman Diego Castillo.","R","R","R","STL","PIT","X",5,"ground_ball",1,0,2022,"-1.02","0.94","-0.59","2.72",,,,2,5,"Bot",107.31,165.1,,,641511,,,2.227126311577379,-130.80423284385785,-5.8367972124531615,-12.219900442211513,25.7750860784839,-20.334231481328537,"3.46","1.6",11,"75.7",-13,"90.6",2178,"6.6",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"53.9",0.071,0.067,"0",1,0,0,2,46,2,"Sinker",10,2,10,2,2,10,10,2,"Standard","Standard",203,"0","-0.114"
"CU","2022-10-01","72.5","-0.72","6.67","Thompson, Zach",425877,605507,,"ball",,,,,11,"Yadier Molina grounds out, third baseman Ke'Bryan Hayes to first baseman Diego Castillo.","R","R","R","STL","PIT","B",,,0,0,2022,"0.61","-0.96","-0.95","3.81",,,,2,5,"Bot",,,,,641511,,,-1.5025503512340699,-105.43368329616376,3.411784266774857,4.8196759504188655,19.017334994189742,-40.176674719647245,"3.32","1.6",,,,"72.4",2215,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.15",,,,,,,,46,1,"Curveball",10,2,10,2,2,10,10,2,"Standard","Standard",28,"0","0.015"
"FC","2022-10-01","87","-0.82","6.62","Thompson, Zach",572816,605507,"field_out","hit_into_play",,,,,11,"Corey Dickerson flies out to left fielder Miguel Andujar.","R","L","R","STL","PIT","X",7,"fly_ball",2,2,2022,"0.32","0.64","0","3.87",,,,1,5,"Bot",76.83,79.42,,,641511,,,1.3055894942014568,-126.66449588054074,-1.7136255830166378,3.19961104627898,27.225714518371138,-25.176791799421906,"3.54","1.63",321,"91.8",31,"87.1",2458,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.07",0.086,0.148,"0",1,0,0,3,45,5,"Cutter",10,2,10,2,2,10,10,2,"Strategic","Standard",182,"0","-0.134"
"CU","2022-10-01","75.8","-0.91","6.52","Thompson, Zach",572816,605507,,"ball",,,,,14,"Corey Dickerson flies out to left fielder Miguel Andujar.","R","L","R","STL","PIT","B",,,1,2,2022,"0.32","-0.82","1.7","0.68",,,,1,5,"Bot",,,,,641511,,,4.863871352416278,-110.2419337021589,-3.652614054820784,1.7652540033643047,19.801232947617176,-38.42329328067937,"3.57","1.63",,,,"75.8",2162,"6.3",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.17",,,,,,,,45,4,"Curveball",10,2,10,2,2,10,10,2,"Strategic","Standard",22,"0","0.023"
"CU","2022-10-01","75.3","-0.7","6.64","Thompson, Zach",572816,605507,,"swinging_strike",,,,,9,"Corey Dickerson flies out to left fielder Miguel Andujar.","R","L","R","STL","PIT","S",,,1,1,2022,"0.46","-0.83","0.52","1.52",,,,1,5,"Bot",,,,,641511,,,1.721645081964311,-109.6938205056123,-1.998309334446926,3.3695172786107435,20.26805280549594,-38.67930167845241,"3.54","1.63",,,,"75.3",2150,"6.3",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.16",,,,,,,,45,3,"Curveball",10,2,10,2,2,10,10,2,"Strategic","Standard",30,"0","-0.036"
"FF","2022-10-01","90.1","-0.74","6.73","Thompson, Zach",572816,605507,,"ball",,,,,11,"Corey Dickerson flies out to left fielder Miguel Andujar.","R","L","R","STL","PIT","B",,,0,1,2022,"-0.12","1.18","-0.03","4.29",,,,1,5,"Bot",,,,,641511,,,2.021783487629453,-131.2742163614543,-2.6692469738157256,-1.7718619656100798,25.860667912979416,-18.07176342932614,"3.6","1.63",,,,"90.7",2326,"6.4",661956,605507,641511,660636,666801,663647,621028,609280,668804,669261,"54.09",,,,,,,,45,2,"4-Seam Fastball",10,2,10,2,2,10,10,2,"Strategic","Standard",207,"0","0.016"
