"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SV","2022-10-03","81.7","-3.16","5.75","Berríos, José",679631,621244,"field_out","hit_into_play",,,,,5,"Terrin Vavra flies out to center fielder George Springer.","R","L","R","BAL","TOR","X",8,"fly_ball",0,2,2022,"1.4","-0.53","0.11","2.37",,,,2,6,"Bot",124.45,55.67,,,672386,,,4.62211716609427,-118.80809810112926,0.08289365945729621,12.148963329063754,25.636864062029403,-37.41448161299981,"3.1","1.44",354,"98.3",38,"80.7",2349,"5.9",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.59",0.143,0.273,"0",1,0,0,3,49,3,"Slurve",1,4,1,4,4,1,1,4,"Standard","Standard",44,"-0.01","-0.059"
"SV","2022-10-03","81.8","-3.16","5.71","Berríos, José",679631,621244,,"called_strike",,,,,14,"Terrin Vavra flies out to center fielder George Springer.","R","L","R","BAL","TOR","S",,,0,1,2022,"1.51","-0.5","0.22","1.3",,,,2,6,"Bot",,,,,672386,,,4.709117560485357,-118.91664674429813,-2.2658056593187506,13.021972342296724,27.53057391274765,-36.60299621530473,"3.05","1.47",,,,"80.9",2284,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.29",,,,,,,,49,2,"Slurve",1,4,1,4,4,1,1,4,"Standard","Standard",41,"0","-0.023"
"SV","2022-10-03","81","-3.25","5.69","Berríos, José",679631,621244,,"called_strike",,,,,13,"Terrin Vavra flies out to center fielder George Springer.","R","L","R","BAL","TOR","S",,,0,0,2022,"1.26","-0.35","-0.86","1.32",,,,2,6,"Bot",,,,,672386,,,2.897438340191457,-117.76567960664445,-2.2717233842023385,10.840380182239905,27.96985720213927,-35.09582111065338,"3.02","1.49",,,,"79.9",2246,"6.1",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.37",,,,,,,,49,1,"Slurve",1,4,1,4,4,1,1,4,"Standard","Standard",37,"0","-0.017"
"SI","2022-10-03","91.5","-3.06","5.77","Berríos, José",683002,621244,"field_out","hit_into_play",,,,,4,"Gunnar Henderson grounds out, shortstop Bo Bichette to first baseman Cavan Biggio.","R","L","R","BAL","TOR","X",6,"ground_ball",0,0,2022,"-1.57","0.93","-0.37","2.4",,,,1,6,"Bot",111.53,130.25,,,672386,,,10.1492579001239,-132.7995640880331,-4.544506522679727,-20.87128162116751,30.82670261763216,-20.38898019472542,"3.69","1.79",24,"109.3",-4,"90.8",2070,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.27",0.431,0.393,"0",1,0,0,4,48,1,"Sinker",1,4,1,4,4,1,1,4,"Standard","Strategic",223,"-0.017","-0.156"
"SV","2022-10-03","83.4","-3.17","5.68","Berríos, José",663624,621244,"field_out","hit_into_play",,,,,13,"Ryan Mountcastle flies out to shortstop Bo Bichette.","R","R","R","BAL","TOR","X",6,"fly_ball",2,2,2022,"0.99","-0.1","-0.55","1.53",,,,0,6,"Bot",101.13,127,,,672386,,,4.0571438150883266,-121.33985207847807,-2.8792562800539976,8.87181530601143,24.836377910816886,-32.75402172385526,"3.62","1.76",192,"90.1",58,"83.1",2298,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.29",0.009,0.009,"0",1,0,0,3,47,5,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",44,"-0.026","-0.195"
"SV","2022-10-03","82.3","-3.16","5.61","Berríos, José",663624,621244,,"ball",,,,,14,"Ryan Mountcastle flies out to shortstop Bo Bichette.","R","R","R","BAL","TOR","B",,,1,2,2022,"0.82","-0.23","1.43","0.93",,,,0,6,"Bot",,,,,672386,,,8.797855140554772,-119.49299238172757,-3.5720367376668474,6.082946114545095,24.077273130945336,-33.81341657882418,"3.42","1.83",,,,"81.9",2294,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.26",,,,,,,,47,4,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",44,"0","0.037"
"SV","2022-10-03","81.7","-3.12","5.64","Berríos, José",663624,621244,,"swinging_strike",,,,,14,"Ryan Mountcastle flies out to shortstop Bo Bichette.","R","R","R","BAL","TOR","S",,,1,1,2022,"0.83","0.05","0.62","1.61",,,,0,6,"Bot",,,,,672386,,,6.810393935909069,-118.91250353664091,-2.5988803579937416,6.544685890124764,22.96638071393939,-31.40517657332732,"3.62","1.76",,,,"81.5",2159,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.32",,,,,,,,47,3,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",41,"0","-0.054"
"SV","2022-10-03","82.5","-3.14","5.66","Berríos, José",663624,621244,,"called_strike",,,,,9,"Ryan Mountcastle flies out to shortstop Bo Bichette.","R","R","R","BAL","TOR","S",,,1,0,2022,"0.94","0.09","0.37","2",,,,0,6,"Bot",,,,,672386,,,6.136558062291872,-119.96257350106437,-1.916665417503324,7.730366747341057,25.287279617454853,-31.1122731328983,"3.82","1.88",,,,"82",2145,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.32",,,,,,,,47,2,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",46,"0","-0.043"
"SI","2022-10-03","91.4","-2.87","5.79","Berríos, José",663624,621244,,"ball",,,,,13,"Ryan Mountcastle flies out to shortstop Bo Bichette.","R","R","R","BAL","TOR","B",,,0,0,2022,"-1.6","0.97","-0.65","0.33",,,,0,6,"Bot",,,,,672386,,,9.027103082046857,-132.55525258618883,-9.912576400023953,-20.802385466617043,28.213666433787857,-18.760045225692036,"3.8","1.86",,,,"91.3",1937,"6.4",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.11",,,,,,,,47,1,"Sinker",1,4,1,4,4,1,1,4,"Infield shift","Standard",221,"0","0.033"
"FF","2022-10-03","94.8","-3.05","5.86","Berríos, José",623993,621244,"field_out","hit_into_play",,,,,11,"Anthony Santander pops out to catcher Alejandro Kirk in foul territory.","R","L","R","BAL","TOR","X",2,"popup",2,2,2022,"-1.02","1.46","-0.84","3.63",,,668939,2,5,"Bot",128.34,223.68,,,672386,,,8.046595508855706,-137.63447286430383,-3.3119633051452277,-14.847185065662323,35.29373567671514,-13.169786860867076,"3.36","1.66",28,"85.3",85,"94.1",2302,"6.4",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.12",0.014,0.014,"0",1,0,0,3,42,6,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Infield shift","Standard",216,"-0.024","-0.188"
"SV","2022-10-03","83.1","-3.18","5.72","Berríos, José",623993,621244,,"ball",,,,,13,"Anthony Santander pops out to catcher Alejandro Kirk in foul territory.","R","L","R","BAL","TOR","B",,,1,2,2022,"1.23","-0.09","-1.35","1.76",,,668939,2,5,"Bot",,,,,672386,,,1.7670747850689816,-120.95378671856886,-2.361732886415875,11.551749016043326,26.463947889520163,-32.732343894135866,"3.39","1.7",,,,"82.4",2066,"6.1",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.44",,,,,,,,42,5,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",41,"0","0.029"
"SV","2022-10-03","83.5","-3.15","5.8","Berríos, José",623993,621244,,"foul",,,,,1,"Anthony Santander pops out to catcher Alejandro Kirk in foul territory.","R","L","R","BAL","TOR","S",,,1,2,2022,"1.28","-0.21","-0.77","3.16",,,668939,2,5,"Bot",,,,,672386,,,2.969847774997872,-121.54331362757152,0.7667611679079283,12.058169676085884,23.952349017940776,-34.642235210078105,"3.36","1.66",121,"70.7",12,"83.1",2217,"6",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.48",,,,,,,,42,4,"Slurve",1,4,1,4,4,1,1,4,"Infield shift","Standard",45,"0","0"
"SI","2022-10-03","92.6","-3.11","5.77","Berríos, José",623993,621244,,"called_strike",,,,,13,"Anthony Santander pops out to catcher Alejandro Kirk in foul territory.","R","L","R","BAL","TOR","S",,,1,1,2022,"-1.44","0.92","-0.92","1.58",,,668939,2,5,"Bot",,,,,672386,,,8.730040387496567,-134.53528652370827,-6.907573733368989,-19.365779305847866,28.371790622533698,-19.62749594166447,"3.34","1.65",,,,"92.6",2025,"6.3",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.2",,,,,,,,42,3,"Sinker",1,4,1,4,4,1,1,4,"Infield shift","Standard",224,"0","-0.051"
"SI","2022-10-03","91.4","-3.08","5.82","Berríos, José",623993,621244,,"called_strike",,,,,11,"Anthony Santander pops out to catcher Alejandro Kirk in foul territory.","R","L","R","BAL","TOR","S",,,1,0,2022,"-1.67","0.97","-1.25","2.71",,,668939,2,5,"Bot",,,,,672386,,,8.196203949394343,-132.83209996294647,-3.9879550637808805,-21.599660216241656,30.646674170695988,-20.084447519146767,"3.29","1.65",,,,"90.9",2049,"6.2",663273,621244,672386,624415,593160,656305,666182,606132,543807,606192,"54.28",,,,,,,,42,2,"Sinker",1,4,1,4,4,1,1,4,"Infield shift","Standard",222,"0","-0.041"
