"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2022-10-04","83.5","-1.21","5.81","Thompson, Keegan",456781,624522,"strikeout","swinging_strike_blocked",,,,,14,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",2,,1,2,2022,"0.68","-1.33","0.67","0.67",,,,2,8,"Bot",,,,,575929,,,2.996899602147109,-121.6306784065482,-2.7759595817175953,6.074870565158806,24.785922598153107,-45.04306934274843,"3.12","1.45",,,,"83.2",2691,"6.2",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.35",,,"0",1,0,0,,62,7,"Curveball",2,2,2,2,2,2,2,2,"Standard","Standard",33,"-0.025","-0.07"
"FC","2022-10-04","90","-1.3","5.69","Thompson, Keegan",456781,624522,,"foul",,,,,6,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",,,1,2,2022,"0.51","0.29","0.61","2.05",,,,2,8,"Bot",,,,,575929,,,3.6520261455592946,-131.1152519310869,-3.7687404876602013,5.279422659446294,23.59172060005364,-28.30959816118741,"3.12","1.45",185,"76.8",58,"90.5",2764,"6.2",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.29",,,,,,,,62,6,"Cutter",2,2,2,2,2,2,2,2,"Standard","Standard",134,"0","0"
"FF","2022-10-04","94.6","-1.2","5.72","Thompson, Keegan",456781,624522,,"foul",,,,,3,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",,,1,2,2022,"-0.47","1.31","0.44","2.69",,,,2,8,"Bot",,,,,575929,,,5.321748067796878,-137.71353194691312,-5.188126673041373,-7.04962312650595,28.117787694485113,-14.57447749695117,"3.12","1.45",,,,"95.1",2472,"6.4",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.15",,,,,,,,62,5,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",201,"0","0"
"ST","2022-10-04","84.9","-1.28","5.78","Thompson, Keegan",456781,624522,,"foul",,,,,6,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",,,1,2,2022,"0.89","0.18","0.7","2.4",,,,2,8,"Bot",,,,,575929,,,2.8560799719139154,-123.70608056556696,-1.9992089459236129,8.662714977110177,22.793420527964866,-30.096074944981417,"3.12","1.45",162,"69.4",19,"85.1",2561,"6.2",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.33",,,,,,,,62,4,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",61,"0","0"
"ST","2022-10-04","84.9","-1.3","5.64","Thompson, Keegan",456781,624522,,"swinging_strike",,,,,14,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",,,1,1,2022,"1.31","0.3","2.13","-0.07",,,,2,8,"Bot",,,,,575929,,,5.389765642047868,-123.44084317134526,-7.670824783530801,12.445159091957883,23.43308606588635,-27.845679604507197,"3.12","1.45",,,,"85.1",2841,"6.3",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.16",,,,,,,,62,3,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",56,"0","-0.023"
"FF","2022-10-04","95.5","-1.19","5.72","Thompson, Keegan",456781,624522,,"ball",,,,,14,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","B",,,0,1,2022,"-0.3","1.49","1.44","1.51",,,,2,8,"Bot",,,,,575929,,,7.590085236453747,-138.76490127701155,-8.828287739065997,-5.49526422768726,28.84837611163176,-11.172637046090228,"3.33","1.53",,,,"95.6",2505,"6.3",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.25",,,,,,,,62,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",199,"0","0.011"
"FF","2022-10-04","95.3","-1.17","5.81","Thompson, Keegan",456781,624522,,"foul_tip",,,,,2,"Donovan Solano strikes out swinging.","R","R","R","CIN","CHC","S",,,0,0,2022,"-0.28","1.46","-0.05","3.16",,,,2,8,"Bot",,,,,575929,,,3.5872838181567883,-138.84443195612212,-4.656166050169481,-4.432971397552857,28.493231591051963,-12.38549138169981,"3.12","1.45",,,,"95.5",2493,"6.2",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.34",,,,,,,,62,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",201,"0","-0.017"
"FC","2022-10-04","89.4","-1.25","5.74","Thompson, Keegan",571657,624522,"field_out","hit_into_play",,,,,14,"Kyle Farmer grounds out, second baseman Esteban Quiroz to first baseman Alfonso Rivas.","R","R","R","CIN","CHC","X",4,"ground_ball",1,1,2022,"0.54","0.37","1.04","1.53",,,,1,8,"Bot",138.64,139.64,,,575929,,,4.488878579915383,-130.2654589505007,-5.223257413395706,5.337643555456709,24.260277652771467,-27.186124852415134,"3.26","1.49",76,"78.6",6,"89.7",2621,"6.2",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.33",0.323,0.312,"0",1,0,0,2,61,3,"Cutter",2,2,2,2,2,2,2,2,"Infield shade","Standard",149,"-0.034","-0.148"
"FF","2022-10-04","95","-1.15","5.76","Thompson, Keegan",571657,624522,,"ball",,,,,12,"Kyle Farmer grounds out, second baseman Esteban Quiroz to first baseman Alfonso Rivas.","R","R","R","CIN","CHC","B",,,0,1,2022,"-0.47","1.21","1.29","2.53",,,,1,8,"Bot",,,,,575929,,,7.454560979209626,-138.24469175816898,-5.581676271241639,-7.625303487775193,27.630231198776276,-15.55833470995267,"3.33","1.49",,,,"95.4",2512,"6.3",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.23",,,,,,,,61,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shade","Standard",194,"0","0.016"
"FF","2022-10-04","95.1","-1.17","5.76","Thompson, Keegan",571657,624522,,"foul",,,,,6,"Kyle Farmer grounds out, second baseman Esteban Quiroz to first baseman Alfonso Rivas.","R","R","R","CIN","CHC","S",,,0,0,2022,"-0.09","1.57","0.48","2.3",,,,1,8,"Bot",,,,,575929,,,4.514504222441093,-138.36613456819381,-6.969601126628062,-2.0634282479966397,28.84389717988613,-10.616001165339528,"3.26","1.49",,,,"95.3",2438,"6.3",663243,624522,575929,663845,606019,621550,663538,664023,666624,673548,"54.22",,,,,,,,61,1,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Infield shade","Standard",202,"0","-0.024"
