"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-02","96.1","-2.01","5.54","López, Pablo",457705,641154,"strikeout","swinging_strike",,,,,11,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","S",2,,2,2,2022,"-0.47","1.3","-0.63","3.56",,,,2,7,"Bot",,,,,607732,,,4.7674826952897025,-139.95029030630775,-2.6312278637534634,-7.287620797716189,31.07630007937172,-14.683720312575444,"3.31","1.55",,,,"97.1",2289,"6.8",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.71",,,"0",1,0,0,,53,6,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",212,"-0.015","-0.083"
"CU","2022-10-02","82.7","-1.92","5.71","López, Pablo",457705,641154,,"ball",,,,,14,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","B",,,1,2,2022,"0.72","-0.38","0.91","0.22",,,,2,7,"Bot",,,,,607732,,,5.068374708344811,-120.27065963490583,-5.302498901674023,5.988172292838083,23.466090820328457,-35.05930991449691,"3.16","1.54",,,,"83.3",2676,"6.7",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.75",,,,,,,,53,5,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",37,"0","0.014"
"CU","2022-10-02","82.7","-1.76","5.76","López, Pablo",457705,641154,,"ball",,,,,14,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","B",,,0,2,2022,"0.86","-0.52","0.44","1.11",,,,2,7,"Bot",,,,,607732,,,3.3834340507924083,-120.47466088828011,-3.1374831312890947,7.716497726770365,23.379694441611864,-36.81929101641252,"3.19","1.54",,,,"83.6",2487,"6.8",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.69",,,,,,,,53,4,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",36,"0","0.011"
"FF","2022-10-02","95.7","-1.97","5.55","López, Pablo",457705,641154,,"foul",,,,,6,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","S",,,0,2,2022,"-0.39","1.31","0.48","2.64",,,,2,7,"Bot",,,,,607732,,,7.398139904653837,-139.07885159192543,-5.026835124125685,-6.694669375047365,31.61382716938913,-14.25309453627497,"3.31","1.55",139,"80.9",10,"96.5",2301,"6.9",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.64",,,,,,,,53,3,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",218,"0","0"
"CU","2022-10-02","81.2","-2.07","5.82","López, Pablo",457705,641154,,"swinging_strike",,,,,14,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","S",,,0,1,2022,"1.2","-0.4","0.21","1.13",,,,2,7,"Bot",,,,,607732,,,2.823751382698128,-118.15220840991901,-3.049739721985828,10.525665198844296,24.853584089726272,-35.528500561403746,"3.31","1.55",,,,"81.2",2600,"6.5",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.96",,,,,,,,53,2,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",32,"0","-0.023"
"CH","2022-10-02","87.5","-2.21","5.58","López, Pablo",457705,641154,,"called_strike",,,,,8,"Andrew McCutchen strikes out swinging.","R","R","R","MIL","MIA","S",,,0,0,2022,"-1.45","0.65","0.07","1.44",,,,2,7,"Bot",,,,,607732,,,8.508386751052635,-127.17179433911733,-5.192707155078797,-17.486324214224194,25.851927201405097,-24.234840901299247,"3.19","1.54",,,,"87.7",2166,"6.5",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"54.02",,,,,,,,53,1,"Changeup",0,2,0,2,2,0,0,2,"Standard","Standard",237,"0","-0.017"
"CH","2022-10-02","87.8","-2.28","5.5","López, Pablo",543939,641154,"field_out","hit_into_play",,,,,7,"Kolten Wong grounds out to first baseman Lewin Diaz.","R","L","R","MIL","MIA","X",3,"ground_ball",2,1,2022,"-1.42","0.6","-0.57","1.93",,,,1,7,"Bot",160.33,167.42,,,607732,,,7.0905045468282815,-127.68032933245253,-3.7498371143797296,-17.01833758994009,26.734117090873777,-25.069410166904674,"3.13","1.48",9,"86.3",-12,"88.1",2150,"6.5",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.97",0.163,0.173,"0",1,0,0,2,52,4,"Changeup",0,2,0,2,2,0,0,2,"Infield shift","Standard",234,"-0.026","-0.181"
"CH","2022-10-02","88.3","-2.21","5.59","López, Pablo",543939,641154,,"ball",,,,,14,"Kolten Wong grounds out to first baseman Lewin Diaz.","R","L","R","MIL","MIA","B",,,1,1,2022,"-1.42","0.59","0.34","1.15",,,,1,7,"Bot",,,,,607732,,,9.16484801628939,-128.23585683941616,-5.94975103168147,-17.542992841464393,26.451830904229297,-24.528303798747796,"2.98","1.47",,,,"88.5",2158,"6.5",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"54.01",,,,,,,,52,3,"Changeup",0,2,0,2,2,0,0,2,"Infield shift","Standard",236,"0","0.033"
"CH","2022-10-02","87.5","-2.11","5.64","López, Pablo",543939,641154,,"swinging_strike",,,,,13,"Kolten Wong grounds out to first baseman Lewin Diaz.","R","L","R","MIL","MIA","S",,,1,0,2022,"-1.49","0.64","-1.1","1.17",,,,1,7,"Bot",,,,,607732,,,5.538788954945705,-127.25312527156491,-5.9817509277010235,-17.313768760062434,26.05640498234779,-24.234293141816224,"3.13","1.48",,,,"87.9",2064,"6.6",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.92",,,,,,,,52,2,"Changeup",0,2,0,2,2,0,0,2,"Infield shift","Standard",241,"0","-0.031"
"FF","2022-10-02","95.4","-2.03","5.52","López, Pablo",543939,641154,,"ball",,,,,14,"Kolten Wong grounds out to first baseman Lewin Diaz.","R","L","R","MIL","MIA","B",,,0,0,2022,"-0.65","1.32","1.05","1.24",,,,1,7,"Bot",,,,,607732,,,9.59093860430112,-138.32801019327434,-8.561976563159913,-10.480154880252353,31.388631453466058,-13.429573649164208,"3.01","1.47",,,,"95.6",2303,"6.7",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.84",,,,,,,,52,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",220,"0","0.023"
"CU","2022-10-02","80.1","-1.85","5.8","López, Pablo",592669,641154,"field_out","hit_into_play",,,,,8,"Hunter Renfroe flies out to left fielder Peyton Burdick.","R","R","R","MIL","MIA","X",7,"fly_ball",0,1,2022,"1.05","-0.65","-0.23","2.09",,,,0,7,"Bot",91.48,93.92,,,607732,,,1.608146270763561,-116.60236905150349,-0.20435666853330736,9.171806353089837,23.607223159143533,-38.24113255245765,"3.35","1.56",275,"88.7",43,"80.3",2535,"6.6",661153,641154,607732,650331,641779,677954,621563,680814,650559,541645,"53.9",0.009,0.01,"0",1,0,0,3,51,2,"Curveball",0,2,0,2,2,0,0,2,"Infield shift","Standard",55,"-0.038","-0.187"
