"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-04","91.4","-2.31","6.08","Hudson, Dakota",665833,641712,"single","hit_into_play",,,,,1,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","X",6,"ground_ball",3,2,2022,"-0.26","0.5","-0.48","3.47",,623168,678225,2,3,"Bot",114.04,126.21,,,668800,,,5.174581073907637,-133.09194646826515,-1.7827427269900717,-4.239407440777838,29.153287959139,-26.038997767631514,"3.79","1.83",7,"102.6",-25,"91.5",2217,"6.4",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.14",0.14,0.127,"0.9",1,1,0,2,34,6,"4-Seam Fastball",7,3,7,3,3,7,7,3,"Infield shift","Standard",217,"0.009","0.841"
"CU","2022-10-04","83.2","-2.08","6.08","Hudson, Dakota",665833,641712,,"ball",,,,,14,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","B",,,2,2,2022,"0.1","0.11","0.37","1.48",,623168,678225,2,3,"Bot",,,,,668800,,,5.401274977581957,-121.06461272046066,-4.30565915091263,-0.032677895154361536,23.528760263188673,-30.453314029823666,"3.83","1.66",,,,"83.1",2512,"6.2",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.3",,,,,,,,34,5,"Curveball",7,3,7,3,3,7,7,3,"Infield shift","Standard",40,"0","0.104"
"SL","2022-10-04","85.6","-2.11","6.07","Hudson, Dakota",665833,641712,,"foul",,,,,9,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","S",,,2,1,2022,"0.08","0.11","0.5","2.14",,623168,678225,2,3,"Bot",,,,,668800,,,6.016310673549294,-124.5083363839547,-3.1988501445967854,-0.41487077495130276,25.39322992110754,-30.571274918375913,"3.79","1.83",6,"81.7",-21,"85.8",2585,"6.5",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.05",,,,,,,,34,4,"Slider",7,3,7,3,3,7,7,3,"Standard","Standard",29,"0","-0.12"
"SL","2022-10-04","86.3","-2.06","6.04","Hudson, Dakota",665833,641712,,"foul",,,,,13,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","S",,,2,0,2022,"-0.04","0.28","0","1.17",,623168,678225,2,3,"Bot",,,,,668800,,,4.962534841714874,-125.55438021495118,-5.956266980112984,-1.4020651993455737,23.960595801341913,-28.281472121282267,"3.79","1.83",,,,"86.4",2549,"6.2",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.26",,,,,,,,34,3,"Slider",7,3,7,3,3,7,7,3,"Standard","Standard",205,"0","-0.09"
"CU","2022-10-04","80.8","-2.21","6.13","Hudson, Dakota",665833,641712,,"ball",,,,,13,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","B",,,1,0,2022,"0.23","0.04","-1.07","1.68",,623168,678225,2,3,"Bot",,,,,668800,,,2.102328628806554,-117.76300937758845,-3.349559213635344,1.7406674702317022,22.112678746745058,-31.341123426606174,"3.93","1.83",,,,"80.4",2656,"5.9",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.58",,,,,,,,34,2,"Curveball",7,3,7,3,3,7,7,3,"Standard","Standard",57,"0","0.068"
"CU","2022-10-04","81.6","-2.17","6.2","Hudson, Dakota",665833,641712,,"ball",,,,,13,"Oneil Cruz singles on a sharp ground ball to shortstop Paul DeJong.   Tyler Heineman to 3rd.    Ji Hwan Bae to 2nd.","R","L","R","PIT","STL","B",,,0,0,2022,"0.51","0.11","-0.91","2.37",,623168,678225,2,3,"Bot",,,,,668800,,,1.832608576406952,-118.80188490040904,-2.251153254779,4.5084554977226565,23.330849713757264,-30.881426636797894,"3.83","1.78",,,,"81.4",2644,"6.2",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.35",,,,,,,,34,1,"Curveball",7,3,7,3,3,7,7,3,"Standard","Standard",40,"0","0.054"
"SI","2022-10-04","90.2","-2.04","6.15","Hudson, Dakota",678225,641712,"single","hit_into_play",,,,,13,"Ji Hwan Bae singles on a ground ball to pitcher Dakota Hudson.   Ke'Bryan Hayes scores.    Tyler Heineman to 2nd.","R","L","R","PIT","STL","X",1,"ground_ball",1,0,2022,"-1.08","0.43","-0.98","0.93",663647,,623168,2,3,"Bot",123.44,188.07,,,668800,,,4.944145023180662,-131.19732013282643,-8.006064584581004,-13.48084679407749,25.96485814182713,-25.782630029462542,"3.41","1.56",1,"74",-52,"90.7",2177,"6.4",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.05",0.206,0.191,"0.9",1,1,0,2,33,2,"Sinker",6,3,6,3,3,7,7,3,"Standard","Standard",218,"0.052","0.943"
"CU","2022-10-04","81.6","-2.19","6.1","Hudson, Dakota",678225,641712,,"ball",,,,,11,"Ji Hwan Bae singles on a ground ball to pitcher Dakota Hudson.   Ke'Bryan Hayes scores.    Tyler Heineman to 2nd.","R","L","R","PIT","STL","B",,,0,0,2022,"0.37","-0.11","-0.28","3.34",663647,,623168,2,3,"Bot",,,,,668800,,,3.5988335444156463,-118.90197058899159,0.47120216620663435,2.909781203189612,19.714215429260403,-33.46019983579419,"3.04","1.45",,,,"81.9",2652,"6.1",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.39",,,,,,,,33,1,"Curveball",6,3,6,3,3,6,6,3,"Standard","Standard",45,"0","0.064"
"SI","2022-10-04","91.4","-2","6.2","Hudson, Dakota",623168,641712,"force_out","hit_into_play",,,,,13,"Tyler Heineman grounds into a force out, third baseman Juan Yepez to shortstop Paul DeJong.   Ke'Bryan Hayes to 3rd.    Ben Gamel out at 2nd.    Tyler Heineman to 1st.","R","L","R","PIT","STL","X",5,"ground_ball",0,1,2022,"-1.22","0.4","-1.39","2.23",,663647,592325,1,3,"Bot",112.98,183.57,,,668800,,,4.1803923724972245,-133.02463670934688,-5.0089981372577554,-15.441572243590972,28.157432105216202,-26.517389381693523,"3.05","1.46",19,"63.5",-4,"91.7",2270,"6.4",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.07",0.109,0.1,"0",1,0,0,2,32,2,"Sinker",6,3,6,3,3,6,6,3,"Standard","Standard",217,"-0.017","-0.534"
"FF","2022-10-04","90.8","-2.04","6.11","Hudson, Dakota",623168,641712,,"called_strike",,,,,12,"Tyler Heineman grounds into a force out, third baseman Juan Yepez to shortstop Paul DeJong.   Ke'Bryan Hayes to 3rd.    Ben Gamel out at 2nd.    Tyler Heineman to 1st.","R","L","R","PIT","STL","S",,,0,0,2022,"-0.51","0.56","0.28","3.27",,663647,592325,1,3,"Bot",,,,,668800,,,6.892777866360973,-132.1783278669185,-2.44238382554905,-7.351966505098719,26.32814934838211,-25.223027395890423,"3.04","1.42",,,,"91.2",2177,"6.4",662319,641712,668800,676475,680977,660766,657557,663457,641512,666185,"54.11",,,,,,,,32,1,"4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard",225,"0","-0.081"
