"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-09-03","88.7","-1.89","5.54","Mahle, Tyler",683734,641816,"field_out","hit_into_play",,,,,11,"Andrew Vaughn flies out to left fielder Jake Cave.","R","R","R","CWS","MIN","X",7,"fly_ball",0,0,2022,"-0.93","1.43","-0.95","3.07",,,663853,2,2,"Bot",74.73,94.75,,,596142,,,4.277360025587096,-129.27831648422432,-3.0862672638553734,-11.355848819207015,22.23443509327215,-15.523411704273657,"3.27","1.57",288,"97",47,"89.8",2158,"6.5",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"54",0.006,0.009,"0",1,0,0,3,17,1,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",217,"-0.009","-0.219"
"FS","2022-09-03","83.2","-1.89","5.53","Mahle, Tyler",462101,641816,"field_out","hit_into_play",,,,,6,"Elvis Andrus lines out sharply to center fielder Gilberto Celestino.","R","R","R","CWS","MIN","X",8,"line_drive",1,1,2022,"-1.01","0.92","0.52","2.1",,,663853,1,2,"Bot",127.14,78.14,,,596142,,,7.528336220364236,-120.97951031835406,-3.287866722487792,-11.27760618008422,20.92496761075812,-22.6878773935027,"3.13","1.45",328,"102.2",15,"84",1988,"6.6",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.93",0.626,0.641,"0",1,0,0,4,16,3,"Split-Finger",4,0,4,0,0,4,4,0,"Standard","Standard",219,"-0.01","-0.284"
"FC","2022-09-03","81.6","-1.92","5.48","Mahle, Tyler",462101,641816,,"blocked_ball",,,,,14,"Elvis Andrus lines out sharply to center fielder Gilberto Celestino.","R","R","R","CWS","MIN","B",,,0,1,2022,"0.24","0.61","1.67","0.62",,,663853,1,2,"Bot",,,,,596142,,,7.628149094288561,-118.5314615731137,-5.500535480760491,0.7617763624864567,23.009939815241626,-25.497440190364596,"3.11","1.39",,,,"81.8",2380,"6.5",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.96",,,,,,,,16,2,"Cutter",4,0,4,0,0,4,4,0,"Standard","Standard",175,"0","0.031"
"FF","2022-09-03","86.9","-1.81","5.41","Mahle, Tyler",462101,641816,,"called_strike",,,,,6,"Elvis Andrus lines out sharply to center fielder Gilberto Celestino.","R","R","R","CWS","MIN","S",,,0,0,2022,"-1.23","1.49","0.29","2.12",,,663853,1,2,"Bot",,,,,596142,,,7.6348303663698385,-126.26756747969586,-4.806820674259216,-14.719369631054636,25.105370721134683,-15.375478085001786,"3.17","1.37",,,,"87.8",2167,"6.9",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.64",,,,,,,,16,1,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",218,"0","-0.048"
"FF","2022-09-03","87.7","-1.84","5.49","Mahle, Tyler",663853,641816,"single","hit_into_play",,,,,6,"Romy Gonzalez singles on a sharp line drive to right fielder Max Kepler.","R","R","R","CWS","MIN","X",9,"line_drive",2,1,2022,"-0.85","1.52","0.38","2.31",,,,1,2,"Bot",169.85,105.39,,,596142,,,7.143015992597252,-127.52545901430844,-4.766454015718559,-10.617271840598782,23.439428333936103,-14.7742931746822,"3.44","1.67",181,"110.5",8,"88.4",2254,"6.5",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.95",0.794,0.787,"0.9",1,1,0,5,15,4,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",216,"0.009","0.237"
"FC","2022-09-03","81.7","-2.13","5.44","Mahle, Tyler",663853,641816,,"ball",,,,,14,"Romy Gonzalez singles on a sharp line drive to right fielder Max Kepler.","R","R","R","CWS","MIN","B",,,1,1,2022,"-0.02","0.73","1.04","1.72",,,,1,2,"Bot",,,,,596142,,,7.206012505446975,-119.00706255256928,-3.3532752271088584,-1.2822633178332878,18.15806860691669,-24.758893496219486,"3.5","1.67",,,,"82.9",2326,"6.5",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.95",,,,,,,,15,3,"Cutter",4,0,4,0,0,4,4,0,"Standard","Standard",164,"0","0.033"
"FF","2022-09-03","88.1","-1.86","5.56","Mahle, Tyler",663853,641816,,"called_strike",,,,,8,"Romy Gonzalez singles on a sharp line drive to right fielder Max Kepler.","R","R","R","CWS","MIN","S",,,1,0,2022,"-1.06","1.64","0.27","1.98",,,,1,2,"Bot",,,,,596142,,,7.40395950215745,-127.9829681619863,-6.004952480648011,-13.206011985629807,26.17698854242597,-13.10194622733339,"3.55","1.69",,,,"88.4",2326,"6.5",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.98",,,,,,,,15,2,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",219,"0","-0.031"
"FF","2022-09-03","87.6","-1.79","5.43","Mahle, Tyler",663853,641816,,"ball",,,,,14,"Romy Gonzalez singles on a sharp line drive to right fielder Max Kepler.","R","R","R","CWS","MIN","B",,,0,0,2022,"-1.09","1.54","1.43","1.23",,,,1,2,"Bot",,,,,596142,,,10.060009783568105,-127.06463351350209,-7.1974080112649395,-13.807679748228093,25.65704849902772,-14.179193296918125,"3.46","1.63",,,,"88",2262,"6.7",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.82",,,,,,,,15,1,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",217,"0","0.023"
"FF","2022-09-03","88","-1.88","5.49","Mahle, Tyler",664874,641816,"field_out","hit_into_play",,,,,2,"Seby Zavala pops out to shortstop Carlos Correa.","R","R","R","CWS","MIN","X",6,"popup",2,0,2022,"-0.93","1.44","0.15","3.44",,,,0,2,"Bot",128.2,133.42,,,596142,,,6.896484158938766,-128.02574374650888,-1.854167831344741,-11.664672806282072,26.19270252857455,-16.145999499380746,"3.36","1.62",169,"86.3",62,"88.5",2156,"6.6",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.9",0.009,0.008,"0",1,0,0,3,14,3,"4-Seam Fastball",4,0,4,0,0,4,4,0,"Standard","Standard",219,"-0.008","-0.317"
"SL","2022-09-03","81.9","-1.82","5.55","Mahle, Tyler",664874,641816,,"ball",,,,,14,"Seby Zavala pops out to shortstop Carlos Correa.","R","R","R","CWS","MIN","B",,,1,0,2022,"0.29","0.39","1.25","0.27",,,,0,2,"Bot",,,,,596142,,,6.421983267764831,-119.11112070270555,-6.244216031458432,1.7557601195303212,19.10275664759931,-27.531981436408802,"3.3","1.47",,,,"82.9",2484,"6.6",661438,641816,596142,669304,624503,570482,621043,595909,665482,596146,"53.88",,,,,,,,14,2,"Slider",4,0,4,0,0,4,4,0,"Standard","Standard",141,"0","0.063"
