"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-01","97.4","-1.43","6.25","Cease, Dylan",605137,656302,"walk","ball",,,,,11,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","B",,,3,2,2022,"-0.34","1.74","-1.07","4.2",,,592273,0,6,"Bot",,,,,518735,,,1.7327763879707168,-141.751786600587,-3.9597367103420305,-4.955798655194103,33.82280545919247,-8.09647759164193,"3.84","1.87",,,,"96.8",2543,"6",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.45",,,"0.7",1,0,0,,45,6,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard",193,"0.026","0.472"
"SL","2022-10-01","87","-1.74","5.79","Cease, Dylan",605137,656302,,"ball",,,,,14,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","B",,,2,2,2022,"-0.05","0.34","0.79","0.87",,,592273,0,6,"Bot",,,,,518735,,,6.154591235029444,-126.52022345659147,-6.3178078092998655,-1.809889960388836,26.570493159755852,-27.384078010470763,"3.9","1.9",,,,"86.9",2746,"6.4",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.15",,,,,,,,45,5,"Slider",3,1,3,1,1,3,3,1,"Infield shift","Standard",108,"0","0.146"
"CH","2022-10-01","76","-1.14","6.04","Cease, Dylan",605137,656302,,"ball",,,,,11,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","B",,,1,2,2022,"-0.77","1.55","-1.86","3.61",,,592273,0,6,"Bot",,,,,518735,,,-0.1380509490373013,-110.72895873768124,-0.7669189984837974,-6.310767104829886,21.093569509200066,-19.568814113787948,"3.81","1.79",,,,"75.9",1668,"6.3",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.17",,,,,,,,45,4,"Changeup",3,1,3,1,1,3,3,1,"Infield shift","Standard",184,"0","0.084"
"FF","2022-10-01","96.7","-1.47","6.32","Cease, Dylan",605137,656302,,"foul",,,,,1,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","S",,,1,1,2022,"-0.39","1.81","-0.46","3.34",,,592273,0,6,"Bot",,,,,518735,,,3.572557932016421,-140.5926658545215,-6.3823056111664975,-6.061362873693249,37.571301844126836,-7.023074461027677,"3.7","1.75",187,"73.4",21,"95.4",2588,"6",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.51",,,,,,,,45,3,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard",196,"0","-0.088"
"FF","2022-10-01","96.7","-1.41","6.26","Cease, Dylan",605137,656302,,"ball",,,,,12,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","B",,,0,1,2022,"-0.17","1.63","1.55","3.08",,,592273,0,6,"Bot",,,,,518735,,,8.226612878927444,-140.379803406899,-6.496051807881015,-4.42237542313657,37.7644948108016,-9.344180183049168,"3.87","1.87",,,,"95.4",2524,"6.1",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.38",,,,,,,,45,2,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard",191,"0","0.051"
"KC","2022-10-01","81.6","-1.44","6.09","Cease, Dylan",605137,656302,,"foul",,,,,8,"Josh Bell walks.   Brandon Drury to 2nd.","R","L","R","SD","CWS","S",,,0,0,2022,"0.22","-1.12","-0.13","2.16",,,592273,0,6,"Bot",,,,,518735,,,2.535696299423958,-118.73837421257781,-0.020575400803177324,1.4867894804710011,25.88632979767801,-42.931406401645454,"3.7","1.75",,,,"80.9",2619,"6.1",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.39",,,,,,,,45,1,"Knuckle Curve",3,1,3,1,1,3,3,1,"Infield shift","Standard",31,"0","-0.066"
"FF","2022-10-01","97","-0.88","6.17","Cease, Dylan",592273,656302,"walk","ball",,,,,14,"Brandon Drury walks.","R","R","R","SD","CWS","B",,,3,0,2022,"-0.5","1.81","0.03","1.13",,,,0,6,"Bot",,,,,518735,,,3.568962642171282,-140.6950082975234,-11.898014058255136,-7.509916557041721,37.523515954939754,-5.5547512247421285,"3.58","1.79",,,,"96",2557,"6.3",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.23",,,"0.7",1,0,0,,44,4,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard",195,"0.019","0.168"
"SL","2022-10-01","88.3","-1.09","6.09","Cease, Dylan",592273,656302,,"ball",,,,,14,"Brandon Drury walks.","R","R","R","SD","CWS","B",,,2,0,2022,"0.24","0.09","1.75","1.36",,,,0,6,"Bot",,,,,518735,,,6.408011817512624,-128.39982063614562,-5.565736546911051,1.2036445209365552,28.16710133561258,-30.190071097792593,"3.55","1.76",,,,"87.8",2968,"6.2",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.33",,,,,,,,44,3,"Slider",3,1,3,1,1,3,3,1,"Infield shift","Standard",79,"0","0.134"
"FF","2022-10-01","97","-1.04","6.28","Cease, Dylan",592273,656302,,"ball",,,,,14,"Brandon Drury walks.","R","R","R","SD","CWS","B",,,1,0,2022,"-0.4","1.74","1.71","1.17",,,,0,6,"Bot",,,,,518735,,,8.195638304682197,-140.45096498760998,-11.909256124770337,-7.263761937699165,35.554464015677965,-6.477264697662259,"3.61","1.79",,,,"95.7",2644,"6.1",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.41",,,,,,,,44,2,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Infield shift","Standard",189,"0","0.063"
"KC","2022-10-01","82","-0.92","6.18","Cease, Dylan",592273,656302,,"ball",,,,,14,"Brandon Drury walks.","R","R","R","SD","CWS","B",,,0,0,2022,"-0.08","-1.03","0.82","1.09",,,,0,6,"Bot",,,,,518735,,,4.059480693064943,-119.18747962124563,-2.846456833456946,-1.6705184900348375,26.918713063227703,-41.43462637037511,"3.53","1.73",,,,"80.9",2626,"6",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.47",,,,,,,,44,1,"Knuckle Curve",3,1,3,1,1,3,3,1,"Infield shift","Standard",22,"0","0.033"
"SL","2022-10-01","88.1","-1.75","5.91","Cease, Dylan",630105,656302,"home_run","hit_into_play",,,,,9,"Jake Cronenworth homers (17) on a fly ball to right field.    Manny Machado scores.","R","L","R","SD","CWS","X",,"fly_ball",1,2,2022,"0.12","0.53","0.79","1.86",,,592518,0,6,"Bot",224.49,84.6,,,518735,,,5.933357177749271,-128.09601607107103,-4.815366650935324,0.06382125007913073,27.204143428944178,-25.506596764599177,"3.19","1.48",356,"95.8",31,"88.1",2777,"6.4",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.12",0.209,0.391,"2",1,0,3,5,43,4,"Slider",1,1,1,1,1,3,3,1,"Standard","Standard",123,"0.227","1.691"
"SL","2022-10-01","87.2","-1.7","6","Cease, Dylan",630105,656302,,"foul",,,,,6,"Jake Cronenworth homers (17) on a fly ball to right field.    Manny Machado scores.","R","L","R","SD","CWS","S",,,1,1,2022,"0.36","0.45","0.79","2.1",,,592518,0,6,"Bot",,,,,518735,,,5.236056853411455,-126.8888535657128,-4.147605665224919,2.8605462082931274,25.928550824135403,-26.611450852989343,"3.19","1.48",4,"92.6",-26,"87.1",2828,"6.2",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.29",,,,,,,,43,3,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",95,"0","-0.088"
"SL","2022-10-01","87.9","-1.84","5.94","Cease, Dylan",630105,656302,,"ball",,,,,14,"Jake Cronenworth homers (17) on a fly ball to right field.    Manny Machado scores.","R","L","R","SD","CWS","B",,,0,1,2022,"0.13","0.22","1.05","1.58",,,592518,0,6,"Bot",,,,,518735,,,6.736754892315812,-127.89666568634006,-4.925044340750913,0.0214996295484611,26.43780317307099,-28.921932220747337,"3.24","1.61",,,,"87.8",2760,"6.2",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.26",,,,,,,,43,2,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",103,"0","0.051"
"FF","2022-10-01","95.9","-1.4","6.29","Cease, Dylan",630105,656302,,"called_strike",,,,,2,"Jake Cronenworth homers (17) on a fly ball to right field.    Manny Machado scores.","R","L","R","SD","CWS","S",,,0,0,2022,"-0.15","1.71","-0.05","2.95",,,592518,0,6,"Bot",,,,,518735,,,3.894736727689044,-139.32532317174176,-6.997557892090197,-2.9052630907344237,35.45500927434569,-8.557140426038181,"3.13","1.53",,,,"95.3",2615,"6.3",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.17",,,,,,,,43,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",194,"0","-0.066"
"KC","2022-10-01","81.1","-1.11","6.2","Cease, Dylan",592518,656302,"single","hit_into_play",,,,,12,"Manny Machado singles on a ground ball to center fielder AJ Pollock.","R","R","R","SD","CWS","X",8,"ground_ball",1,0,2022,"-0.05","-1.3","0.18","3.72",,,,0,6,"Bot",118.93,118.56,,,518735,,,2.965064620449245,-118.01960312645681,3.6026673378244203,-1.0552779413680533,24.057910484073663,-45.27336799965783,"3.59","1.58",12,"89.8",-17,"80.4",2680,"6",662207,656302,518735,683734,543281,660162,462101,592622,572041,657757,"54.51",0.114,0.107,"0.9",1,1,0,2,42,2,"Knuckle Curve",1,1,1,1,1,1,1,1,"Standard","Standard",24,"0.051","0.361"
