"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2022-09-30","90.3","-1.68","6.1","Rasmussen, Drew",543877,656876,"field_out","hit_into_play",,,,,9,"Christian Vazquez flies out to right fielder Manuel Margot.","R","R","R","HOU","TB","X",9,"fly_ball",2,2,2022,"-0.01","0.29","0.41","1.95",,,,2,7,"Bot",175,102,,,642336,,,5.251425738015392,-131.36569652416674,-4.99236715900569,-1.2607684850856105,29.62013246883996,-27.895615387209293,"3.17","1.52",325,"91.6",31,"90.7",2632,"6.7",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.81",0.086,0.148,"0",1,0,0,3,59,5,"Cutter",2,6,2,6,6,2,2,6,"Standard","Standard",177,"-0.005","-0.083"
"FF","2022-09-30","96.1","-1.64","6.22","Rasmussen, Drew",543877,656876,,"ball",,,,,12,"Christian Vazquez flies out to right fielder Manuel Margot.","R","R","R","HOU","TB","B",,,1,2,2022,"-0.29","1.34","0.45","3.56",,,,2,7,"Bot",,,,,642336,,,6.251940624783145,-139.6681698797925,-4.47364995573599,-5.311093334054365,34.53883956175058,-13.8448701625515,"3.11","1.43",,,,"96.6",2245,"6.9",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.63",,,,,,,,59,4,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Strategic",203,"0","0.014"
"ST","2022-09-30","83.5","-2.12","5.88","Rasmussen, Drew",543877,656876,,"swinging_strike",,,,,14,"Christian Vazquez flies out to right fielder Manuel Margot.","R","R","R","HOU","TB","S",,,1,1,2022,"1.06","-0.48","1.1","1.61",,,,2,7,"Bot",,,,,642336,,,5.329609679557534,-121.36767555375171,-2.333589611765192,9.107610650255284,27.666269222129536,-36.6002570089815,"3.17","1.52",,,,"83.1",2449,"6.4",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"54.05",,,,,,,,59,3,"Sweeper",2,6,2,6,6,2,2,6,"Standard","Strategic",33,"0","-0.023"
"FF","2022-09-30","95.9","-1.55","6.17","Rasmussen, Drew",543877,656876,,"foul",,,,,13,"Christian Vazquez flies out to right fielder Manuel Margot.","R","R","R","HOU","TB","S",,,1,0,2022,"-0.56","1.44","-0.24","1.04",,,,2,7,"Bot",,,,,642336,,,4.758629073083774,-139.133023793422,-11.22459946807392,-8.375374017734641,32.970652675688996,-11.032986423649328,"3.17","1.52",1,"92.6",-44,"96.3",2213,"6.8",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.72",,,,,,,,59,2,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Strategic",199,"0","-0.021"
"SI","2022-09-30","95","-1.57","6.21","Rasmussen, Drew",543877,656876,,"ball",,,,,13,"Christian Vazquez flies out to right fielder Manuel Margot.","R","R","R","HOU","TB","B",,,0,0,2022,"-1.15","1.43","-1.15","1.46",,,,2,7,"Bot",,,,,642336,,,3.701120952131868,-137.87702784186,-9.93418584117591,-15.464885520864316,33.33644135486095,-11.822673235641865,"2.87","1.37",,,,"94.9",2415,"6.6",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.92",,,,,,,,59,1,"Sinker",2,6,2,6,6,2,2,6,"Standard","Strategic",201,"0","0.015"
"FC","2022-09-30","89.4","-1.7","6.09","Rasmussen, Drew",665161,656876,"field_out","hit_into_play",,,,,14,"Jeremy Pena grounds out, pitcher Drew Rasmussen to first baseman Harold Ramirez.","R","R","R","HOU","TB","X",1,"ground_ball",3,2,2022,"0.1","0.11","0.99","1.12",,,,1,7,"Bot",130.39,184.19,,,642336,,,6.430765157487641,-129.98950309596148,-6.4474765099218105,-0.22883398524953638,28.53174090995817,-29.675993119412347,"3.65","1.74",4,"87.4",-14,"89.4",2609,"6.5",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"54.05",0.117,0.106,"0",1,0,0,2,58,6,"Cutter",2,6,2,6,6,2,2,6,"Standard","Strategic",73,"-0.01","-0.207"
"FC","2022-09-30","88.5","-1.95","6.12","Rasmussen, Drew",665161,656876,,"foul",,,,,9,"Jeremy Pena grounds out, pitcher Drew Rasmussen to first baseman Harold Ramirez.","R","R","R","HOU","TB","S",,,3,1,2022,"0.29","0.19","0.38","2.32",,,,1,7,"Bot",,,,,642336,,,5.091837925262457,-128.77521555788655,-3.584130889569586,2.19583242083498,27.24437595017858,-29.516406232779755,"3.65","1.74",3,"83.1",-34,"88.8",2511,"6.5",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.96",,,,,,,,58,5,"Cutter",2,6,2,6,6,2,2,6,"Standard","Strategic",118,"0","-0.049"
"FF","2022-09-30","95.1","-1.49","6.2","Rasmussen, Drew",665161,656876,,"ball",,,,,12,"Jeremy Pena grounds out, pitcher Drew Rasmussen to first baseman Harold Ramirez.","R","R","R","HOU","TB","B",,,2,1,2022,"-0.29","1.29","1.31","2.93",,,,1,7,"Bot",,,,,642336,,,8.025509753941863,-138.15531535421866,-5.833161177516128,-5.44796880543064,30.493308317576155,-14.538901542327034,"3.71","1.71",,,,"95.5",2240,"6.6",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.9",,,,,,,,58,4,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Strategic",196,"0","0.075"
"SI","2022-09-30","94.5","-1.44","6.2","Rasmussen, Drew",665161,656876,,"called_strike",,,,,8,"Jeremy Pena grounds out, pitcher Drew Rasmussen to first baseman Harold Ramirez.","R","R","R","HOU","TB","S",,,2,0,2022,"-1.02","1.27","-0.09","2.12",,,,1,7,"Bot",,,,,642336,,,5.826820776082324,-137.24309242145884,-7.787338432684716,-14.171576673573865,31.58211158299161,-14.51781248576565,"3.65","1.71",,,,"94.8",2306,"6.7",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"53.85",,,,,,,,58,3,"Sinker",2,6,2,6,6,2,2,6,"Standard","Strategic",194,"0","-0.042"
"ST","2022-09-30","85.6","-2.17","5.88","Rasmussen, Drew",665161,656876,,"ball",,,,,14,"Jeremy Pena grounds out, pitcher Drew Rasmussen to first baseman Harold Ramirez.","R","R","R","HOU","TB","B",,,1,0,2022,"1.22","-0.1","0.78","1.14",,,,1,7,"Bot",,,,,642336,,,4.511390678839926,-124.55583230852909,-4.661622661898898,11.557199064899002,27.964036889735514,-32.38834728221492,"3.47","1.68",,,,"85.5",2228,"6.5",662819,656876,642336,623912,670764,670623,677551,668227,642350,622534,"54.01",,,,,,,,58,2,"Sweeper",2,6,2,6,6,2,2,6,"Standard","Strategic",38,"0","0.044"
