"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-10-03","91.9","-1.68","6.54","McKenzie, Triston",669004,663474,"field_out","hit_into_play",,,,,12,"MJ Melendez pops out to second baseman Andres Gimenez.","R","L","R","CLE","KC","X",4,"popup",1,1,2022,"0.13","1.67","0.92","2.99",,,664728,2,5,"Top",169.21,143.01,,,595978,,,6.36832278746536,-133.60726176425615,-6.790194983032337,0.052767229890278246,30.548126969707905,-10.89411372460068,"3.4","1.6",160,"74",60,"92.4",2376,"6.8",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.72",0.029,0.026,"0",1,0,0,3,36,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",190,"0.031","-0.209"
"FF","2022-10-03","91.7","-1.47","6.66","McKenzie, Triston",669004,663474,,"swinging_strike",,,,,11,"MJ Melendez pops out to second baseman Andres Gimenez.","R","L","R","CLE","KC","S",,,1,0,2022,"-0.25","2.16","-0.31","3.61",,,664728,2,5,"Top",,,,,595978,,,3.4998854999068683,-133.2911821784798,-6.51731252213728,-3.7658019222325816,30.243745304141676,-5.2613096584207675,"3.4","1.6",,,,"92.2",2332,"6.7",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.75",,,,,,,,36,2,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",187,"0","-0.041"
"SL","2022-10-03","84.7","-1.94","6.56","McKenzie, Triston",669004,663474,,"ball",,,,,12,"MJ Melendez pops out to second baseman Andres Gimenez.","R","L","R","CLE","KC","B",,,0,0,2022,"0.58","1.07","0.52","4.06",,,664728,2,5,"Top",,,,,595978,,,4.618698079066056,-123.28609908324889,-1.5891854259796006,4.874786718730417,27.00688468821967,-21.24136187334568,"3.5","1.65",,,,"84.9",2182,"6.6",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.88",,,,,,,,36,1,"Slider",1,1,1,1,1,1,1,1,"Infield shift","Standard",163,"0","0.032"
"CU","2022-10-03","79.2","-1.86","6.67","McKenzie, Triston",664728,663474,"single","hit_into_play",,,,,4,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","X",5,"ground_ball",3,2,2022,"0.7","-0.97","-0.51","2.64",,,,2,5,"Top",108.32,161.31,,,595978,,,1.646529493027431,-115.41298551259203,-0.2458690799607921,5.938605611315646,21.140078148591716,-41.01559099903904,"3.41","1.65",3,"89.1",-40,"79.8",2370,"6.6",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.92",0.066,0.059,"0.9",1,1,0,2,35,8,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",22,"-0.017","0.1"
"CU","2022-10-03","79.7","-2.08","6.56","McKenzie, Triston",664728,663474,,"ball",,,,,11,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","B",,,2,2,2022,"1.12","-0.43","-0.22","4.12",,,,2,5,"Top",,,,,595978,,,1.983287879438386,-116.07899035462302,2.16215834410842,9.825182225822847,20.423869408659808,-36.6750263604764,"3.45","1.65",,,,"80.2",2379,"6.4",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"54.06",,,,,,,,35,7,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",38,"0","0.033"
"CU","2022-10-03","80.7","-1.84","6.58","McKenzie, Triston",664728,663474,,"ball",,,,,14,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","B",,,1,2,2022,"0.5","-0.9","0.48","1.13",,,,2,5,"Top",,,,,595978,,,4.270433231537782,-117.56061637933028,-3.8056586891433755,3.8414317085621352,21.986339372875534,-40.004755511660434,"3.45","1.65",,,,"81.6",2329,"6.8",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.7",,,,,,,,35,6,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",26,"0","0.014"
"FF","2022-10-03","94.2","-1.74","6.66","McKenzie, Triston",664728,663474,,"foul",,,,,1,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","S",,,1,2,2022,"0.03","2.05","-0.63","3.18",,,,2,5,"Top",,,,,595978,,,2.827035916666043,-137.02710785479573,-7.924359013524277,-0.2854404589078268,29.26169871664897,-4.808159093892816,"3.41","1.65",198,"75.1",56,"94.8",2385,"6.6",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.91",,,,,,,,35,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",188,"0","0"
"FF","2022-10-03","94.5","-1.9","6.54","McKenzie, Triston",664728,663474,,"foul",,,,,1,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","S",,,1,2,2022,"-0.28","1.86","-0.62","3.29",,,,2,5,"Top",,,,,595978,,,4.023199298434857,-137.44477022020942,-6.955903486544311,-4.50760706832971,31.765773834079717,-7.269140080536422,"3.41","1.65",215,"73.8",25,"95.3",2339,"6.9",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.64",,,,,,,,35,4,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",192,"0","0"
"CU","2022-10-03","79.5","-1.95","6.63","McKenzie, Triston",664728,663474,,"ball",,,,,11,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","B",,,0,2,2022,"0.85","-0.78","-0.95","3.63",,,,2,5,"Top",,,,,595978,,,0.6002498676312724,-115.78929658332088,1.6693167750774158,7.473093437527652,22.389883690976504,-39.698219938016024,"3.55","1.7",,,,"79.7",2248,"6.5",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"54.01",,,,,,,,35,3,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",32,"0","0.011"
"SL","2022-10-03","86.8","-2.01","6.57","McKenzie, Triston",664728,663474,,"swinging_strike",,,,,11,"Kyle Isbel singles on a ground ball to third baseman Jose Ramirez.","R","L","R","CLE","KC","S",,,0,1,2022,"0.85","0.64","-0.49","3.57",,,,2,5,"Top",,,,,595978,,,1.8979611128865683,-126.44428004292811,-2.3218138202412284,8.71186347208124,26.321948107265328,-25.040706730994337,"3.41","1.65",,,,"87.2",2252,"6.5",663105,663474,595978,680911,665926,608070,672356,680757,664702,686823,"53.98",,,,,,,,35,2,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",173,"0","-0.023"
