"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FS","2022-10-04","83.8","-1.49","5.78","Wilson, Bryse",680977,669060,"single","hit_into_play",,,,,13,"Brendan Donovan singles on a ground ball to center fielder Ji Hwan Bae.   Andrew Knizner scores.    Paul DeJong to 3rd.    Brendan Donovan to 2nd.  Throwing error by center fielder Ji Hwan Bae.","R","L","R","PIT","STL","X",8,"ground_ball",0,0,2022,"-0.83","0.19","-0.3","1.39",,668800,657557,0,7,"Top",128.88,88.23,,,623168,,,4.379433657675813,-121.95246880567515,-4.15264962347396,-9.09836035834969,22.957621337614484,-29.65612544477884,"3.38","1.61",9,"95.6",-8,"84",1385,"6.3",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.16",0.234,0.224,"0.9",1,1,0,2,60,1,"Split-Finger",7,3,3,7,4,7,4,7,"Standard","Standard",237,"-0.132","0.995"
"SI","2022-10-04","89.9","-1.5","5.72","Wilson, Bryse",657557,669060,"walk","ball",,,,,13,"Paul DeJong walks.","R","R","R","PIT","STL","B",,,3,1,2022,"-1.4","0.81","-1.6","2.44",,668800,,0,7,"Top",,,,,623168,,,2.7182510665626762,-130.94193914921354,-3.8711364337634073,-16.655834715532148,28.265086406030456,-22.22906314374836,"3.4","1.58",,,,"89.8",1910,"6.2",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.25",,,"0.7",1,0,0,,59,5,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",226,"-0.038","0.214"
"SI","2022-10-04","89.9","-1.46","5.75","Wilson, Bryse",657557,669060,,"called_strike",,,,,4,"Paul DeJong walks.","R","R","R","PIT","STL","S",,,3,0,2022,"-1.54","0.8","-0.76","2.33",,668800,,0,7,"Top",,,,,623168,,,5.015603700676258,-130.85122107548978,-4.192627647253383,-18.774341317613313,28.862391341246763,-22.262582862357412,"3.37","1.51",,,,"89.9",1984,"6.4",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.1",,,,,,,,59,4,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",219,"0","-0.087"
"SI","2022-10-04","90.7","-1.46","5.71","Wilson, Bryse",657557,669060,,"ball",,,,,13,"Paul DeJong walks.","R","R","R","PIT","STL","B",,,2,0,2022,"-1.46","1","-1.35","1.57",,668800,,0,7,"Top",,,,,623168,,,3.389033260025401,-131.84399805339578,-6.5035402420303035,-17.7670703587467,29.6923945822132,-19.36785856102928,"3.4","1.56",,,,"90.3",2062,"6.2",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.26",,,,,,,,59,3,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",222,"0","0.136"
"SI","2022-10-04","89.8","-1.54","5.7","Wilson, Bryse",657557,669060,,"ball",,,,,13,"Paul DeJong walks.","R","R","R","PIT","STL","B",,,1,0,2022,"-1.39","0.79","-1.39","1.33",,668800,,0,7,"Top",,,,,623168,,,3.3213807131773723,-130.6436263116615,-6.514777218504275,-16.56050096316054,28.077003123301832,-21.941431019514695,"3.42","1.58",,,,"89.7",1921,"6.3",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.2",,,,,,,,59,2,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",225,"0","0.083"
"CU","2022-10-04","75.4","-1.41","5.65","Wilson, Bryse",657557,669060,,"ball",,,,,14,"Paul DeJong walks.","R","R","R","PIT","STL","B",,,0,0,2022,"1.63","-0.4","0.87","1.76",,668800,,0,7,"Top",,,,,623168,,,1.8514167504904158,-109.75903529232932,-0.17999487017722116,12.675447643599457,21.583999898913792,-35.56410869746753,"3.4","1.48",,,,"75",2297,"6.2",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.28",,,,,,,,59,1,"Curveball",7,3,3,7,3,7,3,7,"Standard","Standard",52,"0","0.055"
"FF","2022-10-04","90.8","-1.26","5.95","Wilson, Bryse",668800,669060,"double","hit_into_play",,,,,7,"Andrew Knizner doubles (10) on a sharp line drive to left fielder Bryan Reynolds.","R","R","R","PIT","STL","X",7,"line_drive",0,0,2022,"-0.87","1.11","-0.75","1.9",,,,0,7,"Top",54.7,111.11,,,623168,,,3.1294650115083398,-132.03888344112258,-6.5397956120270955,-10.79219136177524,31.06379874655503,-17.997534772913742,"3.22","1.52",185,"106.8",10,"90.3",1962,"6.3",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.22",0.837,0.84,"1.25",1,1,1,4,58,1,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Standard",225,"-0.036","0.633"
"FS","2022-10-04","83.2","-1.45","5.87","Wilson, Bryse",666185,669060,"strikeout","swinging_strike",,,,,13,"Dylan Carlson strikes out swinging.","R","L","R","PIT","STL","S",2,,1,2,2022,"-0.97","-0.01","-1.12","1.02",,,,2,6,"Top",,,,,623168,,,2.6712982055685575,-121.15224814578512,-4.651120180068668,-10.045721551955136,23.776199869753277,-31.534550454744704,"3.31","1.59",,,,"83.2",1106,"6.3",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.21",,,"0",1,0,0,,53,4,"Split-Finger",7,3,3,7,3,7,3,7,"Infield shift","Standard",240,"0.005","-0.07"
"CU","2022-10-04","76.8","-1.57","5.73","Wilson, Bryse",666185,669060,,"foul",,,,,8,"Dylan Carlson strikes out swinging.","R","L","R","PIT","STL","S",,,1,1,2022,"1.64","-0.58","0.16","1.57",,,,2,6,"Top",,,,,623168,,,0.688345826924155,-111.79797486096523,-0.736431736022758,13.530383810218805,21.39303101395152,-37.0982977901817,"3.31","1.59",119,"81.1",10,"76.5",2318,"6.2",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.29",,,,,,,,53,3,"Curveball",7,3,3,7,3,7,3,7,"Infield shade","Standard",49,"0","-0.023"
"FF","2022-10-04","91.1","-1.4","5.96","Wilson, Bryse",666185,669060,,"ball",,,,,11,"Dylan Carlson strikes out swinging.","R","L","R","PIT","STL","B",,,0,1,2022,"-0.72","1.2","-1.33","2.89",,,,2,6,"Top",,,,,623168,,,1.7375262212740463,-132.63130350983627,-4.398432590201546,-8.933914773673012,27.830608064508187,-17.234245417245315,"3.42","1.53",,,,"90.8",1990,"6.1",662319,669060,623168,592325,666801,663647,665833,668804,678225,669261,"54.44",,,,,,,,53,2,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Infield shade","Standard",218,"0","0.011"
