"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-09-30","86.2","-0.54","6.26","Gilbert, Logan",669397,669302,"field_out","hit_into_play",,,,,7,"Nick Allen grounds out, shortstop J.  P. Crawford to first baseman Ty France.","R","R","R","SEA","OAK","X",6,"ground_ball",2,1,2022,"0.53","-0.08","-0.56","1.53",,,,2,8,"Top",111.97,149.05,,,620443,,,-1.1504665119637474,-125.66494960460814,-5.027459847140115,5.835703380475503,21.656272767770755,-32.31520379959453,"2.99","1.4",9,"91.7",-9,"88.5",2273,"7.3",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.22",0.206,0.213,"0",1,0,0,2,54,4,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",97,"0.025","-0.114"
"FF","2022-09-30","97.2","-0.7","6.03","Gilbert, Logan",669397,669302,,"foul",,,,,13,"Nick Allen grounds out, shortstop J.  P. Crawford to first baseman Ty France.","R","R","R","SEA","OAK","S",,,2,0,2022,"-0.75","1.38","-1.15","2.13",,,,2,8,"Top",,,,,620443,,,0.5232778448954076,-141.4177876832808,-8.284424447331213,-10.19540021324335,33.305834520360705,-11.910765926552351,"2.99","1.4",1,"30.7",-59,"99.5",2197,"7.7",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"52.83",,,,,,,,54,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",207,"0","-0.023"
"SL","2022-09-30","84.2","-0.63","6.35","Gilbert, Logan",669397,669302,,"ball",,,,,12,"Nick Allen grounds out, shortstop J.  P. Crawford to first baseman Ty France.","R","R","R","SEA","OAK","B",,,1,0,2022,"0.58","-0.08","1.04","2.29",,,,2,8,"Top",,,,,620443,,,2.769097623826722,-122.6369006775271,-2.989098415018414,5.363204903348156,22.664417228366062,-32.583458649090424,"3.08","1.39",,,,"86",2268,"7.2",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.26",,,,,,,,54,2,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",97,"0","0.023"
"SL","2022-09-30","85","-0.68","6.32","Gilbert, Logan",669397,669302,,"ball",,,,,9,"Nick Allen grounds out, shortstop J.  P. Crawford to first baseman Ty France.","R","R","R","SEA","OAK","B",,,0,0,2022,"0.45","-0.23","0.48","1.51",,,,2,8,"Top",,,,,620443,,,1.8596645778972787,-123.74759407144649,-4.587224241786418,4.233632949560201,23.688955305000768,-33.845911154825075,"3.03","1.41",,,,"86.8",2167,"7.3",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.16",,,,,,,,54,1,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",105,"0","0.015"
"SL","2022-09-30","86.6","-0.66","6.2","Gilbert, Logan",681146,669302,"field_out","hit_into_play",,,,,3,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","X",8,"fly_ball",2,2,2022,"0.48","-0.17","0.71","2.68",,,,1,8,"Top",156.46,53.46,,,620443,,,2.3247856965304345,-126.25395961535405,-1.9515075717447696,4.724684012705473,23.28841103687903,-33.864281138537,"3.19","1.52",367,"97.2",32,"88.6",2383,"7.2",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.28",0.223,0.413,"0",1,0,0,5,53,6,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",86,"0.034","-0.134"
"FF","2022-09-30","98.4","-0.77","6.02","Gilbert, Logan",681146,669302,,"foul",,,,,12,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","S",,,2,2,2022,"-0.3","1.59","0.99","3.72",,,,1,8,"Top",,,,,620443,,,5.586027699853307,-143.21782703394788,-4.6037204463184365,-5.304082497038549,30.92987121560626,-9.317877285150688,"3.19","1.52",279,"89",49,"100.8",2085,"7.4",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.06",,,,,,,,53,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",205,"0","0"
"SL","2022-09-30","87.4","-0.71","6.37","Gilbert, Logan",681146,669302,,"called_strike",,,,,1,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","S",,,2,1,2022,"0.58","0.15","-0.49","3.07",,,,1,8,"Top",,,,,620443,,,-0.693363389588268,-127.49640555929469,-2.2419858516704845,6.497464891220576,22.54669320366593,-30.34307488663786,"3.06","1.5",,,,"89.5",2347,"7.2",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.33",,,,,,,,53,4,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",106,"0","-0.046"
"SI","2022-09-30","96.8","-1.31","5.79","Gilbert, Logan",681146,669302,,"ball",,,,,7,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","B",,,1,1,2022,"-1.17","1.07","-0.61","1.65",,,,1,8,"Top",,,,,620443,,,4.675783726157234,-140.721848690054,-8.120428441568128,-16.65169191354277,31.797423950686643,-16.27849361889175,"3.21","1.5",,,,"98.9",2024,"7.5",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.01",,,,,,,,53,3,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",225,"0","0.033"
"SL","2022-09-30","86.9","-0.68","6.27","Gilbert, Logan",681146,669302,,"ball",,,,,14,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","B",,,0,1,2022,"0.43","0.06","0.35","1.11",,,,1,8,"Top",,,,,620443,,,1.627121815033964,-126.58260035880832,-6.473946383261612,4.283069228010279,24.110189300791017,-30.44006590015381,"3.14","1.52",,,,"88.6",2261,"7.1",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"53.35",,,,,,,,53,2,"Slider",1,1,1,1,1,1,1,1,"Standard","Standard",84,"0","0.016"
"FF","2022-09-30","97.7","-0.82","5.98","Gilbert, Logan",681146,669302,,"called_strike",,,,,3,"Jonah Bride flies out to center fielder Jarred Kelenic.","R","R","R","SEA","OAK","S",,,0,0,2022,"-0.53","1.47","0.52","2.68",,,,1,8,"Top",,,,,620443,,,4.933841782898169,-142.02532845367594,-6.922049096970403,-8.321027488868818,33.01897391530178,-10.893017584254391,"3.19","1.55",,,,"100",2108,"7.6",661111,669302,620443,664034,664238,553993,641487,664059,672284,571745,"52.87",,,,,,,,53,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",209,"0","-0.024"
