"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-02","86.8","-1.55","6.21","Bradish, Kyle",665828,680694,"walk","ball",,,,,11,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","B",,,3,2,2022,"0.13","0.85","-0.97","3.7",,,,0,6,"Bot",,,,,668939,,,1.124784344933045,-126.38279827712506,-1.5210241559784476,1.1058354134285577,28.268928192479432,-22.971424322307904,"3.17","1.5",,,,"86.4",2363,"6.2",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.28",,,"0.7",1,0,0,,50,7,"Slider",1,1,1,1,1,1,1,1,"Infield shift","Standard",113,"0.051","0.321"
"CH","2022-10-02","86.7","-1.3","6.19","Bradish, Kyle",665828,680694,,"foul",,,,,13,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","S",,,3,2,2022,"-1.29","0.58","-0.86","2.26",,,,0,6,"Bot",,,,,668939,,,3.7141193288006273,-126.30336224853163,-4.457946739644541,-14.573879566143011,23.721613426452613,-25.251361373278137,"3.2","1.55",312,"88.3",38,"87.4",1295,"6.5",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.04",,,,,,,,50,6,"Changeup",1,1,1,1,1,1,1,1,"Infield shift","Standard",233,"0","0"
"FF","2022-10-02","91.7","-1.36","6.34","Bradish, Kyle",665828,680694,,"ball",,,,,11,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","B",,,2,2,2022,"0.31","1.03","-0.53","5.79",,,,0,6,"Bot",,,,,668939,,,1.4222300289745353,-133.57897181212456,2.2508388212362935,3.4098123233599233,29.238570163833227,-20.526990140792496,"3.15","1.5",,,,"91.7",2237,"6.3",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.23",,,,,,,,50,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",184,"0","0.103"
"CH","2022-10-02","87.6","-1.43","6.25","Bradish, Kyle",665828,680694,,"called_strike",,,,,11,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","S",,,2,1,2022,"-0.99","0.79","-0.06","3.4",,,,0,6,"Bot",,,,,668939,,,5.346459546036276,-127.5860009939038,-2.426849899204286,-11.852774264008792,24.97061544933975,-23.249087286946423,"3.27","1.52",,,,"87.8",1358,"6.3",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.22",,,,,,,,50,4,"Changeup",1,1,1,1,1,1,1,1,"Infield shift","Standard",228,"0","-0.066"
"FF","2022-10-02","90.9","-1.36","6.1","Bradish, Kyle",665828,680694,,"foul",,,,,12,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","S",,,2,0,2022,"0.32","1.25","1.19","2.55",,,,0,6,"Bot",,,,,668939,,,5.761120055676904,-132.10594261530147,-5.63875351708205,2.338737948567925,30.488301024170116,-16.493459404676138,"3.2","1.55",120,"93",71,"91.2",2215,"6.8",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"53.74",,,,,,,,50,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard",196,"0","-0.056"
"CU","2022-10-02","81.3","-1.52","6.25","Bradish, Kyle",665828,680694,,"ball",,,,,11,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","B",,,1,0,2022,"0.6","-0.72","-0.92","3.5",,,,0,6,"Bot",,,,,668939,,,0.17715541513211855,-118.33074382645552,1.8965723027394397,5.571045544140701,25.082030964694745,-39.488660919612066,"3.17","1.5",,,,"80.8",2295,"6.2",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.33",,,,,,,,50,2,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",38,"0","0.063"
"CU","2022-10-02","83.3","-1.31","6.26","Bradish, Kyle",665828,680694,,"ball",,,,,14,"Oswaldo Cabrera walks.","R","L","R","NYY","BAL","B",,,0,0,2022,"0.41","-1.12","0.72","0.55",,,,0,6,"Bot",,,,,668939,,,3.8577233994485844,-121.03729757438748,-4.320249233540949,3.076454288277746,28.739820897852177,-42.21128242528813,"3.15","1.52",,,,"82.7",2486,"6.4",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"54.05",,,,,,,,50,1,"Curveball",1,1,1,1,1,1,1,1,"Infield shift","Standard",17,"0","0.033"
"FF","2022-10-02","93.8","-1.06","6.15","Bradish, Kyle",518626,680694,"field_out","hit_into_play",,,,,8,"Josh Donaldson grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.","R","R","R","NYY","BAL","X",5,"ground_ball",1,1,2022,"0.01","1.38","0.14","1.86",592450,,,2,5,"Bot",100.06,174.25,,,668939,,,3.076980974642957,-136.40287059306849,-8.446303560708907,-0.5168706148575188,30.304957562224526,-13.270151221633474,"3.25","1.59",2,"68.8",-45,"94.4",2306,"6.7",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"53.8",0.166,0.154,"0",1,0,0,2,43,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",182,"-0.053","-0.346"
"CU","2022-10-02","85.2","-1.02","6.34","Bradish, Kyle",518626,680694,,"blocked_ball",,,,,14,"Josh Donaldson grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.","R","R","R","NYY","BAL","B",,,0,1,2022,"0.3","-1.13","1.76","0.23",592450,,,2,5,"Bot",,,,,668939,,,5.9386771107655365,-123.88857121578694,-5.703243886767056,1.7248998266058149,27.828402803970686,-42.63542302602799,"3.13","1.47",,,,"85.2",2585,"6.6",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"53.86",,,,,,,,43,2,"Curveball",1,1,1,1,1,1,1,1,"Standard","Standard",19,"0","0.031"
"SI","2022-10-02","95.6","-1.02","6.22","Bradish, Kyle",518626,680694,,"called_strike",,,,,5,"Josh Donaldson grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.","R","R","R","NYY","BAL","S",,,0,0,2022,"-0.87","1.63","-0.02","2.35",592450,,,2,5,"Bot",,,,,668939,,,4.651539129882675,-138.93878436469967,-8.275259260373291,-12.276289669712963,34.726135645075274,-9.395273602155067,"3.32","1.54",,,,"96.2",2225,"6.9",661215,680694,668939,663624,679631,683002,622761,669720,656775,623993,"53.56",,,,,,,,43,1,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",193,"0","-0.05"
