"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-13","84.4","-2.07","5.76","Strider, Spencer",679032,675911,"strikeout","swinging_strike",,,,,14,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","S",2,,2,2,2023,"0.54","0.19","0.56","1.07",,,592206,2,7,"Bot",,,,,669221,,,5.108369604063108,-122.79609358755563,-4.9994584660392585,4.4856363267723856,23.428049919091684,-29.47584917233798,"3.28","1.61",,,,"85.8",2331,"7.1",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.41",,,"0",1,0,0,,57,6,"Slider",1,4,1,4,4,1,1,4,"Standard","Standard",122,"-0.024","-0.203"
"FF","2023-09-13","98.8","-1.93","5.91","Strider, Spencer",679032,675911,,"foul",,,,,3,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","S",,,2,2,2023,"-0.54","1.53","0.6","3.06",,,592206,2,7,"Bot",,,,,669221,,,8.247961971450229,-143.5831263704615,-5.945902155919668,-9.385198742245342,32.703721498396725,-9.783195236087655,"3.28","1.61",234,"84.1",53,"99.8",2455,"6.9",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.6",,,,,,,,57,5,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",199,"0","0"
"FF","2023-09-13","97.2","-2.07","5.84","Strider, Spencer",679032,675911,,"foul",,,,,5,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","S",,,2,1,2023,"-0.73","1.45","0.21","2.71",,,592206,2,7,"Bot",,,,,669221,,,7.843169193400669,-141.2576839507211,-6.264167354812223,-11.471262857493564,30.5079088892854,-11.517820228901877,"3.28","1.61",274,"83.1",39,"98.4",2357,"6.9",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.57",,,,,,,,57,4,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",207,"0","-0.053"
"FF","2023-09-13","96.7","-2.05","5.86","Strider, Spencer",679032,675911,,"foul",,,,,2,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","S",,,2,0,2023,"-0.58","1.74","0.14","2.94",,,592206,2,7,"Bot",,,,,669221,,,7.226307624391663,-140.59601792334982,-6.232478950571603,-9.306743200233257,32.21013024319298,-7.893270993176071,"3.28","1.61",,,,"97.7",2353,"6.9",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.56",,,,,,,,57,3,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",207,"0","-0.043"
"FF","2023-09-13","96.2","-1.95","5.79","Strider, Spencer",679032,675911,,"ball",,,,,14,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","B",,,1,0,2023,"-0.51","1.79","1.41","1.37",,,592206,2,7,"Bot",,,,,669221,,,10.172956409961996,-139.4557468340487,-10.263764617745945,-8.88784410675777,30.675754241947367,-6.632655152380292,"3.28","1.59",,,,"97.2",2376,"7",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.51",,,,,,,,57,2,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",207,"0","0.032"
"FF","2023-09-13","97.3","-1.84","5.85","Strider, Spencer",679032,675911,,"ball",,,,,12,"Johan Rojas strikes out swinging.","R","R","R","PHI","ATL","B",,,0,0,2023,"-0.44","1.76","1.74","2.55",,,592206,2,7,"Bot",,,,,669221,,,10.710111988516326,-141.22151181890538,-7.427084060384871,-8.242574404440193,30.985814179948804,-7.013866127503407,"3.31","1.61",,,,"98.3",2417,"6.9",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.57",,,,,,,,57,1,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",200,"0","0.026"
"FF","2023-09-13","96.2","-2.09","5.79","Strider, Spencer",596117,675911,"field_out","hit_into_play",,,,,2,"Garrett Stubbs pops out to second baseman Ozzie Albies.","R","L","R","PHI","ATL","X",4,"popup",0,0,2023,"-0.66","1.59","-0.26","2.73",,,592206,1,7,"Bot",165.62,141.52,,,669221,,,6.407310268018694,-139.82831473607766,-6.166032805938892,-10.084323987717879,32.677455521161946,-10.11906898639846,"2.89","1.33",159,"90.3",63,"97.3",2461,"7",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.46",0.009,0.01,"0",1,0,0,3,56,1,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",203,"-0.033","-0.307"
"FF","2023-09-13","97.5","-2.12","5.88","Strider, Spencer",592206,675911,"single","hit_into_play",,,,,2,"Nick Castellanos singles on a line drive to right fielder Ronald Acuna Jr.","R","R","R","PHI","ATL","X",9,"line_drive",0,0,2023,"-0.92","1.38","-0.09","3.09",,,,1,7,"Bot",190.73,103.25,,,669221,,,7.6403165826570065,-141.6214133206862,-5.15105865431971,-14.13243214869967,34.452337175625885,-12.650666582087885,"3.69","1.77",245,"93.5",16,"98.3",2435,"7",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.52",0.826,0.784,"0.9",1,1,0,4,55,1,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",208,"0.031","0.266"
"SL","2023-09-13","83.6","-2.16","5.74","Strider, Spencer",669016,675911,"strikeout","swinging_strike",,,,,14,"Brandon Marsh strikes out swinging.","R","L","R","PHI","ATL","S",2,,2,2,2023,"0.58","0.02","0.1","1.13",,,,0,7,"Bot",,,,,669221,,,4.108847792076296,-121.73264386878765,-4.314375221237471,5.009891672190698,22.933338955823203,-31.399873889597565,"3.14","1.51",,,,"84.7",2397,"6.9",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.6",,,"0",1,0,0,,54,5,"Slider",1,4,1,4,4,1,1,4,,"Standard",88,"-0.027","-0.213"
"SL","2023-09-13","84.6","-2.2","5.8","Strider, Spencer",669016,675911,,"ball",,,,,14,"Brandon Marsh strikes out swinging.","R","L","R","PHI","ATL","B",,,1,2,2023,"0.54","-0.08","1.52","0.57",,,,0,7,"Bot",,,,,669221,,,7.707282174940248,-122.93911881961186,-5.720811419223642,3.8711741107559137,24.85365101567622,-31.98861551855782,"3.14","1.51",,,,"85.5",2360,"7",716603,675911,669221,621566,645277,663586,606115,607680,671739,660670,"53.54",,,,,,,,54,4,"Slider",1,4,1,4,4,1,1,4,,"Standard",119,"0","0.04"
