last_name, first_name,player_id,year,on_base_percent,on_base_plus_slg,xba,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Wainwright, Adam,425794,2022,.315,0.697,.270,.306,.328,87.8,11,6.5,
Greinke, Zack,425844,2022,.320,0.737,.284,.321,.336,88.9,12.6,6.8,
Verlander, Justin,434378,2022,.227,0.497,.207,.222,.255,87.8,16.9,6.3,
Kluber, Corey,446372,2022,.304,0.729,.261,.316,.310,87.1,18.5,6.9,
Hill, Rich,448179,2022,.316,0.748,.240,.325,.313,88.2,14.9,8.2,
Morton, Charlie,450203,2022,.316,0.727,.228,.320,.314,89.3,13.6,9.5,
Scherzer, Max,453286,2022,.254,0.573,.202,.254,.265,87.8,21.3,8.4,
Cueto, Johnny,456501,2022,.308,0.717,.263,.310,.311,87.7,13.3,7.3,
Lynn, Lance,458681,2022,.289,0.696,.243,.304,.296,88.4,14.2,6.7,
Carrasco, Carlos,471911,2022,.326,0.751,.253,.327,.313,88.4,9.7,7,
Quintana, Jose,500779,2022,.301,0.644,.257,.286,.305,86.5,9.9,5.5,
Gibson, Kyle,502043,2022,.325,0.759,.262,.331,.326,88.6,10.6,7.5,
Cobb, Alex,502171,2022,.315,0.665,.235,.296,.277,89.2,1.8,3.7,
Darvish, Yu,506433,2022,.256,0.587,.227,.259,.291,88.5,17,8.8,
Bumgarner, Madison,518516,2022,.340,0.827,.276,.357,.358,90.3,16.8,9.8,
Kelly, Merrill,518876,2022,.286,0.657,.230,.289,.296,88.5,14,8.3,
Perez, Martin,527048,2022,.310,0.646,.242,.289,.295,88.2,8.1,4.3,
Anderson, Tyler,542881,2022,.267,0.617,.225,.271,.275,85,16.9,4.9,
Cole, Gerrit,543037,2022,.260,0.650,.214,.283,.284,89.4,12.6,9.5,
Lyles, Jordan,543475,2022,.331,0.785,.267,.341,.341,88.6,15.3,10.4,
Stripling, Ross,548389,2022,.259,0.613,.251,.268,.293,88.9,12.2,9.2,
Wheeler, Zack,554430,2022,.273,0.625,.226,.275,.275,85.9,11.4,7.7,
