"","term","estimate","std.error","statistic","p.value","Response","pitch","type"
"1","(Intercept)",-8.80878344136232,0.890078711516276,-9.89663422727669,0.0000000000000000000000430520574259282,"whiff","slider","complex"
"2","pitch_speed",0.0232664621700077,0.00959715853003416,2.42430737151998,0.0153376177535349,"whiff","slider","complex"
"3","pfx_x",0.311313247783321,0.132209766143943,2.35469176644924,0.018538075686194,"whiff","slider","complex"
"4","pfx_z",0.459481590535442,0.0874941791181517,5.25156753473806,0.000000150810217714937,"whiff","slider","complex"
"5","plate_x",-0.23247981356279,0.059987508288478,-3.87547041368683,0.000106418910250781,"whiff","slider","complex"
"6","plate_z",0.958883906736596,0.151726252814286,6.31982856592573,0.000000000261853631735125,"whiff","slider","complex"
"7","zone1",0.378810506050016,0.231706801432378,1.63487003276669,0.102076295748852,"whiff","slider","complex"
"8","zone2",0.957253515330128,0.17340920018755,5.5202002794247,0.0000000338613497596997,"whiff","slider","complex"
"9","zone3",0.75641325800122,0.193059271236014,3.91803643077316,0.0000892732163358078,"whiff","slider","complex"
"10","zone4",-1.0281886027814,0.256557212938366,-4.00763865106536,0.0000613288580263646,"whiff","slider","complex"
"11","zone6",0.431210576186176,0.133431438553219,3.23170147052105,0.00123055541843811,"whiff","slider","complex"
"12","zone7",-0.317869480170903,0.221862653652874,-1.43273090327424,0.151934754393804,"whiff","slider","complex"
"13","zone8",0.539945105881112,0.13473803484813,4.00736960791887,0.0000613987388352409,"whiff","slider","complex"
"14","zone9",1.05378144810739,0.126863749518003,8.30640314598181,0.0000000000000000986466777783453,"whiff","slider","complex"
"15","zone11",0.540344727352123,0.228233225306589,2.36751124480789,0.0179081758272545,"whiff","slider","complex"
"16","zone12",0.694251480184554,0.180753095768097,3.84088293057655,0.000122592572950534,"whiff","slider","complex"
"17","zone13",0.407016501972663,0.176207328828531,2.30987272026997,0.0208952017646796,"whiff","slider","complex"
"18","zone14",1.38196829096382,0.137056752036974,10.0831828452421,0.00000000000000000000000655670998214842,"whiff","slider","complex"
