"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-14.7053995212864,0.824686444525263,-17.8315038629642,0.0000000000000000000000000000000000000000000000000000000000000000000000402448840176616,"whiff","R","FF"
"pitch_speed",0.097665950992003,0.00890924459743295,10.9623155952126,0.000000000000000000000000000579961264399141,"whiff","R","FF"
"pfx_z",1.22555672780731,0.177779043644581,6.89370750726651,0.00000000000543567319647926,"whiff","R","FF"
"pfx_total",-1.1968641710165,0.179384956629387,-6.67204314957828,0.0000000000252266367067865,"whiff","R","FF"
"zone1",-0.180534567459108,0.145257357047078,-1.2428600597531,0.213919405866194,"whiff","R","FF"
"zone2",-0.224648427401889,0.117870962160051,-1.90588439497804,0.0566652061044143,"whiff","R","FF"
"zone3",-0.0842350847269686,0.138941942908055,-0.606261025029075,0.544341435251456,"whiff","R","FF"
"zone4",-0.533464377628931,0.13813763639643,-3.86183223881133,0.000112539836650481,"whiff","R","FF"
"zone6",0.0662589794598971,0.11445511302515,0.57890799029081,0.562651258452354,"whiff","R","FF"
"zone7",-0.511105026358106,0.270307703161272,-1.89082671481681,0.0586474797852237,"whiff","R","FF"
"zone8",0.045337738744606,0.169522297458145,0.267444102778279,0.789127246542547,"whiff","R","FF"
"zone9",-0.00830357699777258,0.189595109056157,-0.043796367106248,0.965066722936723,"whiff","R","FF"
"zone11",0.189250163063424,0.16512168292564,1.14612544948836,0.251743248781277,"whiff","R","FF"
"zone12",-0.0973967538934256,0.16299502416523,-0.597544338498908,0.55014401376421,"whiff","R","FF"
"zone13",0.174760288695495,0.276390593726901,0.632294631807093,0.527194370709058,"whiff","R","FF"
"zone14",0.271348627115158,0.200238210092095,1.3551291084272,0.17537642606385,"whiff","R","FF"
"dist_z",1.12300814247884,0.095100537584757,11.8086413704862,0.0000000000000000000000000000000352206489456014,"whiff","R","FF"
"dist_prop",0.835378947358353,0.258420397888431,3.23263548150334,0.00122653960206074,"whiff","R","FF"
"I(dist_x^2)",-0.837051103814681,0.0968144628019116,-8.64593036607909,0.0000000000000000053368654439699,"whiff","R","FF"
"I(dist_z^2)",-0.904777994130783,0.0982870364052518,-9.20546622649452,0.0000000000000000000340191165133734,"whiff","R","FF"
"release_spin_rate",0.000683748235861114,0.000135054917682505,5.06274223548459,0.000000413268453399884,"whiff","R","FF"
"pred",17.7277512836684,0.754132616527322,23.5074718890986,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342072614766965,"whiff","R","FF"
"(Intercept)",4.1912237627553,1.68061670325106,2.49386058977494,0.0126362163287776,"Barrel","R","FF"
"pitch_speed",-0.084656342586603,0.0181945051133136,-4.65285216934297,0.00000327374955683577,"Barrel","R","FF"
"zone1",-0.0634850999595507,0.240535549657632,-0.263932296285987,0.791832088907933,"Barrel","R","FF"
"zone2",-0.124511072788055,0.181693414428427,-0.685281154409162,0.493166521542549,"Barrel","R","FF"
"zone3",-0.270437484684789,0.231767159117974,-1.16684989242644,0.243270994335019,"Barrel","R","FF"
"zone4",0.441829272119709,0.160020664462087,2.7610763497635,0.00576112065682008,"Barrel","R","FF"
"zone6",0.00678497978996717,0.153649756449108,0.0441587409363352,0.964777869913657,"Barrel","R","FF"
"zone7",0.719837597897357,0.297232588738972,2.4217990394368,0.0154438884743918,"Barrel","R","FF"
"zone8",-0.204322131750439,0.266164701794388,-0.767652999713979,0.442693366112704,"Barrel","R","FF"
"zone9",-0.573487765048859,0.336672775782224,-1.70339809542491,0.0884935938952856,"Barrel","R","FF"
"zone11",0.00616977337332155,0.378340835265117,0.016307447672145,0.986989115949096,"Barrel","R","FF"
"zone12",0.240412995250995,0.337710297539818,0.711891218604753,0.476532140354016,"Barrel","R","FF"
"zone13",0.403238119410118,0.54919228314765,0.734238502221831,0.462803391410794,"Barrel","R","FF"
"zone14",-13.5699924633543,160.801612709475,-0.0843896540258683,0.932746632835261,"Barrel","R","FF"
"dist_z",0.337862811621094,0.205238986959865,1.64619216176099,0.0997242025151351,"Barrel","R","FF"
"I(dist_x^2)",-1.02401852999833,0.135209807330712,-7.57355217209694,0.0000000000000363154767894009,"Barrel","R","FF"
"I(dist_z^2)",-1.03899219657125,0.164294542878255,-6.32396048200558,0.000000000254942950232088,"Barrel","R","FF"
"release_spin_rate",-0.000495628098165727,0.000270665537612181,-1.83114593212779,0.0670787642964392,"Barrel","R","FF"
"pred",96.2176810868326,6.16542213890414,15.60601673642,0.0000000000000000000000000000000000000000000000000000006624589397679,"Barrel","R","FF"
"(Intercept)",-5.16747753150524,0.275443619848589,-18.7605635387227,0.00000000000000000000000000000000000000000000000000000000000000000000000000000158707934227914,"STRIKE","R","FF"
"pfx_z",0.31186403744116,0.0577795290270922,5.39748320369539,0.0000000675821982487898,"STRIKE","R","FF"
"zone1",-0.72120168817902,0.106881257313716,-6.74769090769735,0.0000000000150216522362574,"STRIKE","R","FF"
"zone2",-0.692000313573632,0.0815558819233987,-8.48498351380214,0.0000000000000000215749318053167,"STRIKE","R","FF"
"zone3",-0.517692069589423,0.0968715131294523,-5.3441104909512,0.0000000908621337753828,"STRIKE","R","FF"
"zone4",-0.655001202490303,0.0920608383139123,-7.11487332167079,0.00000000000112015671934676,"STRIKE","R","FF"
"zone6",-0.109661727208244,0.079497436611992,-1.37943727347432,0.167759973681612,"STRIKE","R","FF"
"zone7",0.343977491432576,0.121371011047081,2.83409925043092,0.00459550568314681,"STRIKE","R","FF"
"zone8",0.2198784506299,0.0898668434441644,2.44671385132731,0.0144165244741841,"STRIKE","R","FF"
"zone9",0.558144258375118,0.104833205716327,5.32411705395549,0.000000101444569301363,"STRIKE","R","FF"
"zone11",-0.416732922770976,0.122458840609497,-3.40304481650186,0.000666393487542626,"STRIKE","R","FF"
"zone12",-0.863414479533234,0.112037450147511,-7.70648098824495,0.0000000000000129334495843541,"STRIKE","R","FF"
"zone13",-0.602688669140113,0.15915058660531,-3.78690824831683,0.00015253339141904,"STRIKE","R","FF"
"zone14",-0.823620147611067,0.120902381413626,-6.81227398485502,0.00000000000960679164565453,"STRIKE","R","FF"
"dist_x",0.251604641079702,0.0416585546765882,6.03968723910391,0.00000000154413236484472,"STRIKE","R","FF"
"dist_z",0.238003435724071,0.0448778575984787,5.30336001895374,0.000000113690389862649,"STRIKE","R","FF"
"dist_prop",3.31973962486123,0.184671851546019,17.976424653077,0.00000000000000000000000000000000000000000000000000000000000000000000000298106790335929,"STRIKE","R","FF"
"I(dist_x^2)",-1.85264115522001,0.0763662219712214,-24.259955611241,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000519153070160285,"STRIKE","R","FF"
"I(dist_z^2)",-1.87265063307837,0.0781119703286846,-23.9739264698933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520302942335391,"STRIKE","R","FF"
"release_spin_rate",0.000182890378797839,0.0000864537308247955,2.1154712127864,0.0343898059393202,"STRIKE","R","FF"
"pred",9.2763859148989,0.575005070374744,16.1327028105218,0.00000000000000000000000000000000000000000000000000000000015029646451302,"STRIKE","R","FF"
"(Intercept)",-16.1396976866676,0.828836654979153,-19.4727122524203,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000187097755884012,"whiff","L","FF"
"pitch_speed",0.0962788136300715,0.00893581905969093,10.7744811065368,0.00000000000000000000000000454336600068874,"whiff","L","FF"
"pfx_x",-0.30253933109157,0.0664381372138499,-4.55369978417308,0.00000527105651057234,"whiff","L","FF"
"pfx_z",0.689998567777172,0.0892080278755289,7.7347138392065,0.0000000000000103635946952273,"whiff","L","FF"
"zone1",0.040414752824632,0.151447631828413,0.266856287792081,0.789579813746723,"whiff","L","FF"
"zone2",-0.174563534886054,0.125990771723362,-1.38552635640127,0.165891579090928,"whiff","L","FF"
"zone3",0.032638411237485,0.160135490707187,0.203817474148598,0.838496137070229,"whiff","L","FF"
"zone4",0.090249653396534,0.129053308674064,0.699320725084764,0.484351617812663,"whiff","L","FF"
"zone6",-0.316853602315779,0.152467258550782,-2.07817471978907,0.0376932696185131,"whiff","L","FF"
"zone7",-0.183366825540759,0.225333468115071,-0.813757614768167,0.415783820877854,"whiff","L","FF"
"zone8",0.0635466493791402,0.181206813291489,0.350685761891961,0.725824108386082,"whiff","L","FF"
"zone9",0.0122380560540609,0.24642669674178,0.0496620545414549,0.960391695215905,"whiff","L","FF"
"zone11",-0.00394515607319158,0.172956319776841,-0.0228101296227965,0.981801727857348,"whiff","L","FF"
