"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-14.2790472255132,0.980129972863657,-14.5685241966369,0.00000000000000000000000000000000000000000000000445409455226693,"whiff","R","FF"
"pitch_speed",0.0849725498067114,0.0102249448381349,8.31031865226288,0.0000000000000000954454234103644,"whiff","R","FF"
"pfx_x",-0.0303406271079783,0.0154336153801384,-1.96587943658515,0.049312538943198,"whiff","R","FF"
"pfx_z",-0.062559333662265,0.0336062483487407,-1.86153875353984,0.0626681332319346,"whiff","R","FF"
"pfx_total",0.12877151821442,0.0395065248530823,3.25950001153729,0.00111608776002264,"whiff","R","FF"
"zone1",-0.276035579359151,0.185164995606362,-1.49075465616605,0.136025920547334,"whiff","R","FF"
"zone2",-0.150401726498793,0.14550708860771,-1.03363848413103,0.301305201221842,"whiff","R","FF"
"zone3",0.16121901054998,0.176189957578898,0.915029509997961,0.360176138312785,"whiff","R","FF"
"zone4",-0.626031834993736,0.177073166917369,-3.53544156854591,0.000407094266051559,"whiff","R","FF"
"zone6",-0.0639084572735403,0.156655542719168,-0.407955289447416,0.683306500062838,"whiff","R","FF"
"zone7",-0.351524551087531,0.291079209868622,-1.20765942454698,0.227178291394845,"whiff","R","FF"
"zone8",-0.557617097582221,0.250475508445208,-2.22623401802256,0.0259985104735012,"whiff","R","FF"
"zone9",-0.225395153175486,0.271402641532194,-0.830482532900289,0.40626601951506,"whiff","R","FF"
"zone11",0.0354131392415966,0.209141338397504,0.169326348931978,0.865539951765012,"whiff","R","FF"
"zone12",0.111214784357339,0.205184676969516,0.542022854727411,0.587802761582549,"whiff","R","FF"
"zone13",0.920376674926235,0.288961988117446,3.18511331169328,0.00144697339187449,"whiff","R","FF"
"zone14",-0.0799498988040469,0.317060705225595,-0.252159594318574,0.800917708154529,"whiff","R","FF"
"dist_x",-0.26207965156464,0.069011784256792,-3.79760724037282,0.000146099575073829,"whiff","R","FF"
"dist_z",1.02374504482869,0.116998853612655,8.75004338262984,0.00000000000000000213270742973587,"whiff","R","FF"
"dist_prop",1.38493114483591,0.3028082476726,4.57362425059609,0.00000479359188404147,"whiff","R","FF"
"I(dist_x^2)",-1.17474365427505,0.108282995696787,-10.8488285415057,0.00000000000000000000000000201997601468119,"whiff","R","FF"
"I(dist_z^2)",-1.10363682197644,0.10239095670578,-10.7786552395221,0.00000000000000000000000000434186675942574,"whiff","R","FF"
"pred",29.0957657718628,1.25976378061745,23.0962075744089,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505467265138172,"whiff","R","FF"
"(Intercept)",0.84059528818867,2.22951343259341,0.377030824708185,0.706150697629801,"barrel","R","FF"
"pitch_speed",-0.072529190555935,0.0237208126037142,-3.05761829358993,0.00223103564143239,"barrel","R","FF"
"pfx_x",0.101515341929701,0.0402331621272633,2.52317582218851,0.0116300236201543,"barrel","R","FF"
"pfx_z",0.114139946380137,0.0808016384159126,1.41259445498644,0.157775000385836,"barrel","R","FF"
"pfx_total",-0.167027107121001,0.0952727369973337,-1.75314693778217,0.0795767884107639,"barrel","R","FF"
"zone1",0.434839724781896,0.266676688227566,1.63058768905526,0.102977348576744,"barrel","R","FF"
"zone2",0.239104325936562,0.208149541855646,1.14871415908464,0.250673865447997,"barrel","R","FF"
"zone3",0.293087972451621,0.276466825358779,1.06011986093185,0.289090073347626,"barrel","R","FF"
"zone4",0.100753410831843,0.225291965660334,0.447212622680675,0.654721548351259,"barrel","R","FF"
"zone6",-0.123793346076384,0.2547111893246,-0.486014557918083,0.626956844307078,"barrel","R","FF"
"zone7",0.967555035560428,0.27120862556293,3.56756734249192,0.000360310796118625,"barrel","R","FF"
"zone8",0.841398485151724,0.224746023977098,3.74377472963643,0.000181276191367307,"barrel","R","FF"
"zone9",-0.160119954629458,0.426259948616507,-0.37563922003264,0.707185129209697,"barrel","R","FF"
"zone11",0.798362672118054,0.412669924097676,1.93462771454381,0.053035996548927,"barrel","R","FF"
