"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-14.7543996165397,0.822655819828755,-17.9350820366298,0.00000000000000000000000000000000000000000000000000000000000000000000000627709832269224,"whiff","R","FF"
"pitch_speed",0.0982179850054097,0.00889554865697046,11.0412509439142,0.000000000000000000000000000241645274964144,"whiff","R","FF"
"pfx_z",0.102232386827595,0.0147923669269971,6.91115812176164,0.00000000000480712858631445,"whiff","R","FF"
"pfx_total",-0.0989754934568415,0.0149298985205349,-6.62934803747717,0.0000000000337172744533622,"whiff","R","FF"
"zone1",-0.260019175093478,0.143131346915685,-1.81664730121382,0.0692711357560495,"whiff","R","FF"
"zone2",-0.287496132786532,0.116135209558816,-2.47552946155344,0.0133038784824555,"whiff","R","FF"
"zone3",-0.165444948754304,0.136689852883877,-1.21036745057335,0.226137925983759,"whiff","R","FF"
"zone4",-0.598608763621783,0.136870064448689,-4.37355506503902,0.0000122239393135127,"whiff","R","FF"
"zone6",-0.000758304516089672,0.112806531958151,-0.00672216850324755,0.994636525929882,"whiff","R","FF"
"zone7",-0.544422275894828,0.270053451804683,-2.01597969682159,0.0438020988928953,"whiff","R","FF"
"zone8",0.0361870815935242,0.169774209463695,0.213148285053641,0.831211303843935,"whiff","R","FF"
"zone9",-0.0426978821511002,0.189255170537721,-0.225610122195261,0.821504667446971,"whiff","R","FF"
"zone11",0.173757509409639,0.164476798761347,1.056425652239,0.290773791404529,"whiff","R","FF"
"zone12",-0.129500781858045,0.162261581374075,-0.798098852244614,0.424813127458194,"whiff","R","FF"
"zone13",0.143387330385132,0.275745435274004,0.51999892670082,0.603064323167598,"whiff","R","FF"
"zone14",0.243881609823651,0.199255360888131,1.22396511058277,0.220965389421299,"whiff","R","FF"
"dist_z",1.16228978303803,0.0960329856961586,12.1030266279071,0.00000000000000000000000000000000101787836857641,"whiff","R","FF"
"dist_prop",1.11184629004758,0.244147023962481,4.55400304293057,0.00000526345939169919,"whiff","R","FF"
"I(dist_x^2)",-0.955781568520311,0.0890619578395569,-10.7316478517363,0.00000000000000000000000000722953095862761,"whiff","R","FF"
"I(dist_z^2)",-1.07974953842161,0.0862119307624324,-12.5243632624004,0.00000000000000000000000000000000000549304114883938,"whiff","R","FF"
"release_spin_rate",0.000672630206930168,0.000134773187532689,4.99083103430364,0.00000060120071147088,"whiff","R","FF"
"pred",17.9780348901917,0.757338443997126,23.7384422152217,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144640075447277,"whiff","R","FF"
"(Intercept)",4.27842295341944,1.68050959035718,2.54590808524341,0.0108993883105183,"barrel","R","FF"
"pitch_speed",-0.0845549977799193,0.0181936588984008,-4.64749824387174,0.00000335984953315689,"barrel","R","FF"
"zone1",-0.0531612361980871,0.239863294146005,-0.221631393779357,0.824600841503012,"barrel","R","FF"
"zone2",-0.118591359847568,0.181328214291226,-0.654014932596766,0.513102185152383,"barrel","R","FF"
"zone3",-0.261693956792211,0.231145664850229,-1.13216034988922,0.257567026387598,"barrel","R","FF"
"zone4",0.444768853737902,0.159892777564752,2.78166944443618,0.00540800914437013,"barrel","R","FF"
"zone6",0.00993489486160222,0.153521862238015,0.0647132253137961,0.948402332618301,"barrel","R","FF"
"zone7",0.730821616961582,0.296533801168093,2.46454742792478,0.0137186406359647,"barrel","R","FF"
"zone8",-0.196688075845747,0.265676410028768,-0.740329470066419,0.459100103326746,"barrel","R","FF"
