"","x","z","phand","response","bhand","pitch","pred"
"1",-2,-2.5,"right","barrel","left","changeup",-15.8071824661296
"2",-2,-2.5,"right","barrel","left","curveball",-14.8597137182603
"3",-2,-2.5,"right","barrel","left","cutter",-10.4764255165445
"4",-2,-2.5,"right","barrel","left","fastball",-10.2841962736432
"5",-2,-2.5,"right","barrel","left","sinker",-19.0456918930079
"6",-2,-2.5,"right","barrel","left","slider",-13.5580338833398
"7",-2,-2.5,"right","barrel","left","splitter",-16.1700720297598
"8",-2,-2.5,"right","barrel","right","changeup",-16.3819809034733
"9",-2,-2.5,"right","barrel","right","curveball",-23.9659098411626
"10",-2,-2.5,"right","barrel","right","cutter",-16.7195820006691
"11",-2,-2.5,"right","barrel","right","fastball",-11.5668902349358
"12",-2,-2.5,"right","barrel","right","sinker",-12.735877129911
"13",-2,-2.5,"right","barrel","right","slider",-18.3391391669008
"14",-2,-2.5,"right","barrel","right","splitter",-22.257794887855
"15",-2,-2.5,"right","benefit","left","changeup",-8.24805523429741
"16",-2,-2.5,"right","benefit","left","curveball",-4.93686682801587
"17",-2,-2.5,"right","benefit","left","cutter",-7.09627819119444
"18",-2,-2.5,"right","benefit","left","fastball",-12.0291772567054
"19",-2,-2.5,"right","benefit","left","sinker",-11.3307437063998
"20",-2,-2.5,"right","benefit","left","slider",-3.3254707970698
"21",-2,-2.5,"right","benefit","left","splitter",-7.31686661277315
"22",-2,-2.5,"right","benefit","right","changeup",-6.72732720840746
"23",-2,-2.5,"right","benefit","right","curveball",-4.14649372774226
"24",-2,-2.5,"right","benefit","right","cutter",-5.9037845286761
"25",-2,-2.5,"right","benefit","right","fastball",-12.0174705855086
"26",-2,-2.5,"right","benefit","right","sinker",-10.9844871592232
"27",-2,-2.5,"right","benefit","right","slider",-3.76531382571313
"28",-2,-2.5,"right","benefit","right","splitter",-5.15472630633252
"29",-2,-2.5,"right","whiff","left","changeup",-2.87352324700679
"30",-2,-2.5,"right","whiff","left","curveball",-1.29855111168007
"31",-2,-2.5,"right","whiff","left","cutter",-2.03678289913387
"32",-2,-2.5,"right","whiff","left","fastball",-11.28153497184
"33",-2,-2.5,"right","whiff","left","sinker",-5.65562538331574
"34",-2,-2.5,"right","whiff","left","slider",0.140285587783744
"35",-2,-2.5,"right","whiff","left","splitter",-3.55506264603
"36",-2,-2.5,"right","whiff","right","changeup",-4.23830282766543
"37",-2,-2.5,"right","whiff","right","curveball",-0.698840177646363
"38",-2,-2.5,"right","whiff","right","cutter",-0.0247161681253836
"39",-2,-2.5,"right","whiff","right","fastball",-9.91764038275966
"40",-2,-2.5,"right","whiff","right","sinker",-2.79832320490471
"41",-2,-2.5,"right","whiff","right","slider",0.0274533386996501
"42",-2,-2.5,"right","whiff","right","splitter",-1.97670358466426
"43",-2,-2.4,"right","barrel","left","changeup",-15.0718754671329
"44",-2,-2.4,"right","barrel","left","curveball",-14.1033458448318
"45",-2,-2.4,"right","barrel","left","cutter",-9.85559652062324
"46",-2,-2.4,"right","barrel","left","fastball",-9.73707855880133
"47",-2,-2.4,"right","barrel","left","sinker",-18.1378955426024
"48",-2,-2.4,"right","barrel","left","slider",-12.7400069940147
"49",-2,-2.4,"right","barrel","left","splitter",-15.8436525500279
"50",-2,-2.4,"right","barrel","right","changeup",-15.7635288888886
"51",-2,-2.4,"right","barrel","right","curveball",-22.6699440170819
"52",-2,-2.4,"right","barrel","right","cutter",-15.9213793510924
"53",-2,-2.4,"right","barrel","right","fastball",-11.0161771053258
"54",-2,-2.4,"right","barrel","right","sinker",-12.1193792899717
"55",-2,-2.4,"right","barrel","right","slider",-17.3504651537015
"56",-2,-2.4,"right","barrel","right","splitter",-21.1803731791647
