"x","z","phand","response","bhand","pitch","pred","zone","N"
-2,-2.5,"right","barrel","left","changeup",-15.8071824661296,14,2301
-2,-2.5,"right","barrel","left","curveball",-14.8597137182603,14,3197
-2,-2.5,"right","barrel","left","cutter",-10.4764255165445,14,1858
-2,-2.5,"right","barrel","left","fastball",-10.2841962736432,14,1975
-2,-2.5,"right","barrel","left","sinker",-19.0456918930079,14,1118
-2,-2.5,"right","barrel","left","slider",-13.5580338833398,14,3081
-2,-2.5,"right","barrel","left","splitter",-16.1700720297598,14,610
-2,-2.5,"right","barrel","right","changeup",-16.3819809034733,14,1476
-2,-2.5,"right","barrel","right","curveball",-23.9659098411626,14,3107
-2,-2.5,"right","barrel","right","cutter",-16.7195820006691,14,3843
-2,-2.5,"right","barrel","right","fastball",-11.5668902349358,14,4170
-2,-2.5,"right","barrel","right","sinker",-12.735877129911,14,2446
-2,-2.5,"right","barrel","right","slider",-18.3391391669008,14,10632
-2,-2.5,"right","barrel","right","splitter",-22.257794887855,14,604
-2,-2.5,"right","benefit","left","changeup",-8.24805523429741,14,2301
-2,-2.5,"right","benefit","left","curveball",-4.93686682801587,14,3197
-2,-2.5,"right","benefit","left","cutter",-7.09627819119444,14,1858
-2,-2.5,"right","benefit","left","fastball",-12.0291772567054,14,1975
-2,-2.5,"right","benefit","left","sinker",-11.3307437063998,14,1118
-2,-2.5,"right","benefit","left","slider",-3.3254707970698,14,3081
-2,-2.5,"right","benefit","left","splitter",-7.31686661277315,14,610
-2,-2.5,"right","benefit","right","changeup",-6.72732720840746,14,1476
-2,-2.5,"right","benefit","right","curveball",-4.14649372774226,14,3107
-2,-2.5,"right","benefit","right","cutter",-5.9037845286761,14,3843
-2,-2.5,"right","benefit","right","fastball",-12.0174705855086,14,4170
-2,-2.5,"right","benefit","right","sinker",-10.9844871592232,14,2446
-2,-2.5,"right","benefit","right","slider",-3.76531382571313,14,10632
-2,-2.5,"right","benefit","right","splitter",-5.15472630633252,14,604
-2,-2.5,"right","whiff","left","changeup",-2.87352324700679,14,2301
-2,-2.5,"right","whiff","left","curveball",-1.29855111168007,14,3197
-2,-2.5,"right","whiff","left","cutter",-2.03678289913387,14,1858
-2,-2.5,"right","whiff","left","fastball",-11.28153497184,14,1975
-2,-2.5,"right","whiff","left","sinker",-5.65562538331574,14,1118
-2,-2.5,"right","whiff","left","slider",0.140285587783744,14,3081
-2,-2.5,"right","whiff","left","splitter",-3.55506264603,14,610
-2,-2.5,"right","whiff","right","changeup",-4.23830282766543,14,1476
-2,-2.5,"right","whiff","right","curveball",-0.698840177646363,14,3107
-2,-2.5,"right","whiff","right","cutter",-0.0247161681253836,14,3843
-2,-2.5,"right","whiff","right","fastball",-9.91764038275966,14,4170
-2,-2.5,"right","whiff","right","sinker",-2.79832320490471,14,2446
-2,-2.5,"right","whiff","right","slider",0.0274533386996501,14,10632
-2,-2.5,"right","whiff","right","splitter",-1.97670358466426,14,604
-2,-2.4,"right","barrel","left","changeup",-15.0718754671329,14,2301
-2,-2.4,"right","barrel","left","curveball",-14.1033458448318,14,3197
-2,-2.4,"right","barrel","left","cutter",-9.85559652062324,14,1858
-2,-2.4,"right","barrel","left","fastball",-9.73707855880133,14,1975
-2,-2.4,"right","barrel","left","sinker",-18.1378955426024,14,1118
-2,-2.4,"right","barrel","left","slider",-12.7400069940147,14,3081
-2,-2.4,"right","barrel","left","splitter",-15.8436525500279,14,610
-2,-2.4,"right","barrel","right","changeup",-15.7635288888886,14,1476
-2,-2.4,"right","barrel","right","curveball",-22.6699440170819,14,3107
-2,-2.4,"right","barrel","right","cutter",-15.9213793510924,14,3843
-2,-2.4,"right","barrel","right","fastball",-11.0161771053258,14,4170
-2,-2.4,"right","barrel","right","sinker",-12.1193792899717,14,2446
-2,-2.4,"right","barrel","right","slider",-17.3504651537015,14,10632
-2,-2.4,"right","barrel","right","splitter",-21.1803731791647,14,604
-2,-2.4,"right","benefit","left","changeup",-7.8951106995096,14,2301
-2,-2.4,"right","benefit","left","curveball",-4.83366570171462,14,3197
-2,-2.4,"right","benefit","left","cutter",-6.71027659954775,14,1858
-2,-2.4,"right","benefit","left","fastball",-11.3075567870686,14,1975
-2,-2.4,"right","benefit","left","sinker",-10.6751826590481,14,1118
-2,-2.4,"right","benefit","left","slider",-3.18062300231263,14,3081
-2,-2.4,"right","benefit","left","splitter",-7.00795227022287,14,610
-2,-2.4,"right","benefit","right","changeup",-6.35415556214383,14,1476
-2,-2.4,"right","benefit","right","curveball",-4.05138973498019,14,3107
-2,-2.4,"right","benefit","right","cutter",-5.59899465474344,14,3843
-2,-2.4,"right","benefit","right","fastball",-11.2736394946208,14,4170
-2,-2.4,"right","benefit","right","sinker",-10.3253894657796,14,2446
-2,-2.4,"right","benefit","right","slider",-3.5936220756182,14,10632
-2,-2.4,"right","benefit","right","splitter",-4.94193682817567,14,604
-2,-2.4,"right","whiff","left","changeup",-2.54190969190665,14,2301
-2,-2.4,"right","whiff","left","curveball",-1.06191058845753,14,3197
-2,-2.4,"right","whiff","left","cutter",-1.83336331672435,14,1858
-2,-2.4,"right","whiff","left","fastball",-10.7043545992217,14,1975
-2,-2.4,"right","whiff","left","sinker",-5.37360813277111,14,1118
-2,-2.4,"right","whiff","left","slider",0.434061142749202,14,3081
-2,-2.4,"right","whiff","left","splitter",-3.09634102017472,14,610
-2,-2.4,"right","whiff","right","changeup",-3.78976214683272,14,1476
-2,-2.4,"right","whiff","right","curveball",-0.530269539627967,14,3107
-2,-2.4,"right","whiff","right","cutter",0.244885812300785,14,3843
-2,-2.4,"right","whiff","right","fastball",-9.35846024408014,14,4170
-2,-2.4,"right","whiff","right","sinker",-2.65690441411354,14,2446
-2,-2.4,"right","whiff","right","slider",0.263996986486638,14,10632
-2,-2.4,"right","whiff","right","splitter",-1.555890025125,14,604
-2,-2.3,"right","barrel","left","changeup",-14.3665809987074,14,2301
-2,-2.3,"right","barrel","left","curveball",-13.3823028874097,14,3197
-2,-2.3,"right","barrel","left","cutter",-9.26198393137623,14,1858
-2,-2.3,"right","barrel","left","fastball",-9.21229217925908,14,1975
-2,-2.3,"right","barrel","left","sinker",-17.2700652768097,14,1118
-2,-2.3,"right","barrel","left","slider",-11.9591191829974,14,3081
-2,-2.3,"right","barrel","left","splitter",-15.5227638734188,14,610
-2,-2.3,"right","barrel","right","changeup",-15.1703198136747,14,1476
-2,-2.3,"right","barrel","right","curveball",-21.4327940191913,14,3107
-2,-2.3,"right","barrel","right","cutter",-15.1557564014985,14,3843
-2,-2.3,"right","barrel","right","fastball",-10.4865500918618,14,4170
-2,-2.3,"right","barrel","right","sinker",-11.5280446271727,14,2446
-2,-2.3,"right","barrel","right","slider",-16.4040735452202,14,10632
-2,-2.3,"right","barrel","right","splitter",-20.1512312073138,14,604
-2,-2.3,"right","benefit","left","changeup",-7.55833114650854,14,2301
-2,-2.3,"right","benefit","left","curveball",-4.7329934797616,14,3197
-2,-2.3,"right","benefit","left","cutter",-6.34003017490704,14,1858
-2,-2.3,"right","benefit","left","fastball",-10.6168709158945,14,1975
-2,-2.3,"right","benefit","left","sinker",-10.0495542734152,14,1118
-2,-2.3,"right","benefit","left","slider",-3.04215118713321,14,3081
-2,-2.3,"right","benefit","left","splitter",-6.71453236098077,14,610
-2,-2.3,"right","benefit","right","changeup",-5.99811872340393,14,1476
-2,-2.3,"right","benefit","right","curveball",-3.95846861030101,14,3107
-2,-2.3,"right","benefit","right","cutter",-5.30632396360653,14,3843
-2,-2.3,"right","benefit","right","fastball",-10.5619969188804,14,4170
-2,-2.3,"right","benefit","right","sinker",-9.69574910034644,14,2446
-2,-2.3,"right","benefit","right","slider",-3.42938942634513,14,10632
-2,-2.3,"right","benefit","right","splitter",-4.73892424043578,14,604
-2,-2.3,"right","whiff","left","changeup",-2.23233557076116,14,2301
-2,-2.3,"right","whiff","left","curveball",-0.842486369093015,14,3197
-2,-2.3,"right","whiff","left","cutter",-1.64070782580654,14,1858
-2,-2.3,"right","whiff","left","fastball",-10.1486033432026,14,1975
-2,-2.3,"right","whiff","left","sinker",-5.10496549384067,14,1118
-2,-2.3,"right","whiff","left","slider",0.708300083726419,14,3081
-2,-2.3,"right","whiff","left","splitter",-2.66947773005494,14,610
-2,-2.3,"right","whiff","right","changeup",-3.36974774331223,14,1476
-2,-2.3,"right","whiff","right","curveball",-0.373006235905554,14,3107
-2,-2.3,"right","whiff","right","cutter",0.497678654856996,14,3843
-2,-2.3,"right","whiff","right","fastball",-8.81941578811051,14,4170
-2,-2.3,"right","whiff","right","sinker",-2.52308871144183,14,2446
